"day","empirical","homo","power","exp"
2020-02-10,258,141.064819931067,677.353759581411,58.7374205605784
2020-02-10,114,141.099780654589,886.585601482222,78.5491740540738
2020-02-10,81,141.107792487063,1164.72219865568,107.526630032945
2020-02-10,101,141.102936831018,587.99890066854,51.2872768572351
2020-02-10,160,141.088612645686,624.918560257766,53.1689930084501
2020-02-10,98,141.103665179425,986.178461304749,83.4519315114344
2020-02-10,155,141.089826559698,867.548295274783,75.0485912043019
2020-02-10,59,141.113133708712,411.964661727096,33.4909201706905
2020-02-10,151,141.090797690906,1055.01436324739,91.2919864626764
2020-02-10,82,141.107549704261,763.081543319978,65.8395765354217
2020-02-10,54,141.114347622723,1578.50515245309,134.309700360012
2020-02-10,93,141.104879093436,506.30015626127,44.9508011982983
2020-02-10,46,141.116289885141,793.486906354724,67.641400749262
2020-02-10,42,141.11726101635,459.624890745231,39.7872031624339
2020-02-10,289,141.057293664198,1047.10920358084,88.1389487559468
2020-02-10,121,141.098081174974,1197.8873343156,100.870532202736
2020-02-10,128,141.096381695358,1078.32161860514,91.4078758529465
2020-02-10,99,141.103422396623,1481.16614033334,122.725182898532
2020-02-10,72,141.109977532283,728.006254326218,62.4415401389122
2020-02-10,198,141.079386899201,896.231047857646,76.1533334611378
2020-02-10,142,141.092982736127,544.464284398571,49.0474809248188
2020-02-10,74,141.109491966679,686.907862061451,60.2669899756776
2020-02-10,159,141.088855428489,1201.84949670141,99.8439165922636
2020-02-10,122,141.097838392171,901.571654182319,75.6850588586289
2020-02-10,84,141.107064138656,739.659173505742,63.1659107763003
2020-02-10,78,141.10852083547,656.2693413157,57.8923646551122
2020-02-10,156,141.089583776895,729.701271110974,63.1024756939941
2020-02-10,156,141.089583776895,681.952257735865,59.3672901384839
2020-02-10,115,141.099537871787,1017.73990639093,86.934590748008
2020-02-10,83,141.107306921458,992.188582420998,85.4084144338695
2020-02-10,93,141.104879093436,1154.74245111487,101.082545668532
2020-02-10,149,141.091283256511,774.670258686889,65.7589874983021
2020-02-10,104,141.102208482612,1193.99686921386,100.961644508519
2020-02-10,263,141.063606017056,1276.33427678984,109.928477256187
2020-02-10,55,141.114104839921,726.219985080833,64.2648713631139
2020-02-10,123,141.097595609369,724.967185824452,63.0185714001976
2020-02-10,110,141.100751785798,531.321575652673,45.6217463439491
2020-02-10,47,141.116047102339,448.544517832246,39.9683766886172
2020-02-10,37,141.118474930361,662.403898520311,58.6520491657242
2020-02-10,72,141.109977532283,801.928126868681,69.114318157394
2020-02-10,221,141.07380289475,1140.96451876896,104.644101670175
2020-02-10,252,141.066276627881,940.036083993647,80.7509904958332
2020-02-10,114,141.099780654589,592.447354162415,50.7672192376869
2020-02-10,127,141.09662447816,687.887463149417,58.392604616601
2020-02-10,94,141.104636310634,356.159638006627,31.8531145409935
2020-02-10,101,141.102936831018,621.844247343475,54.179827585745
2020-02-10,152,141.090554908104,716.406591829179,65.3916047068935
2020-02-10,146,141.092011604918,1362.10063527206,113.637088268013
2020-02-10,143,141.092739953324,527.544246722677,46.9996597001471
2020-02-10,67,141.111191446294,553.70533985946,49.3460369037164
2020-02-10,171,141.085942034862,1586.11337057412,137.878440767251
2020-02-10,125,141.097110043765,922.409449043351,82.1885958586434
2020-02-10,40,141.117746581955,791.83898597075,70.418418325346
2020-02-10,136,141.09443943294,813.799994397739,72.5204626174852
2020-02-10,104,141.102208482612,1052.82822161401,92.1365133462609
2020-02-10,44,141.116775450746,943.152016818374,90.3032117605405
2020-02-10,131,141.095653346951,912.990559004688,73.8292145167272
2020-02-10,246,141.067733324694,780.425656431933,67.338770617364
2020-02-10,31,141.119931627175,660.495341612204,54.1135217360808
2020-02-10,276,141.060449840627,415.495341612204,34.8275295738323
2020-02-10,58,141.113376491514,319.018707205127,27.5414222772016
2020-02-10,72,141.109977532283,530.336222327198,44.5252917957871
2020-02-10,44,141.116775450746,330.381769369889,27.9700172858062
2020-02-10,159,141.088855428489,365.907385598672,30.326053710789
2020-02-10,64,141.111919794701,422.341312242369,37.325071693294
2020-02-10,39,141.117989364757,600.002640698973,51.6261668992853
2020-02-10,92,141.105121876238,558.001861699275,48.9552318053478
2020-02-10,231,141.071375066728,1110.17121544597,94.7619982232413
2020-02-10,143,141.092739953324,1205.13723064243,104.521267875291
2020-02-10,121,141.098081174974,605.553436414349,53.6280768832522
2020-02-10,22,141.122116672395,578.938728171067,49.7385424815797
2020-02-10,147,141.091768822115,871.032971548965,72.1029320036502
2020-02-10,27,141.120902758384,794.834998176315,68.7413287469607
2020-02-10,85,141.106821355854,269.052202077466,23.9048944673568
2020-02-10,40,141.117746581955,338.571080099176,29.0338867782194
2020-02-10,201,141.078658550795,1613.74485778033,137.720148561298
2020-02-10,117,141.099052306183,955.071296066535,85.5606819962775
2020-02-10,132,141.095410564149,1976.3959706645,173.60812986769
2020-02-10,178,141.084242555246,1306.20228577449,110.725060987538
2020-02-10,89,141.105850224645,1819.68845710121,152.979468613071
2020-02-10,115,141.099537871787,918.386454239187,81.2608229167057
2020-02-10,191,141.081086378817,1664.21560471214,148.592014891385
2020-02-10,444,141.019662329852,2157.15253180232,184.035173064226
2020-02-10,311,141.051952442549,2111.5945431923,197.91079433154
2020-02-10,214,141.075502374366,3350.99024662867,284.244611717707
2020-02-10,306,141.05316635656,1876.65658052539,159.25029082862
2020-02-10,162,141.088127080082,1817.6572615795,153.742290038697
2020-02-10,248,141.06724775909,2318.08880767005,194.033270302174
2020-02-10,90,141.105607441843,1041.87750099388,88.5080385481671
