"day","empirical","homo","power","exp"
2020-02-10,104,110.784078873375,629.691352454334,75.0212927402923
2020-02-10,100,110.785030334407,538.76931516297,59.4112326273414
2020-02-10,101,110.784792469149,776.985549672026,89.5081866989794
2020-02-10,117,110.780986625021,1454.83911913125,156.138056707922
2020-02-10,231,110.753869985605,1399.10633815815,146.127905657573
2020-02-10,60,110.794544944729,442.04916901981,49.2966887512878
2020-02-10,43,110.798588654115,531.205658458113,74.8528883112959
2020-02-10,45,110.798112923599,459.217079689495,63.5934485979593
2020-02-10,49,110.797161462567,413.560892067166,59.5036083800775
2020-02-10,64,110.793593483697,277.626526902443,28.501174624508
2020-02-10,95,110.786219660698,734.548964364259,81.7706195619359
2020-02-10,66,110.793117753181,1089.38774015666,114.197121122905
2020-02-10,150,110.773137071506,669.712777666228,74.2252170250856
2020-02-10,126,110.778845837698,668.134841360429,74.8995793261622
2020-02-10,128,110.778370107182,878.886324517812,96.3951674116896
2020-02-10,180,110.766001113765,1424.90015031622,153.584945524399
2020-02-10,234,110.753156389831,1409.89067954228,155.147118577419
2020-02-10,346,110.726515480931,1863.31218330066,196.157694754005
2020-02-10,157,110.771472014699,1471.41598611396,174.32360618523
2020-02-10,325,110.731510651349,1621.49329179557,172.701143022701
2020-02-10,283,110.741500992187,1473.42211473472,148.348288922227
2020-02-10,208,110.75934088654,1051.22103709001,116.898306852586
2020-02-10,231,110.753869985605,1258.62476510381,134.570465256421
2020-02-10,170,110.768379766345,1532.54322799067,173.092336451712
2020-02-10,142,110.77503999357,1126.4598808423,116.86924632049
2020-02-10,0,110.808816860211,3061.47660976137,370.064129993103
2020-02-10,173,110.767666170571,1197.44085450279,130.719768745629
2020-02-10,186,110.764573922216,1070.75009533948,118.169329858527
2020-02-10,65,110.793355618439,835.850012480434,97.9962225959428
2020-02-10,139,110.775753589344,2018.77623989515,209.978909367879
2020-02-10,478,110.69511726687,1075.21228783083,119.315081130153
2020-02-10,343,110.727229076705,1459.99891590894,149.131801675888
2020-02-10,341,110.727704807221,1406.80819708636,148.705619000075
2020-02-10,165,110.769569092635,1555.65921027483,167.797338407812
2020-02-10,133,110.777180780892,540.935242067724,58.4315087237689
2020-02-10,78,110.790263370084,1194.64689219043,141.514598340849
2020-02-10,163,110.770044823151,370.622999281609,42.968546200606
2020-02-10,55,110.795734271019,720.130664681974,93.8537137900349
2020-02-10,184,110.765049652732,1720.06217626899,182.223898905875
2020-02-10,123,110.779559433473,714.619981676467,81.020667791738
2020-02-10,66,110.793117753181,842.867890992426,139.518556867415
2020-02-10,34,110.800729441438,379.489467479604,56.5443832441586
2020-02-10,139,110.775753589344,605.437109647529,80.6136310086176
2020-02-10,74,110.791214831116,515.164138212141,56.8866478097064
2020-02-10,154,110.772185610473,438.028983523401,62.0874182392418
2020-02-10,50,110.796923597309,1037.72959831119,129.454030678444
2020-02-10,263,110.746258297348,1257.09722963295,138.998049591229
2020-02-10,178,110.766476844281,1136.01824836405,125.782605914066
2020-02-10,97,110.785743930182,919.784865094525,106.594709472338
2020-02-10,173,110.767666170571,1133.03427480666,132.722127056532
2020-02-10,149,110.773374936764,1269.69760316912,136.639255844466
2020-02-10,78,110.790263370084,857.061166875691,96.2418793750787
2020-02-10,197,110.761957404378,1211.89935797648,140.661326080209
2020-02-10,201,110.761005943346,1217.39688135878,138.191537478824
2020-02-10,181,110.765763248507,1554.17503715907,167.625365632148
2020-02-10,106,110.783603142859,1193.44133834989,122.240501705703
2020-02-10,52,110.796447866793,1005.51526699088,104.525120428429
2020-02-10,181,110.765763248507,1009.73369829476,111.959972986396
2020-02-10,250,110.749350545702,978.981980954979,106.79874044942
2020-02-10,42,110.798826519373,811.444793884027,87.1393264190098
2020-02-10,273,110.743879644767,2048.17862848968,223.375348307916
2020-02-10,71,110.79192842689,883.225419904852,99.7022523888148
2020-02-10,96,110.78598179544,393.592856881227,47.0406691358208
2020-02-10,153,110.772423475732,1312.45977221057,140.284603256217
2020-02-10,50,110.796923597309,501.164167001662,56.6727747650265
2020-02-10,0,110.808816860211,719.327580667316,76.1118761638616
2020-02-10,280,110.742214587961,1390.09762918861,154.575122414623
2020-02-10,139,110.775753589344,1394.2951367295,148.109051091987
2020-02-10,117,110.780986625021,1269.31690232532,136.921000904928
2020-02-10,46,110.797875058341,433.210688360107,48.2692990631835
2020-02-10,58,110.795020675245,558.262371282442,61.8264691981061
2020-02-10,66,110.793117753181,459.691084150785,52.8771566100083
2020-02-10,63,110.793831348955,601.806416750899,66.3133747222885
2020-02-10,21,110.803821689792,154.553282536921,18.8653314131919
2020-02-10,147,110.77385066728,624.309955530653,65.8363788472991
2020-02-10,9,110.806676072889,435.336070454353,47.9617036401247
2020-02-10,78,110.790263370084,448.802922180378,48.2615236611891
2020-02-10,65,110.793355618439,507.517610938838,54.5140465777771
2020-02-10,232,110.753632120347,1288.54089628486,141.753608628365
2020-02-10,291,110.739598070123,2198.67997306403,237.196661295585
2020-02-10,217,110.757200099217,1633.23254920792,173.312137905833
2020-02-10,226,110.755059311895,1205.70597956173,127.002719807735
2020-02-10,326,110.731272786091,1814.73192513633,188.187666580398
2020-02-10,159,110.770996284183,982.017049204018,102.993988412945
2020-02-10,197,110.761957404378,1374.40621128298,144.022403300435
2020-02-10,179,110.766238979023,554.36414789309,63.3086799804514
2020-02-10,145,110.774326397796,868.924054417936,114.959742625973
2020-02-10,97,110.785743930182,664.143114955075,94.99765956691
2020-02-10,130,110.777894376666,1616.96970278723,178.626115976854
2020-02-10,87,110.788122582762,681.149966269404,75.4811994242876
