"msa","county","nblock","lag.max","lag","nozero","pop.adj","area.adj","pop","area"
"Atlanta","13121",544,32,27,3056,7275204,11734754129.4642,1036200,1384422713.1817
"Atlanta","13121",544,32,28,1952,4825681,7352460524.5257,1036200,1384422713.1817
"Atlanta","13121",544,32,29,994,2473082,3689245168.03049,1036200,1384422713.1817
"Atlanta","13121",544,32,30,352,872236,1157299672.55891,1036200,1384422713.1817
"Atlanta","13121",544,32,31,84,217660,307818005.797902,1036200,1384422713.1817
"Atlanta","13121",544,32,32,8,21164,33473214.8979568,1036200,1384422713.1817
"Atlanta","13149",8,3,1,28,40954,2722875420.1402,11736,780175605.516432
"Atlanta","13149",8,3,2,22,33285,2194941355.23479,11736,780175605.516432
"Atlanta","13149",8,3,3,6,7913,543412463.240029,11736,780175605.516432
"Atlanta","13067",350,18,1,2144,4783153,5799901346.85221,751218,892568897.763052
"Atlanta","13067",350,18,2,4750,10386863,12399611080.832,751218,892568897.763052
"Atlanta","13067",350,18,3,7304,15796443,18781217633.2706,751218,892568897.763052
"Atlanta","13067",350,18,4,9514,20374834,23904149424.2551,751218,892568897.763052
"Atlanta","13067",350,18,5,11498,24234932,28305977270.3966,751218,892568897.763052
"Atlanta","13067",350,18,6,12984,27214551,32077349395.8162,751218,892568897.763052
"Atlanta","13067",350,18,7,13564,28787222,34017026843.1712,751218,892568897.763052
"Atlanta","13067",350,18,8,13606,29223239,34253313056.6329,751218,892568897.763052
"Atlanta","13067",350,18,9,12634,27256625,31946473878.1652,751218,892568897.763052
"Atlanta","13067",350,18,10,11066,23931159,28333560300.298,751218,892568897.763052
"Atlanta","13067",350,18,11,8842,19241368,23090857858.6952,751218,892568897.763052
"Atlanta","13067",350,18,12,6402,13931551,17125356893.9409,751218,892568897.763052
"Atlanta","13067",350,18,13,4038,8816187,11077410051.6724,751218,892568897.763052
"Atlanta","13067",350,18,14,2196,4816654,6097509418.07378,751218,892568897.763052
"Atlanta","13067",350,18,15,1082,2309961,2878500867.40116,751218,892568897.763052
"Atlanta","13067",350,18,16,438,907947,1179565875.41412,751218,892568897.763052
"Atlanta","13067",350,18,17,84,158086,231290095.763143,751218,892568897.763052
"Atlanta","13067",350,18,18,4,4307,7474028.65464427,751218,892568897.763052
"Atlanta","13057",85,9,1,488,1533105,6216143217.48055,247515,1125395482.24383
"Atlanta","13057",85,9,2,968,2985430,11496802126.1179,247515,1125395482.24383
"Atlanta","13057",85,9,3,1352,4023254,15879076129.8247,247515,1125395482.24383
"Atlanta","13057",85,9,4,1540,4545405,18470803313.5164,247515,1125395482.24383
"Atlanta","13057",85,9,5,1298,3765092,17600005511.9487,247515,1125395482.24383
"Atlanta","13057",85,9,6,856,2369359,13383998883.0153,247515,1125395482.24383
"Atlanta","13057",85,9,7,442,1122966,7962870144.18292,247515,1125395482.24383
"Atlanta","13057",85,9,8,172,393935,3172146780.97065,247515,1125395482.24383
"Atlanta","13057",85,9,9,24,52714,351374401.424528,247515,1125395482.24383
"Atlanta","13217",34,6,1,172,554222,3552560876.87011,108079,723398534.687031
"Atlanta","13217",34,6,2,288,934000,5891073269.44954,108079,723398534.687031
"Atlanta","13217",34,6,3,310,999555,6564846157.25827,108079,723398534.687031
"Atlanta","13217",34,6,4,232,721657,4920673457.94613,108079,723398534.687031
"Atlanta","13217",34,6,5,108,319384,2573496183.26836,108079,723398534.687031
"Atlanta","13217",34,6,6,12,37789,369501699.879632,108079,723398534.687031
"Atlanta","13255",35,6,1,180,334175,2193151282.56412,65306,517169343.89542
"Atlanta","13255",35,6,2,324,582451,3807883833.65395,65306,517169343.89542
"Atlanta","13255",35,6,3,358,662740,4885406386.24768,65306,517169343.89542
"Atlanta","13255",35,6,4,232,445521,4143942082.79454,65306,517169343.89542
"Atlanta","13255",35,6,5,84,170394,2103949038.89269,65306,517169343.89542
"Atlanta","13255",35,6,6,12,25123,449425068.291296,65306,517169343.89542
"Atlanta","13035",14,3,1,60,108967,2335924544.97288,24090,487240541.519924
"Atlanta","13035",14,3,2,88,151027,3204750301.60053,24090,487240541.519924
"Atlanta","13035",14,3,3,34,53176,793452193.1856,24090,487240541.519924
"Atlanta","13117",108,12,1,610,1324507,3677379624.01279,228383,640192543.405307
"Atlanta","13117",108,12,2,1226,2648095,7073073679.72854,228383,640192543.405307
"Atlanta","13117",108,12,3,1676,3594242,9344290334.96143,228383,640192543.405307
"Atlanta","13117",108,12,4,1844,3923285,10172349017.2821,228383,640192543.405307
"Atlanta","13117",108,12,5,1702,3617426,9843188625.84587,228383,640192543.405307
"Atlanta","13117",108,12,6,1456,3071098,8596096345.79937,228383,640192543.405307
"Atlanta","13117",108,12,7,1158,2439830,7296773582.0465,228383,640192543.405307
"Atlanta","13117",108,12,8,880,1817809,5758003017.73723,228383,640192543.405307
"Atlanta","13117",108,12,9,584,1179160,3975041451.03859,228383,640192543.405307
"Atlanta","13117",108,12,10,296,584294,2001616298.56162,228383,640192543.405307
"Atlanta","13117",108,12,11,106,205281,670752523.692863,228383,640192543.405307
