"day","lag","rho","error","index","county","event","msa","week","period"
2020-02-10,3,0.086547128350894,45.9531933266127,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-11,3,0.086801494814455,39.5362020298228,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-12,3,0.0864649133878455,43.7263097064224,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-13,3,0.0865622125211808,44.5105585374287,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-14,3,0.0863708674397513,49.0976478795107,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-15,3,0.0869281873279134,38.1453208671745,"homo",13171,"COVID-19","Atlanta","weekend","before"
2020-02-16,3,0.085884273529715,39.7069579776047,"homo",13171,"COVID-19","Atlanta","weekend","before"
2020-03-30,3,0.0866081537973773,32.0068997269616,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-03-31,3,0.0854889048273819,33.5782245352208,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-01,3,0.0872669392733768,35.2454187360374,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-02,3,0.0868421984251851,36.8819568102544,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-03,3,0.0870021193402962,36.493182417636,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-04,3,0.0863502095989701,35.3147634309623,"homo",13171,"COVID-19","Atlanta","weekend","during"
2020-04-05,3,0.0850188302097951,36.2803605305387,"homo",13171,"COVID-19","Atlanta","weekend","during"
2020-02-10,3,4.99995475221347,382.450265952423,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-11,3,4.99995487811158,355.638040954056,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-12,3,4.99995433203136,372.776376707395,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-13,3,4.99995460455897,373.23225054983,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-14,3,4.9999538213415,402.893259300231,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-15,3,4.9999541966064,336.52585187489,"power",13171,"COVID-19","Atlanta","weekend","before"
2020-02-16,3,4.99995331642465,314.081551192296,"power",13171,"COVID-19","Atlanta","weekend","before"
2020-03-30,3,4.99995416963135,284.472256858203,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-03-31,3,4.99995386803325,272.817803094716,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-01,3,4.99995443044734,322.736744478193,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-02,3,4.99995422178163,327.595689541541,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-03,3,4.9999539917695,322.450642797644,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-04,3,4.99995431141741,295.298843219334,"power",13171,"COVID-19","Atlanta","weekend","during"
2020-04-05,3,4.99995413094,278.965331419203,"power",13171,"COVID-19","Atlanta","weekend","during"
2020-02-10,3,0.56276296200152,50.8795038293438,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-11,3,0.562018909075482,45.0068936370782,"exp",13171,"COVID-19","Atlanta","weekday","before"
