"day","lag","rho","error","index","county","event","msa","week","period"
2020-02-10,3,0.0614456983955401,39.0073329623172,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-11,3,0.0619980857385414,34.3741182703911,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-12,3,0.0608834377162446,39.0322354990654,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-13,3,0.0548315649411816,41.1564906021236,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-14,3,0.0583578994002075,46.3994990572992,"homo",13171,"COVID-19","Atlanta","weekday","before"
2020-02-15,3,0.0712194404631722,25.8399732967455,"homo",13171,"COVID-19","Atlanta","weekend","before"
2020-02-16,3,0.0681413289825481,21.7345664942754,"homo",13171,"COVID-19","Atlanta","weekend","before"
2020-03-30,3,0.0644860070357938,19.5961246929709,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-03-31,3,0.0539399831448233,18.7557656835435,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-01,3,0.0715710725506802,21.1994707522493,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-02,3,0.0668624917924708,24.2413377075596,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-03,3,0.070436359129015,21.2074693001943,"homo",13171,"COVID-19","Atlanta","weekday","during"
2020-04-04,3,0.0622548376773092,20.4558366800774,"homo",13171,"COVID-19","Atlanta","weekend","during"
2020-04-05,3,0.0722602190715627,13.1966948484886,"homo",13171,"COVID-19","Atlanta","weekend","during"
2020-02-10,3,4.99993623756291,193.019964142606,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-11,3,4.99994300232073,184.790194115669,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-12,3,4.99994286913681,204.181210283799,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-13,3,4.99993456802952,206.755902156499,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-14,3,4.99993276278993,229.407030228457,"power",13171,"COVID-19","Atlanta","weekday","before"
2020-02-15,3,4.99994200527619,159.173655431819,"power",13171,"COVID-19","Atlanta","weekend","before"
2020-02-16,3,4.99994822708398,137.349421055837,"power",13171,"COVID-19","Atlanta","weekend","before"
2020-03-30,3,4.99993952024694,122.791107904731,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-03-31,3,4.9999391705062,123.622275536299,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-01,3,4.99993962769262,133.636351090729,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-02,3,4.99993407772888,151.842650995583,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-03,3,4.99993824086624,135.201516589503,"power",13171,"COVID-19","Atlanta","weekday","during"
2020-04-04,3,4.99993064516075,116.046476017209,"power",13171,"COVID-19","Atlanta","weekend","during"
2020-04-05,3,4.99994615560571,93.3901472685668,"power",13171,"COVID-19","Atlanta","weekend","during"
2020-02-10,3,0.527095973545727,33.1797281186979,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-11,3,0.519218729302043,30.1143583901957,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-12,3,0.511604765796832,35.0334314224153,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-13,3,0.494690684447253,37.3994433577429,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-14,3,0.505685117851121,42.1725825435517,"exp",13171,"COVID-19","Atlanta","weekday","before"
2020-02-15,3,0.520466201193376,25.0583794753651,"exp",13171,"COVID-19","Atlanta","weekend","before"
2020-02-16,3,0.485305514705941,23.7243333162447,"exp",13171,"COVID-19","Atlanta","weekend","before"
2020-03-30,3,0.50174901787498,19.2673103100796,"exp",13171,"COVID-19","Atlanta","weekday","during"
2020-03-31,3,0.451663325108212,19.2922861182832,"exp",13171,"COVID-19","Atlanta","weekday","during"
2020-04-01,3,0.532154867460599,19.5750929438903,"exp",13171,"COVID-19","Atlanta","weekday","during"
2020-04-02,3,0.494843513732544,24.8617756810849,"exp",13171,"COVID-19","Atlanta","weekday","during"
2020-04-03,3,0.516570122633331,21.2118888168787,"exp",13171,"COVID-19","Atlanta","weekday","during"
2020-04-04,3,0.503817302669283,19.6512733069873,"exp",13171,"COVID-19","Atlanta","weekend","during"
2020-04-05,3,0.530967638962993,12.3904367684959,"exp",13171,"COVID-19","Atlanta","weekend","during"
2020-02-10,11,0.00452552685148311,55.6064921166311,"homo",13063,"COVID-19","Atlanta","weekday","before"
2020-02-11,11,0.00415473311736584,56.1355299471805,"homo",13063,"COVID-19","Atlanta","weekday","before"
2020-02-12,11,0.00524747200247599,53.9872996632287,"homo",13063,"COVID-19","Atlanta","weekday","before"
2020-02-13,11,0.00464983719735539,56.3919099882223,"homo",13063,"COVID-19","Atlanta","weekday","before"
2020-02-14,11,0.00492930183065733,64.1264320191911,"homo",13063,"COVID-19","Atlanta","weekday","before"
2020-02-15,11,0.00460167878944777,56.5671057810171,"homo",13063,"COVID-19","Atlanta","weekend","before"
2020-02-16,11,0.00481472411165328,42.6158548669753,"homo",13063,"COVID-19","Atlanta","weekend","before"
2020-03-30,11,0.0042588210508652,31.524599650137,"homo",13063,"COVID-19","Atlanta","weekday","during"
2020-03-31,11,0.00423885371460524,29.9916977994198,"homo",13063,"COVID-19","Atlanta","weekday","during"
2020-04-01,11,0.00471344358113351,35.2784873575183,"homo",13063,"COVID-19","Atlanta","weekday","during"
2020-04-02,11,0.00472691214400196,37.6534867634354,"homo",13063,"COVID-19","Atlanta","weekday","during"
2020-04-03,11,0.00492949857995219,39.4946531360285,"homo",13063,"COVID-19","Atlanta","weekday","during"
2020-04-04,11,0.00467093839541177,33.2833122803091,"homo",13063,"COVID-19","Atlanta","weekend","during"
2020-04-05,11,0.00393186199262265,26.9155478660745,"homo",13063,"COVID-19","Atlanta","weekend","during"
2020-02-10,11,4.99992790724343,374.846491497929,"power",13063,"COVID-19","Atlanta","weekday","before"
