"day","county","pearson_homo","pearson_power","pearson_exp","spearman_homo","spearman_power","spearman_exp","kendall_homo","kendall_power","kendall_exp","event","msa"
"2020-02-10",13171,-1,-0.316886431824477,-0.409361278322628,-1,-0.293706293706294,-0.398601398601399,-1,-0.212121212121212,-0.242424242424242,"COVID-19","Atlanta"
"2020-02-11",13171,-1,-0.351276954343949,-0.42392277425287,-1,-0.293706293706294,-0.363636363636364,-1,-0.181818181818182,-0.242424242424242,"COVID-19","Atlanta"
"2020-02-12",13171,-1,-0.385471729126796,-0.450335756964208,-1,-0.363636363636364,-0.41958041958042,-1,-0.242424242424242,-0.272727272727273,"COVID-19","Atlanta"
"2020-02-13",13171,-1,-0.345124178841373,-0.416815650674498,-1,-0.286713286713287,-0.384615384615385,-1,-0.181818181818182,-0.272727272727273,"COVID-19","Atlanta"
"2020-02-14",13171,-1,-0.387156056059455,-0.452442968439619,-1,-0.272727272727273,-0.384615384615385,-1,-0.212121212121212,-0.272727272727273,"COVID-19","Atlanta"
"2020-02-15",13171,-1,-0.525182700413883,-0.605599123524012,-1,-0.510489510489511,-0.524475524475525,-1,-0.484848484848485,-0.484848484848485,"COVID-19","Atlanta"
"2020-02-16",13171,-1,-0.501101238228907,-0.594836225704747,-1,-0.475524475524476,-0.503496503496504,-1,-0.424242424242424,-0.454545454545455,"COVID-19","Atlanta"
"2020-03-30",13171,-1,-0.499898151260877,-0.578775118519634,-1,-0.465850101445,-0.52539485125376,-1,-0.41222575117291,-0.503831473655779,"COVID-19","Atlanta"
"2020-03-31",13171,-1,-0.410783088904394,-0.510672820831987,-1,-0.461538461538462,-0.48951048951049,-1,-0.424242424242424,-0.454545454545455,"COVID-19","Atlanta"
"2020-04-01",13171,-1,-0.458054985257401,-0.54289287312116,-1,-0.454545454545455,-0.517482517482518,-1,-0.393939393939394,-0.484848484848485,"COVID-19","Atlanta"
"2020-04-02",13171,-1,-0.507218711773841,-0.587742445898658,-1,-0.517482517482518,-0.510489510489511,-1,-0.454545454545455,-0.454545454545455,"COVID-19","Atlanta"
"2020-04-03",13171,-1,-0.488341395302927,-0.571100803595158,-1,-0.510489510489511,-0.517482517482518,-1,-0.484848484848485,-0.484848484848485,"COVID-19","Atlanta"
"2020-04-04",13171,-1,-0.380781569233808,-0.493586238553595,-1,-0.384615384615385,-0.426573426573427,-1,-0.363636363636364,-0.424242424242424,"COVID-19","Atlanta"
"2020-04-05",13171,-1,-0.259251131074566,-0.369230480165742,-1,-0.223776223776224,-0.27972027972028,-1,-0.212121212121212,-0.272727272727273,"COVID-19","Atlanta"
"2020-02-10",13063,-1,0.47158693203635,0.450619352195426,-1,0.584311120191329,0.560094311798078,-1,0.408163629087837,0.386293179180327,"COVID-19","Atlanta"
"2020-02-11",13063,-1,0.475623365825572,0.457160974577923,-1,0.591201704462187,0.574133069935668,-1,0.414679743901367,0.40195950635838,"COVID-19","Atlanta"
"2020-02-12",13063,-1,0.480760611422361,0.460721966298493,-1,0.591797218159482,0.568012299323158,-1,0.414929195342125,0.39204005799564,"COVID-19","Atlanta"
"2020-02-13",13063,-1,0.475780338899888,0.455886341523149,-1,0.591168707101942,0.565982721955255,-1,0.41284630870735,0.38715470231213,"COVID-19","Atlanta"
"2020-02-14",13063,-1,0.465185897788093,0.446043611820645,-1,0.584603339877731,0.553538244448743,-1,0.409637321228504,0.386498279495547,"COVID-19","Atlanta"
"2020-02-15",13063,-1,0.434498990227358,0.418522004336373,-1,0.556130836265849,0.541981138030383,-1,0.377392414683084,0.366965804843457,"COVID-19","Atlanta"
"2020-02-16",13063,-1,0.418054691501631,0.398980970155183,-0.999998500010875,0.525445846965688,0.510587812711172,-0.999936263105834,0.358293209005287,0.344806319745856,"COVID-19","Atlanta"
"2020-03-30",13063,-1,0.464510954965524,0.440621327879296,-1,0.557456964968309,0.537645925745744,-1,0.392235517112245,0.372120875209053,"COVID-19","Atlanta"
"2020-03-31",13063,-1,0.466114875373857,0.44004480062848,-1,0.546067358420983,0.527557617443329,-1,0.382294932329413,0.363186555171995,"COVID-19","Atlanta"
"2020-04-01",13063,-1,0.449359983756405,0.426418756615499,-1,0.543641878203561,0.523705532902639,-1,0.377791055026706,0.358965103463085,"COVID-19","Atlanta"
"2020-04-02",13063,-1,0.464889084030172,0.442800677267772,-1,0.557560432359604,0.541586422716503,-1,0.38775860657467,0.371214918076243,"COVID-19","Atlanta"
"2020-04-03",13063,-1,0.45891179977574,0.438088066869482,-1,0.550605733749447,0.533560918337869,-1,0.386691220011376,0.368877211850273,"COVID-19","Atlanta"
"2020-04-04",13063,-1,0.459094136186301,0.438138497829408,-1,0.542088512505921,0.531109292014569,-1,0.37508820317741,0.364146010004664,"COVID-19","Atlanta"
"2020-04-05",13063,-1,0.458172560610825,0.435657262453379,-1,0.529847714273826,0.518070320777781,-1,0.372884722369934,0.363463940719072,"COVID-19","Atlanta"
"2020-02-10",13089,-1,0.497449392422766,0.484247439365664,-1,0.568473743720914,0.558324588964322,-1,0.399691583681455,0.391292593156728,"COVID-19","Atlanta"
"2020-02-11",13089,-1,0.507698462544089,0.493720681844794,-1,0.583586404607976,0.572974056244558,-1,0.411129512717611,0.402069025512384,"COVID-19","Atlanta"
"2020-02-12",13089,-1,0.5140917331301,0.499979160202851,-1,0.58657071799324,0.57522414734613,-1,0.412468627057089,0.40264417262853,"COVID-19","Atlanta"
"2020-02-13",13089,-1,0.504171506089643,0.490405815611146,-1,0.593288752967859,0.585024741572638,-1,0.419062608592506,0.412168915106899,"COVID-19","Atlanta"
"2020-02-14",13089,-1,0.488759778218034,0.475942847408016,-0.9999992413525,0.57454128836876,0.566370014799028,-0.999966928920319,0.40802724329386,0.401107274510937,"COVID-19","Atlanta"
"2020-02-15",13089,-1,0.480480779788321,0.469430263046386,-1,0.567906416006592,0.561564009930718,-1,0.401932259883357,0.395485491014891,"COVID-19","Atlanta"
"2020-02-16",13089,-1,0.486664569267067,0.474161666312495,-0.999999949422873,0.566852478774733,0.557266858950756,-0.999993380179596,0.399697060074284,0.391056818212428,"COVID-19","Atlanta"
"2020-03-30",13089,-1,0.533404318217469,0.52700153250162,-0.999999949422428,0.579728477176364,0.571008675636042,-0.999993375531199,0.407436578821152,0.400484954037347,"COVID-19","Atlanta"
"2020-03-31",13089,-1,0.514241926536329,0.507637051810938,-0.99999954480213,0.5631787075642,0.556424490195696,-0.999966879411239,0.394680508140344,0.388416157723168,"COVID-19","Atlanta"
"2020-04-01",13089,-1,0.514716429844704,0.508494450338608,-1,0.557788843259822,0.550983277544593,-1,0.393155222201838,0.387818213708523,"COVID-19","Atlanta"
"2020-04-02",13089,-1,0.525639650866247,0.517829149610563,-0.999998836736146,0.564426312706193,0.555907263797419,-0.999940442117958,0.398613800446558,0.391797631271371,"COVID-19","Atlanta"
"2020-04-03",13089,-1,0.534033517641611,0.526785765151868,-1,0.57052801909568,0.564895999963593,-1,0.403164046685827,0.399596690960417,"COVID-19","Atlanta"
"2020-04-04",13089,-1,0.512450901140553,0.50665106285135,-1,0.56630362952189,0.560271206038296,-1,0.399797774754915,0.395700538146299,"COVID-19","Atlanta"
"2020-04-05",13089,-1,0.487459486580463,0.484589775516033,-0.99999914015849,0.550437551927719,0.547736252382836,-0.999940330766398,0.389559023565153,0.387390619809097,"COVID-19","Atlanta"
"2020-02-10",13227,-1,0.614383173985988,0.603826943939132,-1,0.707541518641463,0.681790440839954,-1,0.538749055370225,0.509228559185555,"COVID-19","Atlanta"
"2020-02-11",13227,-1,0.641822976659436,0.618642075210776,-1,0.800000602206258,0.788957649108319,-1,0.622239293493258,0.607424072219609,"COVID-19","Atlanta"
"2020-02-12",13227,-1,0.552960594686521,0.548923618591087,-1,0.632352941176471,0.632352941176471,-1,0.470588235294118,0.470588235294118,"COVID-19","Atlanta"
"2020-02-13",13227,-1,0.581672239936038,0.574577443553247,-1,0.689147891640385,0.68546916624017,-1,0.52398880727789,0.52398880727789,"COVID-19","Atlanta"
"2020-02-14",13227,-1,0.569892440335197,0.562290002952813,-1,0.702636551441176,0.669528022839235,-1,0.55350930346256,0.52398880727789,"COVID-19","Atlanta"
"2020-02-15",13227,-1,0.594304823293603,0.569061120479142,-1,0.786503659530999,0.755828789814501,-1,0.607424072219609,0.577793629672311,"COVID-19","Atlanta"
"2020-02-16",13227,-1,0.637701694603479,0.607664731924643,-1,0.821078431372549,0.803921568627451,-1,0.632352941176471,0.617647058823529,"COVID-19","Atlanta"
"2020-03-30",13227,-1,0.620122567083747,0.588729691246623,-1,0.706315276841391,0.670754264639307,-1,0.509228559185555,0.479708063000885,"COVID-19","Atlanta"
"2020-03-31",13227,-1,0.598313962657421,0.56918228833904,-1,0.708767760441535,0.669528022839235,-1,0.509228559185555,0.479708063000885,"COVID-19","Atlanta"
"2020-04-01",13227,-1,0.619415844946223,0.587496768957373,-1,0.703862793241247,0.678111715439738,-1,0.509228559185555,0.479708063000885,"COVID-19","Atlanta"
"2020-04-02",13227,-1,0.586533498381177,0.550600488538041,-1,0.713672727641822,0.683016682640026,-1,0.52398880727789,0.49446831109322,"COVID-19","Atlanta"
"2020-04-03",13227,-1,0.567188912585217,0.53578262512671,-1,0.706315276841391,0.62660955983672,-1,0.509228559185555,0.450187566816215,"COVID-19","Atlanta"
"2020-04-04",13227,-1,0.565526505257999,0.531092644017959,-1,0.74264705882353,0.644607843137255,-1,0.544117647058823,0.455882352941176,"COVID-19","Atlanta"
"2020-04-05",13227,-1,0.573164111552384,0.53443816371881,-1,0.688725490196079,0.553921568627451,-1,0.5,0.397058823529412,"COVID-19","Atlanta"
"2020-02-10",13045,-1,0.261549442748203,0.244523814518159,-1,0.402935129142552,0.371285731866496,-1,0.267247710268591,0.248366078564832,"COVID-19","Atlanta"
"2020-02-11",13045,-1,0.257773210257557,0.239720566248522,-1,0.409933881631995,0.39058216416707,-1,0.271407837445573,0.256894049346879,"COVID-19","Atlanta"
"2020-02-12",13045,-1,0.271204394852782,0.25645841646856,-1,0.42552162158254,0.412619696349793,-1,0.282600966921233,0.278242083112679,"COVID-19","Atlanta"
