"day","county","pearson_homo","pearson_power","pearson_exp","spearman_homo","spearman_power","spearman_exp","kendall_homo","kendall_power","kendall_exp","event","msa"
"2020-02-16",51610,-1,0.336546955967507,0.296386806299595,-1,0.299406565478315,0.299406565478315,-1,0.181848241863327,0.181848241863327,"COVID-19","Washington, D.C."
"2020-03-30",51610,-1,0.0421565099707485,0.0243599252549694,-1,0.0714285714285714,0.0714285714285714,-1,0,0,"COVID-19","Washington, D.C."
"2020-03-31",51610,-1,0.180681986314572,0.159052748845374,-1,0.0952380952380952,0.0952380952380952,-1,0.0714285714285714,0.0714285714285714,"COVID-19","Washington, D.C."
"2020-04-01",51610,-1,-0.0293507756100222,-0.0375547880714817,-1,-0.155691414048724,-0.155691414048724,-1,-0.0363696483726654,-0.0363696483726654,"COVID-19","Washington, D.C."
"2020-04-02",51610,-1,0.0276609591210626,0.00895956399687644,-1,-0.166666666666667,-0.166666666666667,-1,-0.0714285714285714,-0.0714285714285714,"COVID-19","Washington, D.C."
"2020-04-03",51610,-1,0.0308135863053347,0.0134629074241721,-1,-0.166666666666667,-0.166666666666667,-1,-0.0714285714285714,-0.0714285714285714,"COVID-19","Washington, D.C."
"2020-04-04",51610,-1,0.124924130938953,0.104224103525482,-1,-0.0958101009530607,-0.0958101009530607,-1,-0.0363696483726654,-0.0363696483726654,"COVID-19","Washington, D.C."
"2020-04-05",51610,-1,0.0884866969764035,0.0732921724140392,-1,-0.0476190476190476,-0.0476190476190476,-1,0,0,"COVID-19","Washington, D.C."
"2020-02-10",51113,-1,0.262258290764595,0.156159952955748,-1,0.5,0.5,-1,0.333333333333333,0.333333333333333,"COVID-19","Washington, D.C."
"2020-02-11",51113,-1,0.321230431005376,0.213300311748441,-1,0.357142857142857,0.357142857142857,-1,0.238095238095238,0.238095238095238,"COVID-19","Washington, D.C."
"2020-02-12",51113,-1,0.335439781844166,0.219889422585845,-1,0.357142857142857,0.357142857142857,-1,0.238095238095238,0.238095238095238,"COVID-19","Washington, D.C."
"2020-02-13",51113,-1,0.366863590837272,0.244782391107978,-1,0.5,0.5,-1,0.333333333333333,0.333333333333333,"COVID-19","Washington, D.C."
"2020-02-14",51113,-1,0.343837404056408,0.230187356834544,-1,0.357142857142857,0.357142857142857,-1,0.238095238095238,0.238095238095238,"COVID-19","Washington, D.C."
"2020-02-15",51113,-1,0.41454063634626,0.3005815199775,-1,0.5,0.5,-1,0.333333333333333,0.333333333333333,"COVID-19","Washington, D.C."
"2020-02-16",51113,-1,0.388370120144695,0.265531895478572,-1,0.5,0.357142857142857,-1,0.333333333333333,0.238095238095238,"COVID-19","Washington, D.C."
"2020-03-30",51113,-1,0.177945910444174,0.0805195660146358,-1,0.214285714285714,0.0714285714285714,-1,0.142857142857143,0.0476190476190476,"COVID-19","Washington, D.C."
"2020-03-31",51113,-1,0.187397721985625,0.0806651808854401,-1,0.0714285714285714,0.0714285714285714,-1,0.0476190476190476,0.0476190476190476,"COVID-19","Washington, D.C."
"2020-04-01",51113,-1,0.124035487819928,0.0197187357701174,-1,0.214285714285714,0.0714285714285714,-1,0.142857142857143,0.0476190476190476,"COVID-19","Washington, D.C."
"2020-04-02",51113,-1,0.104310768438011,-0.00239830232203266,-1,0.234243740300845,0.162168743285201,-1,0.195180014589707,0.0975900072948533,"COVID-19","Washington, D.C."
"2020-04-03",51113,-1,0.134604618712511,0.0357800530580511,-1,0.214285714285714,0.214285714285714,-1,0.142857142857143,0.142857142857143,"COVID-19","Washington, D.C."
"2020-04-04",51113,-1,0.184791065600858,0.0756394821495879,-1,0.357142857142857,0.214285714285714,-1,0.238095238095238,0.142857142857143,"COVID-19","Washington, D.C."
"2020-04-05",51113,-1,0.0300630702024329,-0.0649370191339851,-1,0.214285714285714,-0.142857142857143,-1,0.142857142857143,-0.0476190476190476,"COVID-19","Washington, D.C."
"2020-02-10",24009,-1,0.169040875684547,0.141341750894001,-1,0.212516469038208,0.195783926218709,-1,0.16969696969697,0.153535353535354,"COVID-19","Washington, D.C."
"2020-02-11",24009,-1,0.158979684071634,0.126580868346852,-1,0.213972792368788,0.197634968320925,-1,0.158666013182124,0.154623566986401,"COVID-19","Washington, D.C."
"2020-02-12",24009,-1,0.196187438302124,0.164653846851667,-1,0.268998914249607,0.231379913505907,-1,0.197268815892164,0.172989577013128,"COVID-19","Washington, D.C."
"2020-02-13",24009,-1,0.173176168296808,0.14174711479611,-1,0.223393392525419,0.20514509711712,-1,0.168772128671431,0.162708459377847,"COVID-19","Washington, D.C."
"2020-02-14",24009,-1,0.164810748367639,0.13492961985442,-1,0.246772068511199,0.218445322793149,-1,0.183838383838384,0.167676767676768,"COVID-19","Washington, D.C."
"2020-02-15",24009,-1,0.174755880903709,0.146078263502586,-1,0.253063646945982,0.223942550369537,-1,0.198380973260454,0.178138016805306,"COVID-19","Washington, D.C."
"2020-02-16",24009,-1,0.191834767208136,0.169915508518329,-1,0.283248233129299,0.259924233471757,-1,0.222672521006632,0.202429564551484,"COVID-19","Washington, D.C."
"2020-03-30",24009,-1,0.108516318848101,0.0814034951613757,-1,0.171492572567163,0.138946536897483,-1,0.154780147853851,0.130500908974816,"COVID-19","Washington, D.C."
"2020-03-31",24009,-1,0.080018582873917,0.0545587717998261,-1,0.166227435887715,0.135656872965836,-1,0.137652103895009,0.117409147439861,"COVID-19","Washington, D.C."
"2020-04-01",24009,-1,0.129609684493103,0.105990153673763,-1,0.154879936840832,0.116406996341025,-1,0.132390112909925,0.104092989539865,"COVID-19","Washington, D.C."
"2020-04-02",24009,-1,0.123127009074897,0.0956364838185879,-1,0.170845003141259,0.121297975620153,-1,0.145749286477069,0.115384851794346,"COVID-19","Washington, D.C."
"2020-04-03",24009,-1,0.1268792860193,0.0984593960954391,-1,0.164635351829707,0.131233941914677,-1,0.133468217872969,0.113245760619489,"COVID-19","Washington, D.C."
"2020-04-04",24009,-1,0.154865124379169,0.132260360652154,-1,0.17407920218849,0.134084472541096,-1,0.146835913591248,0.122532038238214,"COVID-19","Washington, D.C."
"2020-04-05",24009,-1,0.18382483409835,0.156001404795056,-1,0.218064431595171,0.184926543651856,-1,0.171890886654581,0.153690675126449,"COVID-19","Washington, D.C."
"2020-02-10",51061,-1,0.359791682095039,0.341106664868322,-1,0.420747796739716,0.395778364935646,-1,0.262112870608162,0.262112870608162,"COVID-19","Washington, D.C."
"2020-02-11",51061,-1,0.383309291881929,0.365007811769234,-1,0.451380398643678,0.428470301421387,-1,0.306592630468941,0.293884127651576,"COVID-19","Washington, D.C."
"2020-02-12",51061,-1,0.343295660178994,0.322576933918736,-1,0.42000257781319,0.371347666868236,-1,0.276629920344574,0.248013032033066,"COVID-19","Washington, D.C."
