"day","lag","rho","error","index"
2020-02-10,6,0.558342850708585,32111.1984353825,"exp"
2020-02-11,6,0.558275079975663,31681.7520723509,"exp"
2020-02-12,6,0.558346621910184,32518.6624016852,"exp"
2020-02-13,6,0.558545432612797,31860.2640997259,"exp"
2020-02-14,6,0.558749000356413,33246.1457250622,"exp"
2020-02-15,6,0.55818736787618,27997.18656828,"exp"
2020-02-16,6,0.558040297523659,25693.5536213518,"exp"
2020-03-30,6,0.558278983667922,17080.5256233631,"exp"
2020-03-31,6,0.558312235077755,16686.4012904056,"exp"
2020-04-01,6,0.558451936769985,19521.5828069929,"exp"
2020-04-02,6,0.558262845692433,19251.4095990724,"exp"
2020-04-03,6,0.557887708943418,18809.0701961321,"exp"
2020-04-04,6,0.558906429291321,18487.2550286331,"exp"
2020-04-05,6,0.558453252992822,16997.0133932594,"exp"
