"day","lag","rho","error","index"
2020-02-10,4,0.516654616751613,73592.6019697001,"exp"
2020-02-11,4,0.516860581521326,70062.5074569905,"exp"
2020-02-12,4,0.517708304979305,70186.1539077015,"exp"
2020-02-13,4,0.5177624286336,70147.0359055065,"exp"
2020-02-14,4,0.520525131406317,73082.3991249585,"exp"
2020-02-15,4,0.521125090873689,66101.0103073317,"exp"
2020-02-16,4,0.521222794581923,61297.2324523077,"exp"
2020-03-30,4,0.522411678767929,40383.9182956884,"exp"
2020-03-31,4,0.522097041570791,39253.3161287115,"exp"
2020-04-01,4,0.519061406937448,47213.4546924882,"exp"
2020-04-02,4,0.520100224745412,47246.1332433694,"exp"
2020-04-03,4,0.520230107307012,49551.7421752517,"exp"
2020-04-04,4,0.520261867021969,44852.4819237778,"exp"
2020-04-05,4,0.521228199396975,41055.6105521347,"exp"
