"day","lag","rho","error","index"
2020-02-10,4,0.578092686673702,58461.0565728039,"exp"
2020-02-11,4,0.578736934520444,54619.1654317319,"exp"
2020-02-12,4,0.578554862366777,55989.279430529,"exp"
2020-02-13,4,0.578887274999642,58044.9510396234,"exp"
2020-02-14,4,0.579287566754416,61919.9225327099,"exp"
2020-02-15,4,0.57937179048585,56135.0398780206,"exp"
2020-02-16,4,0.579451208061292,51628.6013214033,"exp"
2020-03-30,4,0.578075048494599,34060.3539174151,"exp"
2020-03-31,4,0.578451996855822,34885.8365210205,"exp"
2020-04-01,4,0.576842593314394,40970.7655078105,"exp"
2020-04-02,4,0.576638511774105,40487.0254113731,"exp"
2020-04-03,4,0.576803433327724,41055.9375109192,"exp"
2020-04-04,4,0.577156904269526,37160.3560065103,"exp"
2020-04-05,4,0.57727753715884,33923.9536286024,"exp"
