"base_day","lag","rep","scenario","eta","target_total","rho","error","rho_mean","rho_sd","rho_lo","rho_med","rho_hi"
2020-02-14,37,1,"II_mult_noise",0.01,1410666,0.415996612226848,76.1339978584398,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,2,"II_mult_noise",0.01,1410666,0.415981963684953,76.1470802703677,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,3,"II_mult_noise",0.01,1410666,0.415994486395726,76.1205297064186,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,4,"II_mult_noise",0.01,1410666,0.416003636834264,76.1138012779894,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,5,"II_mult_noise",0.01,1410666,0.416065139763345,76.0663686971261,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,6,"II_mult_noise",0.01,1410666,0.415985746905657,76.1298287236783,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,7,"II_mult_noise",0.01,1410666,0.415995683039709,76.1458516923896,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,8,"II_mult_noise",0.01,1410666,0.415995122773713,76.1178855881699,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,9,"II_mult_noise",0.01,1410666,0.415996623792312,76.1261216521443,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,10,"II_mult_noise",0.01,1410666,0.415996280408347,76.1431763379353,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,11,"II_mult_noise",0.01,1410666,0.416039586035902,76.0777147108284,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,12,"II_mult_noise",0.01,1410666,0.415988795494588,76.1458783969439,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,13,"II_mult_noise",0.01,1410666,0.416015631324503,76.1015351071327,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,14,"II_mult_noise",0.01,1410666,0.416005983998456,76.1038595915912,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,15,"II_mult_noise",0.01,1410666,0.416025429857933,76.0777104014551,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,16,"II_mult_noise",0.01,1410666,0.416018289467967,76.112223988513,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,17,"II_mult_noise",0.01,1410666,0.416017165046673,76.1034604103808,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,18,"II_mult_noise",0.01,1410666,0.416043240450088,76.0520465014408,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,19,"II_mult_noise",0.01,1410666,0.416022190560362,76.0825560083686,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,20,"II_mult_noise",0.01,1410666,0.416008862661151,76.1010387285987,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,21,"II_mult_noise",0.01,1410666,0.415996651857187,76.1521745667018,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,22,"II_mult_noise",0.01,1410666,0.416026170094444,76.0965409221346,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,23,"II_mult_noise",0.01,1410666,0.416066904665597,76.0471496110813,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,24,"II_mult_noise",0.01,1410666,0.416016835930007,76.1167039881928,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,25,"II_mult_noise",0.01,1410666,0.415961539513627,76.1755955676515,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,26,"II_mult_noise",0.01,1410666,0.41601774098645,76.1090226015667,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,27,"II_mult_noise",0.01,1410666,0.415997667726292,76.1276764455435,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,28,"II_mult_noise",0.01,1410666,0.415995788356961,76.1178104604288,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,29,"II_mult_noise",0.01,1410666,0.415987466504939,76.1321691667124,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,30,"II_mult_noise",0.01,1410666,0.415997011086603,76.1487017536626,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,31,"II_mult_noise",0.01,1410666,0.415972137933547,76.1653088615465,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,32,"II_mult_noise",0.01,1410666,0.416076580239942,76.0337486951605,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,33,"II_mult_noise",0.01,1410666,0.415966529161214,76.1573752313953,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,34,"II_mult_noise",0.01,1410666,0.416053396435647,76.0487687023882,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,35,"II_mult_noise",0.01,1410666,0.416023441569937,76.091157697109,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,36,"II_mult_noise",0.01,1410666,0.416005432865047,76.1241782306313,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,37,"II_mult_noise",0.01,1410666,0.416016502515961,76.1343015739346,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,38,"II_mult_noise",0.01,1410666,0.416038139210243,76.0852271553347,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,39,"II_mult_noise",0.01,1410666,0.41597843127363,76.1604195845762,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,40,"II_mult_noise",0.01,1410666,0.416060445112965,76.0859051611042,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,41,"II_mult_noise",0.01,1410666,0.416011479851859,76.1173264277258,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,42,"II_mult_noise",0.01,1410666,0.416026838943206,76.0652048401925,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,43,"II_mult_noise",0.01,1410666,0.416021905946925,76.0932577844644,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,44,"II_mult_noise",0.01,1410666,0.415997621107054,76.1094698617846,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,45,"II_mult_noise",0.01,1410666,0.415967501339548,76.1570169735975,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,46,"II_mult_noise",0.01,1410666,0.416057917439651,76.045640089958,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,47,"II_mult_noise",0.01,1410666,0.416024750078535,76.1079408100908,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,48,"II_mult_noise",0.01,1410666,0.41597897059916,76.1718726114474,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,49,"II_mult_noise",0.01,1410666,0.415994823139579,76.1604512352169,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,50,"II_mult_noise",0.01,1410666,0.415996596167675,76.1299749863456,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,51,"II_mult_noise",0.01,1410666,0.415995086078879,76.1426644201483,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,52,"II_mult_noise",0.01,1410666,0.415998060454888,76.1252542216187,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,53,"II_mult_noise",0.01,1410666,0.415963525910498,76.1654966775856,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,54,"II_mult_noise",0.01,1410666,0.416014142469463,76.1221832897679,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,55,"II_mult_noise",0.01,1410666,0.415997065705205,76.1054428862083,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,56,"II_mult_noise",0.01,1410666,0.416033276253686,76.0941348955784,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,57,"II_mult_noise",0.01,1410666,0.416004856127515,76.134162970251,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,58,"II_mult_noise",0.01,1410666,0.416053723011194,76.0739759425264,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,59,"II_mult_noise",0.01,1410666,0.416046200161042,76.051256419536,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,60,"II_mult_noise",0.01,1410666,0.416011977968662,76.1423942097213,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,61,"II_mult_noise",0.01,1410666,0.415982576512062,76.1742573200761,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,62,"II_mult_noise",0.01,1410666,0.416052915154847,76.0459051271977,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,63,"II_mult_noise",0.01,1410666,0.416067347745915,76.0246716963292,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,64,"II_mult_noise",0.01,1410666,0.416050280604703,76.0534473310829,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,65,"II_mult_noise",0.01,1410666,0.416082748677363,76.0257345343007,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,66,"II_mult_noise",0.01,1410666,0.415982958621794,76.1363610456282,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,67,"II_mult_noise",0.01,1410666,0.416024864648286,76.0954735191308,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,68,"II_mult_noise",0.01,1410666,0.416029497267651,76.0959028647359,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,69,"II_mult_noise",0.01,1410666,0.416035951617344,76.0933657585262,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
2020-02-14,37,70,"II_mult_noise",0.01,1410666,0.416034518866876,76.0605681148178,0.416011860944236,2.80310576428708e-05,0.415964914696526,0.416007862550316,0.416070756829016
