"day","lag","rho","error","index"
2020-02-10,28,0.000246173560870229,295.174044424117,"homo"
2020-02-11,28,0.000231015331440594,285.591432520488,"homo"
2020-02-12,28,0.000231741087451221,288.947602070871,"homo"
2020-02-13,28,0.000234192402132544,301.308371812663,"homo"
2020-02-14,28,0.000239962225504146,322.784978995359,"homo"
2020-02-15,28,0.000228922990376777,291.524631184867,"homo"
2020-02-16,28,0.000258349318998453,265.315977905304,"homo"
2020-03-30,28,0.000257493235841852,179.282761734314,"homo"
2020-03-31,28,0.000254380890419412,182.667077809172,"homo"
2020-04-01,28,0.000230565025244526,203.801601938473,"homo"
2020-04-02,28,0.000233496505926059,200.560689530643,"homo"
2020-04-03,28,0.000232451043568719,208.155474270396,"homo"
2020-04-04,28,0.000257320767547349,185.337552345416,"homo"
2020-04-05,28,0.000244879859254033,175.844002571748,"homo"
2020-02-10,28,4.99994954585267,2321.44370446035,"power"
2020-02-11,28,4.99994853427278,2209.42096290476,"power"
2020-02-12,28,4.99994830285908,2233.20326613386,"power"
2020-02-13,28,4.99995023359848,2345.39415618686,"power"
2020-02-14,28,4.99994979001375,2483.43409675446,"power"
2020-02-15,28,4.99994969243173,2245.987013501,"power"
2020-02-16,28,4.99994850235797,2025.5140410278,"power"
2020-03-30,28,4.99994773481369,1428.53247603795,"power"
2020-03-31,28,4.99994877365594,1447.55387627566,"power"
2020-04-01,28,4.99994604670733,1560.76247079303,"power"
2020-04-02,28,4.99994453806559,1494.16284379437,"power"
2020-04-03,28,4.99994863147628,1686.42143864454,"power"
2020-04-04,28,4.99994765515768,1468.46397201273,"power"
2020-04-05,28,4.99994794102994,1390.82392106842,"power"
2020-02-10,28,0.418908267956452,246.657281995591,"exp"
2020-02-11,28,0.419184462149688,236.697485906337,"exp"
2020-02-12,28,0.41923689922097,239.651729317751,"exp"
2020-02-13,28,0.418339688228369,250.99328249656,"exp"
2020-02-14,28,0.419775370005827,266.585188647688,"exp"
2020-02-15,28,0.417786866796407,243.399700148042,"exp"
2020-02-16,28,0.419027966880414,218.487729578841,"exp"
2020-03-30,28,0.418704512424079,148.234153419576,"exp"
2020-03-31,28,0.419591436313447,149.467872825863,"exp"
2020-04-01,28,0.422968540201238,163.418162782424,"exp"
2020-04-02,28,0.426473919687072,156.860761988546,"exp"
2020-04-03,28,0.417414410740291,175.337113737375,"exp"
2020-04-04,28,0.417737670583892,154.743216674327,"exp"
2020-04-05,28,0.415504953988014,147.828872584595,"exp"
