"day","lag","rho","error","index"
2020-02-10,52,2.62286564412607e-05,86.7171243627739,"homo"
2020-02-11,52,2.60578443510455e-05,86.0221078498344,"homo"
2020-02-12,52,2.62323740068581e-05,88.2745888492365,"homo"
2020-02-13,52,2.61673354293802e-05,87.2160043219374,"homo"
2020-02-14,52,2.60874034695276e-05,91.7043449422226,"homo"
2020-02-15,52,2.56420702838623e-05,79.7303646084126,"homo"
2020-02-16,52,2.5466887592955e-05,73.5193691405407,"homo"
2020-03-30,52,2.5028694522082e-05,48.8516138645534,"homo"
2020-03-31,52,2.50337354856556e-05,47.9596865413604,"homo"
2020-04-01,52,2.53188799224624e-05,57.05847975162,"homo"
2020-04-02,52,2.5338049848993e-05,57.3074789166693,"homo"
2020-04-03,52,2.52221812615196e-05,56.0087600751169,"homo"
2020-04-04,52,2.51995932736278e-05,55.3060004195984,"homo"
2020-04-05,52,2.52537196467277e-05,51.5619435279007,"homo"
2020-02-10,52,4.99993349942803,860.122462960894,"power"
2020-02-11,52,4.99993312591528,849.18206594542,"power"
2020-02-12,52,4.99993297621222,864.323790660926,"power"
2020-02-13,52,4.99993320365718,850.472325854589,"power"
2020-02-14,52,4.9999329881726,886.163039635881,"power"
2020-02-15,52,4.999932860577,762.011986117894,"power"
2020-02-16,52,4.99993368439118,711.167371150929,"power"
2020-03-30,52,4.99993283156628,477.492706016807,"power"
2020-03-31,52,4.99993249731666,468.093492655475,"power"
2020-04-01,52,4.99993235669903,536.612525800621,"power"
2020-04-02,52,4.99993199914941,532.915601856468,"power"
2020-04-03,52,4.99993200643218,522.510033977124,"power"
2020-04-04,52,4.99993241131772,515.610311872208,"power"
2020-04-05,52,4.99993244840076,480.721525003162,"power"
2020-02-10,52,0.408529825844952,74.6413466867614,"exp"
2020-02-11,52,0.408286830926109,73.9845742386062,"exp"
2020-02-12,52,0.409525315493371,75.3936812073549,"exp"
2020-02-13,52,0.409920968675966,73.9833666726687,"exp"
2020-02-14,52,0.41086011368922,77.1135168167073,"exp"
2020-02-15,52,0.409627382629184,66.6348711474019,"exp"
2020-02-16,52,0.405442367573328,62.8180138275128,"exp"
2020-03-30,52,0.401348832705282,42.398854314514,"exp"
2020-03-31,52,0.402684812709687,41.4344003934023,"exp"
2020-04-01,52,0.398835534552045,50.2944741744268,"exp"
2020-04-02,52,0.396150727685139,51.1975600174447,"exp"
2020-04-03,52,0.398791697298593,49.3029921955123,"exp"
2020-04-04,52,0.398200431087098,48.6404948245967,"exp"
2020-04-05,52,0.39545673235996,45.9607482707359,"exp"
