"day","lag","rho","error","index"
2020-02-10,38,0.452132957698979,64.265206517377,"exp"
2020-02-11,38,0.449668945148839,64.916232233107,"exp"
2020-02-12,38,0.450060272782076,66.3169513536481,"exp"
2020-02-13,38,0.448795417693708,68.1621145366656,"exp"
2020-02-14,38,0.449720302944646,69.9548047592476,"exp"
2020-02-15,38,0.450021374434714,62.4529002744804,"exp"
2020-02-16,38,0.449320496582464,58.9929829349289,"exp"
2020-03-30,38,0.445886809194942,41.2006007163347,"exp"
2020-03-31,38,0.444038594119808,40.3571803957057,"exp"
2020-04-01,38,0.439309611686369,51.6433280451787,"exp"
2020-04-02,38,0.436338238566304,52.6728136451273,"exp"
2020-04-03,38,0.438201205059957,52.8329752659524,"exp"
2020-04-04,38,0.437328944386166,51.006623120556,"exp"
2020-04-05,38,0.434834861852227,48.6669830710832,"exp"
