"base_day","lag","rep","scenario","eta","target_total","rho","error","rho_mean","rho_sd","rho_lo","rho_med","rho_hi"
2020-02-10,36,1,"II_mult_noise",0.01,748458,0.433070880550533,63.7835403393674,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,2,"II_mult_noise",0.01,748458,0.433116788254177,63.6993480648255,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,3,"II_mult_noise",0.01,748458,0.433097314596927,63.7222618984079,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,4,"II_mult_noise",0.01,748458,0.433086204410392,63.7535293308532,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,5,"II_mult_noise",0.01,748458,0.433075905496437,63.7838744192176,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,6,"II_mult_noise",0.01,748458,0.433040659438596,63.8344882153192,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,7,"II_mult_noise",0.01,748458,0.433071097560312,63.7731194280582,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,8,"II_mult_noise",0.01,748458,0.433090032690865,63.7718374935354,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,9,"II_mult_noise",0.01,748458,0.433084771352215,63.7417053117131,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,10,"II_mult_noise",0.01,748458,0.433084607178123,63.774334970219,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,11,"II_mult_noise",0.01,748458,0.433075114480692,63.7568861163862,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,12,"II_mult_noise",0.01,748458,0.433088239026232,63.7534550608059,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,13,"II_mult_noise",0.01,748458,0.433070635565627,63.7780786136806,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,14,"II_mult_noise",0.01,748458,0.433087564685063,63.7413241108627,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,15,"II_mult_noise",0.01,748458,0.433044536890447,63.8135941685832,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,16,"II_mult_noise",0.01,748458,0.43308696906399,63.7596441519122,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,17,"II_mult_noise",0.01,748458,0.433073283433957,63.7878040963341,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,18,"II_mult_noise",0.01,748458,0.433086735497429,63.7520771935103,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,19,"II_mult_noise",0.01,748458,0.433049271138972,63.8074952574893,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,20,"II_mult_noise",0.01,748458,0.43305545028739,63.8006940324145,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,21,"II_mult_noise",0.01,748458,0.433082707800747,63.7368264791421,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,22,"II_mult_noise",0.01,748458,0.4330852489135,63.7358097856945,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,23,"II_mult_noise",0.01,748458,0.433095414278234,63.7237043785303,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,24,"II_mult_noise",0.01,748458,0.433052509514003,63.8048067556776,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,25,"II_mult_noise",0.01,748458,0.433097012491796,63.7406814950722,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,26,"II_mult_noise",0.01,748458,0.433096463668589,63.7440569131326,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,27,"II_mult_noise",0.01,748458,0.433092162539708,63.7420977193095,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,28,"II_mult_noise",0.01,748458,0.43307840410192,63.7575193973039,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,29,"II_mult_noise",0.01,748458,0.433067438970541,63.7858724889992,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
2020-02-10,36,30,"II_mult_noise",0.01,748458,0.433079107809764,63.7909542617874,0.433079964323473,1.80444339048267e-05,0.433042501228225,0.433080869833368,0.433115384514733
