"day","lag","rho","error","index"
2020-02-10,38,0.000100570230294283,142.094227946388,"homo"
2020-02-11,38,0.000100546084806164,133.274665606927,"homo"
2020-02-12,38,0.000100544010774141,133.678693631539,"homo"
2020-02-13,38,0.000109067321620147,131.407320274596,"homo"
2020-02-14,38,9.85249984450337e-05,151.732633161944,"homo"
2020-02-15,38,0.000105347725498088,127.797149680791,"homo"
2020-02-16,38,0.000100395850911584,122.243671287541,"homo"
2020-03-30,38,0.00010310026014051,69.6971545280938,"homo"
2020-03-31,38,0.000109748216198817,66.1220334946808,"homo"
2020-04-01,38,0.000103633806137091,78.3898657978826,"homo"
2020-04-02,38,0.000102715347168253,79.3462412778607,"homo"
2020-04-03,38,0.000103388395705422,84.7805763966054,"homo"
2020-04-04,38,0.000100706698495405,77.5257544898648,"homo"
2020-04-05,38,0.000108595211936963,68.3449716282653,"homo"
2020-02-10,38,4.99995768507983,1179.53588521466,"power"
2020-02-11,38,4.99993660661226,1139.52831977954,"power"
2020-02-12,38,4.99995348242087,1131.09003051692,"power"
2020-02-13,38,4.99995764720654,1164.38785675988,"power"
2020-02-14,38,4.99995265792024,1269.29661495873,"power"
2020-02-15,38,4.9999575011579,988.787323178112,"power"
2020-02-16,38,4.99994071630399,1033.4295576506,"power"
2020-03-30,38,4.99993067389497,686.768659598085,"power"
2020-03-31,38,4.99995245659533,594.699029104785,"power"
2020-04-01,38,4.99995005139178,693.975154603285,"power"
2020-04-02,38,4.99994977802598,694.697425431541,"power"
2020-04-03,38,4.99994445706876,845.655304700866,"power"
2020-04-04,38,4.99992262720466,707.070323937643,"power"
2020-04-05,38,4.99994780039393,601.724345547354,"power"
2020-02-10,38,0.375270464145583,131.1299395658,"exp"
2020-02-11,38,0.369868973464635,124.549976502904,"exp"
2020-02-12,38,0.377640912338243,123.086072158414,"exp"
2020-02-13,38,0.373791226915519,127.244247088179,"exp"
2020-02-14,38,0.365484174698345,141.229659486082,"exp"
2020-02-15,38,0.401553758413234,113.93538526028,"exp"
2020-02-16,38,0.370329759401822,116.091753818868,"exp"
2020-03-30,38,0.387492024401557,64.7887448929384,"exp"
2020-03-31,38,0.407294746727163,55.7476718514923,"exp"
2020-04-01,38,0.405722861645683,65.6107499730856,"exp"
2020-04-02,38,0.406842553220006,68.269580075649,"exp"
2020-04-03,38,0.37389660311336,82.7656505798367,"exp"
2020-04-04,38,0.390287686921074,70.2719607032742,"exp"
2020-04-05,38,0.40972113125582,57.4228163733321,"exp"
