"base_day","lag","rep","scenario","eta","target_total","rho","error","rho_mean","rho_sd","rho_lo","rho_med","rho_hi"
2020-02-11,33,1,"II_mult_noise",0.01,665343,0.424789993932349,78.8412696255444,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,2,"II_mult_noise",0.01,665343,0.42478734266449,78.8390385659191,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,3,"II_mult_noise",0.01,665343,0.424805623104871,78.7852945823662,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,4,"II_mult_noise",0.01,665343,0.424784134423509,78.85960404916,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,5,"II_mult_noise",0.01,665343,0.424814558023408,78.8232737278581,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,6,"II_mult_noise",0.01,665343,0.424816675939559,78.7923820721154,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,7,"II_mult_noise",0.01,665343,0.424816940194642,78.7988557551643,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,8,"II_mult_noise",0.01,665343,0.424807861711696,78.7969065457643,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,9,"II_mult_noise",0.01,665343,0.424793135935773,78.8394886156731,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,10,"II_mult_noise",0.01,665343,0.424810999139575,78.850809027578,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,11,"II_mult_noise",0.01,665343,0.424805463617385,78.8290877342507,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,12,"II_mult_noise",0.01,665343,0.424796358502851,78.8391425281786,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,13,"II_mult_noise",0.01,665343,0.424800867545591,78.81039240656,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,14,"II_mult_noise",0.01,665343,0.424823997393734,78.8050340191285,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,15,"II_mult_noise",0.01,665343,0.424825931178943,78.7973876532483,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,16,"II_mult_noise",0.01,665343,0.424804173576714,78.8111867308336,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,17,"II_mult_noise",0.01,665343,0.424818760538919,78.8040987610146,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,18,"II_mult_noise",0.01,665343,0.424778263278217,78.8550075869422,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,19,"II_mult_noise",0.01,665343,0.424783369844159,78.8609591884706,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,20,"II_mult_noise",0.01,665343,0.424824565007033,78.7866799110249,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,21,"II_mult_noise",0.01,665343,0.424790776883967,78.8755724160277,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,22,"II_mult_noise",0.01,665343,0.424777558711657,78.8552898114893,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,23,"II_mult_noise",0.01,665343,0.424823107797365,78.7783166891501,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,24,"II_mult_noise",0.01,665343,0.424821533205665,78.8206860680558,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,25,"II_mult_noise",0.01,665343,0.424794476971215,78.840718995181,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,26,"II_mult_noise",0.01,665343,0.424762450942668,78.8632408015779,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,27,"II_mult_noise",0.01,665343,0.424790842935682,78.8330020250609,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
2020-02-11,33,28,"II_mult_noise",0.01,665343,0.424826447255562,78.7913426312222,0.424803387855573,1.9061441763077e-05,0.424770602407241,0.42480293217381,0.424842994898191
