"day","lag","rho","error","index"
2020-02-10,35,0.000214371009256745,81.8698190045056,"homo"
2020-02-11,35,0.00024128755939828,73.1342597600008,"homo"
2020-02-12,35,0.000214052332000276,81.1687337127888,"homo"
2020-02-13,35,0.000205824627937773,80.3171017681531,"homo"
2020-02-14,35,0.000192227881333682,91.25787017177,"homo"
2020-02-15,35,0.000195385669522726,77.5449208474284,"homo"
2020-02-16,35,0.000195665974796027,69.8382637685506,"homo"
2020-03-30,35,0.000203375852271967,39.1267794155461,"homo"
2020-03-31,35,0.000222697643884066,37.8393536607489,"homo"
2020-04-01,35,0.000189282072892569,47.6279717328225,"homo"
2020-04-02,35,0.000169281241958937,48.5113991104203,"homo"
2020-04-03,35,0.000213705301797836,43.6291440888109,"homo"
2020-04-04,35,0.000185720723124452,49.183673165245,"homo"
2020-04-05,35,0.000186239577702653,43.7226189034478,"homo"
2020-02-10,35,4.99995325177698,766.932008557437,"power"
2020-02-11,35,4.99993750659389,636.10866827996,"power"
2020-02-12,35,4.999952928059,769.052952625697,"power"
2020-02-13,35,4.99995358854991,746.815074151439,"power"
2020-02-14,35,4.99994034682369,930.218209597453,"power"
2020-02-15,35,4.9999490492077,667.718074838066,"power"
2020-02-16,35,4.99994958440826,662.561065638567,"power"
2020-03-30,35,4.99993203796185,377.121800753409,"power"
2020-03-31,35,4.99993079960582,368.98869252363,"power"
2020-04-01,35,4.99993682492399,456.589843583737,"power"
2020-04-02,35,4.99993810143682,457.589227294442,"power"
2020-04-03,35,4.99994152395907,426.312674712918,"power"
2020-04-04,35,4.99993454880154,469.75183774289,"power"
2020-04-05,35,4.99993814209689,420.982962105443,"power"
2020-02-10,35,0.360042916857973,85.9854014269247,"exp"
2020-02-11,35,0.401118003470858,71.5881965281359,"exp"
2020-02-12,35,0.359030724550958,85.6431727127527,"exp"
2020-02-13,35,0.356904869903825,84.1336886519252,"exp"
2020-02-14,35,0.3190402122928,98.5883164084503,"exp"
2020-02-15,35,0.381652213741722,76.7790181769766,"exp"
2020-02-16,35,0.340068845448843,74.3391170143658,"exp"
2020-03-30,35,0.409507736402356,36.0439647892452,"exp"
2020-03-31,35,0.416330198848511,34.6330957518357,"exp"
2020-04-01,35,0.388062163910041,45.9423946156103,"exp"
2020-04-02,35,0.373805105610876,46.7476313577441,"exp"
2020-04-03,35,0.400759360622344,42.928720479709,"exp"
2020-04-04,35,0.376928794889768,48.1786149595084,"exp"
2020-04-05,35,0.379939746248377,42.6474300345134,"exp"
