"day","lag","rho","error","index"
2020-02-10,16,0.427281896415048,229.867137110969,"exp"
2020-02-11,16,0.426396330154249,224.493778874686,"exp"
2020-02-12,16,0.426680791612253,229.112208893857,"exp"
2020-02-13,16,0.426527394350074,231.001149121997,"exp"
2020-02-14,16,0.426569631551992,239.93943187397,"exp"
2020-02-15,16,0.426590444790892,204.228176519252,"exp"
2020-02-16,16,0.426056009756288,190.800444785036,"exp"
2020-03-30,16,0.426107375141373,133.575834499502,"exp"
2020-03-31,16,0.426130077041824,134.231129194893,"exp"
2020-04-01,16,0.424314085094142,158.227071712842,"exp"
2020-04-02,16,0.422084569028611,161.300596155319,"exp"
2020-04-03,16,0.42309102336317,164.175791794928,"exp"
2020-04-04,16,0.421334489379358,158.03921451541,"exp"
2020-04-05,16,0.420595008988985,147.180786963649,"exp"
