"x","y","cell.index","cell.id","grid_size_km"
1,1,1,"1_1",1
2,1,2,"2_1",1
3,1,3,"3_1",1
4,1,4,"4_1",1
5,1,5,"5_1",1
6,1,6,"6_1",1
7,1,7,"7_1",1
8,1,8,"8_1",1
9,1,9,"9_1",1
10,1,10,"10_1",1
11,1,11,"11_1",1
12,1,12,"12_1",1
13,1,13,"13_1",1
14,1,14,"14_1",1
15,1,15,"15_1",1
16,1,16,"16_1",1
17,1,17,"17_1",1
18,1,18,"18_1",1
19,1,19,"19_1",1
20,1,20,"20_1",1
21,1,21,"21_1",1
22,1,22,"22_1",1
23,1,23,"23_1",1
24,1,24,"24_1",1
25,1,25,"25_1",1
26,1,26,"26_1",1
27,1,27,"27_1",1
28,1,28,"28_1",1
29,1,29,"29_1",1
30,1,30,"30_1",1
31,1,31,"31_1",1
32,1,32,"32_1",1
33,1,33,"33_1",1
34,1,34,"34_1",1
35,1,35,"35_1",1
36,1,36,"36_1",1
37,1,37,"37_1",1
38,1,38,"38_1",1
39,1,39,"39_1",1
40,1,40,"40_1",1
41,1,41,"41_1",1
42,1,42,"42_1",1
43,1,43,"43_1",1
44,1,44,"44_1",1
45,1,45,"45_1",1
46,1,46,"46_1",1
47,1,47,"47_1",1
48,1,48,"48_1",1
49,1,49,"49_1",1
50,1,50,"50_1",1
51,1,51,"51_1",1
52,1,52,"52_1",1
53,1,53,"53_1",1
54,1,54,"54_1",1
55,1,55,"55_1",1
56,1,56,"56_1",1
57,1,57,"57_1",1
58,1,58,"58_1",1
59,1,59,"59_1",1
60,1,60,"60_1",1
61,1,61,"61_1",1
62,1,62,"62_1",1
63,1,63,"63_1",1
64,1,64,"64_1",1
65,1,65,"65_1",1
66,1,66,"66_1",1
67,1,67,"67_1",1
68,1,68,"68_1",1
69,1,69,"69_1",1
70,1,70,"70_1",1
71,1,71,"71_1",1
72,1,72,"72_1",1
73,1,73,"73_1",1
74,1,74,"74_1",1
75,1,75,"75_1",1
76,1,76,"76_1",1
77,1,77,"77_1",1
78,1,78,"78_1",1
79,1,79,"79_1",1
80,1,80,"80_1",1
81,1,81,"81_1",1
82,1,82,"82_1",1
83,1,83,"83_1",1
84,1,84,"84_1",1
85,1,85,"85_1",1
86,1,86,"86_1",1
87,1,87,"87_1",1
88,1,88,"88_1",1
89,1,89,"89_1",1
90,1,90,"90_1",1
91,1,91,"91_1",1
92,1,92,"92_1",1
93,1,93,"93_1",1
94,1,94,"94_1",1
95,1,95,"95_1",1
96,1,96,"96_1",1
97,1,97,"97_1",1
98,1,98,"98_1",1
99,1,99,"99_1",1
100,1,100,"100_1",1
1,2,101,"1_2",1
2,2,102,"2_2",1
3,2,103,"3_2",1
4,2,104,"4_2",1
5,2,105,"5_2",1
6,2,106,"6_2",1
7,2,107,"7_2",1
8,2,108,"8_2",1
9,2,109,"9_2",1
10,2,110,"10_2",1
11,2,111,"11_2",1
12,2,112,"12_2",1
13,2,113,"13_2",1
14,2,114,"14_2",1
15,2,115,"15_2",1
16,2,116,"16_2",1
17,2,117,"17_2",1
18,2,118,"18_2",1
19,2,119,"19_2",1
20,2,120,"20_2",1
21,2,121,"21_2",1
22,2,122,"22_2",1
23,2,123,"23_2",1
24,2,124,"24_2",1
25,2,125,"25_2",1
26,2,126,"26_2",1
27,2,127,"27_2",1
28,2,128,"28_2",1
29,2,129,"29_2",1
30,2,130,"30_2",1
31,2,131,"31_2",1
32,2,132,"32_2",1
33,2,133,"33_2",1
34,2,134,"34_2",1
35,2,135,"35_2",1
36,2,136,"36_2",1
37,2,137,"37_2",1
38,2,138,"38_2",1
39,2,139,"39_2",1
40,2,140,"40_2",1
41,2,141,"41_2",1
42,2,142,"42_2",1
43,2,143,"43_2",1
44,2,144,"44_2",1
45,2,145,"45_2",1
46,2,146,"46_2",1
47,2,147,"47_2",1
48,2,148,"48_2",1
49,2,149,"49_2",1
50,2,150,"50_2",1
51,2,151,"51_2",1
52,2,152,"52_2",1
53,2,153,"53_2",1
54,2,154,"54_2",1
55,2,155,"55_2",1
56,2,156,"56_2",1
57,2,157,"57_2",1
58,2,158,"58_2",1
59,2,159,"59_2",1
60,2,160,"60_2",1
61,2,161,"61_2",1
62,2,162,"62_2",1
63,2,163,"63_2",1
64,2,164,"64_2",1
65,2,165,"65_2",1
66,2,166,"66_2",1
67,2,167,"67_2",1
68,2,168,"68_2",1
69,2,169,"69_2",1
70,2,170,"70_2",1
71,2,171,"71_2",1
72,2,172,"72_2",1
73,2,173,"73_2",1
74,2,174,"74_2",1
75,2,175,"75_2",1
76,2,176,"76_2",1
77,2,177,"77_2",1
78,2,178,"78_2",1
79,2,179,"79_2",1
80,2,180,"80_2",1
81,2,181,"81_2",1
82,2,182,"82_2",1
83,2,183,"83_2",1
84,2,184,"84_2",1
85,2,185,"85_2",1
