"day","lag","rho","error","index"
2019-08-26,15,0.00104493171297519,249.754521365742,"homo"
2019-08-27,15,0.00105312339502065,253.440541494915,"homo"
2019-08-28,15,0.00105881939712963,267.485490186485,"homo"
2019-08-29,15,0.00105905296224311,269.503351894698,"homo"
2019-08-30,15,0.00106787241246994,274.33398831555,"homo"
2019-08-31,15,0.00104339066817733,242.591263727689,"homo"
2019-09-01,15,0.0010410807757656,245.679637601189,"homo"
2019-09-02,15,0.00104352676963948,239.962082969744,"homo"
2019-09-03,15,0.00103860315217082,234.421002164352,"homo"
2019-09-04,15,0.00103243193310247,191.015172578356,"homo"
2019-09-05,15,0.00103179688698934,254.755072611133,"homo"
2019-09-06,15,0.00104708308877605,277.592340314427,"homo"
2019-09-07,15,0.0010399839973004,266.089499622428,"homo"
2019-09-08,15,0.00103092270184795,240.647347935138,"homo"
2019-09-09,15,0.0010582831831708,262.308564856265,"homo"
2019-09-10,15,0.00105543850861806,266.624150462554,"homo"
2019-09-11,15,0.00105333779411755,267.862598874677,"homo"
2019-09-12,15,0.00105536461642613,274.448422086708,"homo"
2019-08-26,15,4.99994543432267,2055.25882783142,"power"
2019-08-27,15,4.99994542414003,2096.81454638076,"power"
2019-08-28,15,4.99994549250502,2225.63618797494,"power"
2019-08-29,15,4.99994552001585,2246.37917847736,"power"
2019-08-30,15,4.99994543171165,2297.78793444953,"power"
2019-08-31,15,4.99994548847154,2001.16973785626,"power"
2019-09-01,15,4.99994578403117,2027.38622030683,"power"
2019-09-02,15,4.99994536775928,1962.98328733413,"power"
2019-09-03,15,4.99994483879735,1896.43681231156,"power"
2019-09-04,15,4.99994464539241,1514.67730702719,"power"
2019-09-05,15,4.99994522998687,2103.25120713609,"power"
2019-09-06,15,4.99994547016886,2301.66703365689,"power"
2019-09-07,15,4.99994577656797,2191.77054070841,"power"
2019-09-08,15,4.99994569167777,1978.80573842895,"power"
2019-09-09,15,4.99994555407438,2200.20925333356,"power"
2019-09-10,15,4.99994574704726,2244.86580063835,"power"
2019-09-11,15,4.99994548093576,2258.85785334416,"power"
2019-09-12,15,4.99994551455329,2311.70697326498,"power"
2019-08-26,15,0.410023977717488,225.87860530775,"exp"
2019-08-27,15,0.410647489557507,229.131645590625,"exp"
2019-08-28,15,0.411353938129489,241.023978215827,"exp"
2019-08-29,15,0.411856197295254,242.113501613906,"exp"
2019-08-30,15,0.412907303187416,246.034788850947,"exp"
2019-08-31,15,0.411221781081325,217.111915691596,"exp"
2019-09-01,15,0.408264258358616,223.286291223622,"exp"
2019-09-02,15,0.409443359899948,217.234031342698,"exp"
2019-09-03,15,0.408860028512433,213.679206616109,"exp"
2019-09-04,15,0.404468697346138,176.385692951914,"exp"
2019-09-05,15,0.410317076013738,228.731752632879,"exp"
2019-09-06,15,0.410755079410758,249.52960812269,"exp"
2019-09-07,15,0.407858696232506,241.872209199322,"exp"
2019-09-08,15,0.407438070093358,218.088504016259,"exp"
2019-09-09,15,0.410196624968454,237.832926293419,"exp"
2019-09-10,15,0.409139701301285,242.675367060008,"exp"
2019-09-11,15,0.410196624968454,242.456560997062,"exp"
2019-09-12,15,0.409774582794741,249.266959984523,"exp"
