"msa","lag","rho","error","index"
"Jacksonville",15,0.0012160847660558,1110.768468729,"homo"
"Jacksonville",15,4.9999440954777,10524.7947453173,"power"
"Jacksonville",15,0.417809259340144,1050.40767649215,"exp"
