"model","period","value","msa","metric"
"homo","before",119.861706931943,"Atlanta","SMAPE"
"exp","before",80.0291841132283,"Atlanta","SMAPE"
"power","before",979.532262308271,"Atlanta","SMAPE"
"homo","during",64.901682854936,"Atlanta","SMAPE"
"exp","during",44.8184162819643,"Atlanta","SMAPE"
"power","during",529.168939790771,"Atlanta","SMAPE"
"homo","before",38.0798728036619,"Boston","SMAPE"
"exp","before",35.9138705667696,"Boston","SMAPE"
"power","before",400.640665612756,"Boston","SMAPE"
"homo","during",21.9400997432753,"Boston","SMAPE"
"exp","during",19.443601873592,"Boston","SMAPE"
"power","during",212.617863291129,"Boston","SMAPE"
"homo","before",62.4374362359098,"Chicago","SMAPE"
"exp","before",50.2206351210952,"Chicago","SMAPE"
"power","before",568.540178839338,"Chicago","SMAPE"
"homo","during",33.2138905765693,"Chicago","SMAPE"
"exp","during",27.1158429424037,"Chicago","SMAPE"
"power","during",301.051217816906,"Chicago","SMAPE"
"homo","before",111.993976343163,"Dallas","SMAPE"
"exp","before",87.6357593152903,"Dallas","SMAPE"
"power","before",1015.74597118724,"Dallas","SMAPE"
"homo","during",56.4046711458323,"Dallas","SMAPE"
"exp","during",45.7012816770993,"Dallas","SMAPE"
"power","during",492.906180099708,"Dallas","SMAPE"
"homo","before",185.062111394746,"Houston","SMAPE"
"exp","before",156.517910480115,"Houston","SMAPE"
"power","before",1500.22257169698,"Houston","SMAPE"
"homo","during",84.259199868978,"Houston","SMAPE"
"exp","during",71.2858612766485,"Houston","SMAPE"
"power","during",744.973016196528,"Houston","SMAPE"
"homo","before",50.7072806535266,"Los Angeles","SMAPE"
"exp","before",49.1023118486254,"Los Angeles","SMAPE"
"power","before",558.986443057973,"Los Angeles","SMAPE"
"homo","during",27.2329704539789,"Los Angeles","SMAPE"
"exp","during",24.572114293918,"Los Angeles","SMAPE"
"power","during",278.824979659231,"Los Angeles","SMAPE"
"homo","before",91.2742718481903,"Miami","SMAPE"
"exp","before",93.4219905529527,"Miami","SMAPE"
"power","before",1010.10901275017,"Miami","SMAPE"
"homo","during",41.426640552037,"Miami","SMAPE"
"exp","during",36.2817170460492,"Miami","SMAPE"
"power","during",413.753521731998,"Miami","SMAPE"
"homo","before",57.5982338969979,"New York","SMAPE"
"exp","before",51.2385146663058,"New York","SMAPE"
"power","before",579.396345775987,"New York","SMAPE"
"homo","during",26.2306518091257,"New York","SMAPE"
"exp","during",24.5564920551054,"New York","SMAPE"
"power","during",266.053179582157,"New York","SMAPE"
"homo","before",49.7944835480859,"Philadelphia","SMAPE"
"exp","before",43.8798857125482,"Philadelphia","SMAPE"
"power","before",504.695524194336,"Philadelphia","SMAPE"
"homo","during",26.1747124566489,"Philadelphia","SMAPE"
"exp","during",24.0144271061746,"Philadelphia","SMAPE"
"power","during",267.163536278433,"Philadelphia","SMAPE"
"homo","before",47.5233987220055,"San Francisco","SMAPE"
"exp","before",45.6891965964752,"San Francisco","SMAPE"
"power","before",516.243187020773,"San Francisco","SMAPE"
"homo","during",23.9942338085364,"San Francisco","SMAPE"
"exp","during",22.1670859893573,"San Francisco","SMAPE"
"power","during",260.657951912423,"San Francisco","SMAPE"
"homo","before",43.2451789209006,"Seattle","SMAPE"
"exp","before",44.667681141874,"Seattle","SMAPE"
"power","before",513.713628559042,"Seattle","SMAPE"
"homo","during",29.9619667148463,"Seattle","SMAPE"
"exp","during",28.9572674775467,"Seattle","SMAPE"
"power","during",280.677874823487,"Seattle","SMAPE"
"homo","before",55.1721656053254,"Washington, D.C.","SMAPE"
"exp","before",51.9451155967386,"Washington, D.C.","SMAPE"
"power","before",567.732075882992,"Washington, D.C.","SMAPE"
"homo","during",31.7305800327592,"Washington, D.C.","SMAPE"
"exp","during",27.9045007467452,"Washington, D.C.","SMAPE"
"power","during",294.706213458318,"Washington, D.C.","SMAPE"
"homo","before",0.684220340621532,"Atlanta","SSI"
"exp","before",0.803055524158312,"Atlanta","SSI"
