"model","period","value","msa","metric"
"power","during",0.218706246226927,"Los Angeles","SSI"
"homo","before",0.662668772205049,"Miami","SSI"
"exp","before",0.722920640989996,"Miami","SSI"
"power","before",0.211876014523065,"Miami","SSI"
"homo","during",0.711138807991381,"Miami","SSI"
"exp","during",0.769600241277912,"Miami","SSI"
"power","during",0.218390717237414,"Miami","SSI"
"homo","before",0.439681433826617,"New York","SSI"
"exp","before",0.438099377068689,"New York","SSI"
"power","before",0.218756707015965,"New York","SSI"
"homo","during",0.430531022795916,"New York","SSI"
"exp","during",0.408403860366741,"New York","SSI"
"power","during",0.224529420602258,"New York","SSI"
"homo","before",0.677484243792861,"Philadelphia","SSI"
"exp","before",0.743475136759872,"Philadelphia","SSI"
"power","before",0.222391560485008,"Philadelphia","SSI"
"homo","during",0.718306916944068,"Philadelphia","SSI"
"exp","during",0.779653264999901,"Philadelphia","SSI"
"power","during",0.227996504718251,"Philadelphia","SSI"
"homo","before",0.630855236448901,"San Francisco","SSI"
"exp","before",0.584919938888891,"San Francisco","SSI"
"power","before",0.209048461071544,"San Francisco","SSI"
"homo","during",0.650608779610503,"San Francisco","SSI"
"exp","during",0.389057305490126,"San Francisco","SSI"
"power","during",0.216888501195618,"San Francisco","SSI"
"homo","before",0.665070460888918,"Seattle","SSI"
"exp","before",0.681863323736162,"Seattle","SSI"
"power","before",0.221830440236921,"Seattle","SSI"
"homo","during",0.718962245499688,"Seattle","SSI"
"exp","during",0.754597689577933,"Seattle","SSI"
"power","during",0.22809034197365,"Seattle","SSI"
"homo","before",0.667482284560257,"Washington, D.C.","SSI"
"exp","before",0.72141742758899,"Washington, D.C.","SSI"
"power","before",0.225722947973428,"Washington, D.C.","SSI"
"homo","during",0.709656089465383,"Washington, D.C.","SSI"
"exp","during",0.75903318608702,"Washington, D.C.","SSI"
"power","during",0.231626584058215,"Washington, D.C.","SSI"
"homo","before",0.617326233157486,"Atlanta","CPC"
"exp","before",0.74742637090267,"Atlanta","CPC"
"power","before",0.998882726661303,"Atlanta","CPC"
"homo","during",0.651435068434805,"Atlanta","CPC"
"exp","during",0.778510648900805,"Atlanta","CPC"
"power","during",1,"Atlanta","CPC"
"homo","before",0.572795280855712,"Boston","CPC"
"exp","before",0.457859014550852,"Boston","CPC"
"power","before",0.996528364979469,"Boston","CPC"
"homo","during",0.569018801112312,"Boston","CPC"
"exp","during",0.581004253582404,"Boston","CPC"
"power","during",0.999117683679047,"Boston","CPC"
"homo","before",0.543178911434873,"Chicago","CPC"
"exp","before",0.560219972477607,"Chicago","CPC"
"power","before",0.999426521321394,"Chicago","CPC"
"homo","during",0.578215313239997,"Chicago","CPC"
"exp","during",0.646904700485252,"Chicago","CPC"
"power","during",0.998916128273184,"Chicago","CPC"
"homo","before",0.597628766481372,"Dallas","CPC"
"exp","before",0.735552315361301,"Dallas","CPC"
"power","before",0.999935591668907,"Dallas","CPC"
"homo","during",0.61464764587098,"Dallas","CPC"
"exp","during",0.768646630916011,"Dallas","CPC"
"power","during",0.998706233345385,"Dallas","CPC"
"homo","before",0.54799745483869,"Houston","CPC"
"exp","before",0.729077401587374,"Houston","CPC"
"power","before",0.999225357767711,"Houston","CPC"
"homo","during",0.5737162677582,"Houston","CPC"
"exp","during",0.746794380491067,"Houston","CPC"
"power","during",0.999431538922662,"Houston","CPC"
"homo","before",0.584447568009385,"Los Angeles","CPC"
"exp","before",0.566049598039834,"Los Angeles","CPC"
"power","before",0.999328816031901,"Los Angeles","CPC"
"homo","during",0.615250557726574,"Los Angeles","CPC"
"exp","during",0.634018070275063,"Los Angeles","CPC"
"power","during",0.998362643571831,"Los Angeles","CPC"
"homo","before",0.572952992225212,"Miami","CPC"
"exp","before",0.649535259694327,"Miami","CPC"
"power","before",0.999780108452367,"Miami","CPC"
"homo","during",0.631289993794603,"Miami","CPC"
"exp","during",0.705791765048251,"Miami","CPC"
"power","during",0.999853696851913,"Miami","CPC"
"homo","before",0.284431672295101,"New York","CPC"
"exp","before",0.283106636902437,"New York","CPC"
"power","before",0.996531279709435,"New York","CPC"
"homo","during",0.276496146207712,"New York","CPC"
"exp","during",0.258023623600907,"New York","CPC"
"power","during",0.996835141388963,"New York","CPC"
"homo","before",0.633571640021657,"Philadelphia","CPC"
"exp","before",0.703824270934151,"Philadelphia","CPC"
"power","before",0.999817050095133,"Philadelphia","CPC"
"homo","during",0.674482953451896,"Philadelphia","CPC"
"exp","during",0.729277465754464,"Philadelphia","CPC"
"power","during",0.999206969464141,"Philadelphia","CPC"
"homo","before",0.512803087906198,"San Francisco","CPC"
"exp","before",0.430423296828097,"San Francisco","CPC"
"power","before",0.999888854510458,"San Francisco","CPC"
"homo","during",0.520610144743463,"San Francisco","CPC"
"exp","during",0.242956568477043,"San Francisco","CPC"
"power","during",0.99967549383314,"San Francisco","CPC"
"homo","before",0.580225908488099,"Seattle","CPC"
"exp","before",0.581116447501098,"Seattle","CPC"
"power","before",0.998581465621571,"Seattle","CPC"
"homo","during",0.638980309356467,"Seattle","CPC"
"exp","during",0.675879803174988,"Seattle","CPC"
"power","during",0.998373586962017,"Seattle","CPC"
"homo","before",0.592841835834736,"Washington, D.C.","CPC"
"exp","before",0.654615426807937,"Washington, D.C.","CPC"
"power","before",0.999856143001667,"Washington, D.C.","CPC"
"homo","during",0.65002024974757,"Washington, D.C.","CPC"
"exp","during",0.695990779278134,"Washington, D.C.","CPC"
"power","during",0.999255954097367,"Washington, D.C.","CPC"
"homo","before",0.048955757058867,"Atlanta","PCC"
"exp","before",0.603345449360916,"Atlanta","PCC"
"power","before",0.610420138084367,"Atlanta","PCC"
"homo","during",0.0877472159389344,"Atlanta","PCC"
"exp","during",0.657777080538734,"Atlanta","PCC"
"power","during",0.660085623548333,"Atlanta","PCC"
"homo","before",0.0589668678324863,"Boston","PCC"
"exp","before",0.4106950237273,"Boston","PCC"
"power","before",0.451466123359823,"Boston","PCC"
"homo","during",0.00946212586607285,"Boston","PCC"
"exp","during",0.467932046319714,"Boston","PCC"
"power","during",0.489704250435432,"Boston","PCC"
"homo","before",0.0290562914047855,"Chicago","PCC"
