"msa","day","rho","county","pop","area","median_rho","model"
"Atlanta","2020-02-11",0.44898811753729,"msa",5.862424,22892.397400061,0.44898811753729,0.456540322193341
"Boston","2020-02-11",0.417349101849819,"msa",4.832346,11664.572507828,0.417349101849819,0.445979008290918
"Chicago","2020-02-15",0.421911687895778,"msa",9.508605,24771.6933693088,0.421911687895778,0.447637384380244
"Dallas","2020-02-15",0.432672023898392,"msa",7.320663,23341.1341701196,0.432672023898392,0.452059090244808
"Houston","2020-02-13",0.415435113192746,"msa",6.884138,24488.3336142581,0.415435113192746,0.454473218768021
"Los Angeles","2020-02-15",0.409291993454222,"msa",13.249614,14764.614485075,0.409291993454222,0.429517106937623
"Miami","2020-02-16",0.386465629695235,"msa",6.09066,15925.1875921994,0.386465629695235,0.447716698096376
"New York","2020-02-15",0.395766761068766,"msa",19.294236,23829.044163876,0.395766761068766,0.431671642646046
"Philadelphia","2020-02-14",0.421830929413927,"msa",6.07913,12601.1921082928,0.421830929413927,0.442686396655416
"San Francisco","2020-02-13",0.387128805049056,"msa",4.701332,8868.77189682383,0.387128805049056,0.440661123571928
"Seattle","2020-02-13",0.415351603190045,"msa",3.871323,16293.2933941709,0.415351603190045,0.458207544097351
"Washington, D.C.","2020-02-15",0.417137527234762,"msa",6.196585,18121.6164980288,0.417137527234762,0.450162416449542
"Atlanta","2020-02-14",0.552814243941061,"13171",0.018672,481.544228569687,0.552814243941061,0.500460881214055
"Atlanta","2020-02-12",0.460531472704213,"13063",0.283538,374.065219766394,0.460531472704213,0.433059829824502
"Atlanta","2020-02-10",0.444361968940897,"13089",0.749323,702.574344120968,0.444361968940897,0.425923261430757
"Atlanta","2020-02-11",0.542471770842735,"13227",0.031387,602.835445314184,0.542471770842735,0.493335245961612
"Atlanta","2020-02-10",0.496550365445326,"13045",0.117183,1305.27338265023,0.496550365445326,0.480428956482483
"Atlanta","2020-02-12",0.487134568556007,"13297",0.091442,854.983970941996,0.487134568556007,0.476354204389869
"Atlanta","2020-02-11",0.507920679719225,"13013",0.078991,422.114902995101,0.507920679719225,0.463562397397374
"Atlanta","2020-02-12",0.507163984360489,"13223",0.159825,814.391424436806,0.507163984360489,0.462490388189032
