"model","period","value","msa","metric"
"homo","before",179.301319917982,"Atlanta","SMAPE"
"exp","before",121.612361157932,"Atlanta","SMAPE"
"power","before",1513.6856471117,"Atlanta","SMAPE"
"homo","during",123.451259034663,"Atlanta","SMAPE"
"exp","during",85.4973422027238,"Atlanta","SMAPE"
"power","during",1047.63114594955,"Atlanta","SMAPE"
"homo","before",55.6356925968116,"Boston","SMAPE"
"exp","before",54.1888099114411,"Boston","SMAPE"
"power","before",610.860547290119,"Boston","SMAPE"
"homo","during",40.4596962738811,"Boston","SMAPE"
"exp","during",37.5580925196663,"Boston","SMAPE"
"power","during",398.867807399929,"Boston","SMAPE"
"homo","before",96.7553973714839,"Chicago","SMAPE"
"exp","before",78.2359059379147,"Chicago","SMAPE"
"power","before",885.542168057334,"Chicago","SMAPE"
"homo","during",66.3955737940637,"Chicago","SMAPE"
"exp","during",54.4794922335481,"Chicago","SMAPE"
"power","during",604.273233627196,"Chicago","SMAPE"
"homo","before",165.952483174098,"Dallas","SMAPE"
"exp","before",125.534882907161,"Dallas","SMAPE"
"power","before",1495.2784150985,"Dallas","SMAPE"
"homo","during",111.393270652941,"Dallas","SMAPE"
"exp","during",85.7571433083077,"Dallas","SMAPE"
"power","during",989.492347249849,"Dallas","SMAPE"
"homo","before",293.469372312841,"Houston","SMAPE"
"exp","before",245.804825797429,"Houston","SMAPE"
"power","before",2289.00280665169,"Houston","SMAPE"
"homo","during",191.282435442653,"Houston","SMAPE"
"exp","during",159.774653720812,"Houston","SMAPE"
"power","during",1526.75814928572,"Houston","SMAPE"
"homo","before",73.7157373573375,"Los Angeles","SMAPE"
"exp","before",70.7808731661412,"Los Angeles","SMAPE"
"power","before",814.76950716799,"Los Angeles","SMAPE"
"homo","during",46.7293363343808,"Los Angeles","SMAPE"
"exp","during",45.0806455841358,"Los Angeles","SMAPE"
"power","during",502.518392709146,"Los Angeles","SMAPE"
"homo","before",134.548564857066,"Miami","SMAPE"
"exp","before",130.406287042362,"Miami","SMAPE"
"power","before",1366.67180777234,"Miami","SMAPE"
"homo","during",82.5300840138005,"Miami","SMAPE"
"exp","during",78.7535309702364,"Miami","SMAPE"
"power","during",847.398098911461,"Miami","SMAPE"
"homo","before",84.9452894027116,"New York","SMAPE"
"exp","before",72.3195438808682,"New York","SMAPE"
"power","before",828.983267201166,"New York","SMAPE"
"homo","during",53.5684706019172,"New York","SMAPE"
"exp","during",47.2213568516697,"New York","SMAPE"
"power","during",505.662372819467,"New York","SMAPE"
