msa,T_weeks,delta_point,ci_low,ci_med,ci_high
Atlanta,175,-0.00106856856011332,-0.00139296998078831,-0.00106856856011332,-0.000843410270020731
Boston,175,-0.0120362607927221,-0.0138197834985888,-0.0120605577054648,-0.0106287414389027
Chicago,175,-0.00407176726083455,-0.0045214199227599,-0.00406755074864109,-0.00339182563410508
Dallas,175,-0.000536634957882003,-0.00104387874824501,-0.000536634957882003,-9.65475453747569e-05
Houston,175,-0.00184646784732972,-0.00342777806410368,-0.00181345595755731,-0.00077019855584934
Los Angeles,175,-0.00952264183535398,-0.0104531410733224,-0.00952264183535398,-0.00859179359501204
Miami,175,-0.00392422162535121,-0.00952443806008299,-0.00392422162535121,0.00134092516851772
New York,175,-0.0148282713967778,-0.0155114145732344,-0.0147854582157636,-0.014264160225391
Philadelphia,175,-0.018356029397464,-0.0195631376735642,-0.0184175434913695,-0.0171035260400208
San Francisco,175,-0.00110042620680082,-0.00317891845271169,-0.00110042620680082,0.000535296074726647
Seattle,175,-0.00473952001482764,-0.00585646345411322,-0.00473952001482764,-0.00380557733954988
"Washington, D.C.",175,-0.0098984644792222,-0.0114179391273486,-0.00983788206116886,-0.00862024726148603
