"msa","pop_total","area_km2","avg_density","mean_cbg_area_km2","median_cbg_area_km2","n_cbg","radial_slope","radial_r2","compactness","poly_gini","rank_size_slope"
"Atlanta",5862424,22892.397400061,256.086066371728,8.81493931461724,2.4125367734825,2597,-4.56319876095796e-05,0.598126540422943,0.354151625503794,0.439770325480301,1.56509467027389
"Boston",4832346,11664.572507828,414.275447879213,3.41268944055822,0.722908314491786,3418,-4.67862733058215e-05,0.402933402957704,0.222783461816841,0.690242711911894,2.86962227326619
"Chicago",9508605,24771.6933693088,383.849616505459,3.7589823018678,0.501443114196586,6590,-3.95228070755804e-05,0.346662826465123,0.466480664653535,0.75065047233979,3.09117978742426
"Dallas",7320663,23341.1341701196,313.637844101493,5.65434451795532,0.885542417584275,4128,-4.45856690927442e-05,0.353256665295735,0.53943387211242,0.391214056409708,0.71322483038234
"Houston",6884138,24488.3336142581,281.119087498538,8.10603562206491,1.0526582447727,3021,-3.87267293225275e-05,0.349373896546841,0.408306919605923,0.459464569885127,1.64194734342159
"Los Angeles",13249614,14764.614485075,897.389770209952,1.79008420042132,0.34262977180857,8248,-2.37584725436999e-05,0.145626829026694,0.26611360105778,0.502868921567071,1.88656300995815
"Miami",6090660,15925.1875921994,382.454521476618,4.65648760005831,0.66157128195659,3420,-1.15515647551405e-05,0.0638968482637069,0.46144881656758,0.399078408676565,0.463385515221422
"New York",19294236,23829.044163876,809.694080354655,1.65755732915108,0.213746123116649,14376,-5.06441109009589e-05,0.576113905078619,0.208452154878202,0.727021224175179,2.16968491952349
"Philadelphia",6079130,12601.1921082928,482.424991838616,2.92642640694214,0.602332267709314,4306,-5.7854954370222e-05,0.435239851258953,0.391403438609282,0.590476866923153,3.55509820072633
"San Francisco",4701332,8868.77189682383,530.099550951771,3.0550368228811,0.375028756831269,2903,-4.30605959107205e-05,0.146047470171957,0.251048060991757,0.652459236850089,1.52866733356437
"Seattle",3871323,16293.2933941709,237.602239543849,6.56193853973858,0.818581902010828,2483,-3.54155742555522e-05,0.207062523889043,0.407900579276111,0.497664152726434,1.47364011793195
"Washington, D.C.",6196585,18121.6164980288,341.944384524087,5.06614942634296,0.834562445041573,3577,-4.73141932445835e-05,0.387265930201832,0.227190707648189,0.531706723425285,2.20924275873889
