"msa","county","day","empirical","model"
"Atlanta","msa","2020-02-11",100,88.8488188703147
"Atlanta","msa","2020-02-11",479,197.123286464633
"Atlanta","msa","2020-02-11",1028,355.559078232956
"Atlanta","msa","2020-02-11",327,179.937007254619
"Atlanta","msa","2020-02-11",10,40.5520976813852
"Atlanta","msa","2020-02-11",355,186.082380128508
"Atlanta","msa","2020-02-11",35,111.904920678434
"Atlanta","msa","2020-02-11",52,259.475392648232
"Atlanta","msa","2020-02-11",1046,272.149983839114
"Atlanta","msa","2020-02-11",49,102.562070611031
"Atlanta","msa","2020-02-11",97,149.105393090079
"Atlanta","msa","2020-02-11",102,82.261957142976
"Atlanta","msa","2020-02-11",41,114.330391436054
"Atlanta","msa","2020-02-11",740,231.356427194037
"Atlanta","msa","2020-02-11",69,102.311744921512
"Atlanta","msa","2020-02-11",63,50.3438489312267
"Atlanta","msa","2020-02-11",856,186.936325360564
"Atlanta","msa","2020-02-11",31,41.7449426724323
"Atlanta","msa","2020-02-11",374,176.595595594108
"Atlanta","msa","2020-02-11",126,93.9449891830528
"Atlanta","msa","2020-02-11",276,240.926821117805
"Atlanta","msa","2020-02-11",299,176.836308930946
"Atlanta","msa","2020-02-11",89,63.8930526230618
"Atlanta","msa","2020-02-11",52,94.9839252581865
"Atlanta","msa","2020-02-11",290,164.064723154045
"Atlanta","msa","2020-02-11",89,70.6266137682971
"Atlanta","msa","2020-02-11",82,51.7449218830159
"Atlanta","msa","2020-02-11",254,189.955702944749
"Atlanta","msa","2020-02-11",206,151.646684050935
"Atlanta","msa","2020-02-11",61,31.4936318408157
"Atlanta","msa","2020-02-11",301,131.762841072015
"Atlanta","msa","2020-02-11",156,192.614430784355
"Atlanta","msa","2020-02-11",1904,324.642874049336
"Atlanta","msa","2020-02-11",136,242.33438872165
"Atlanta","msa","2020-02-11",58,179.395508024562
"Atlanta","msa","2020-02-11",95,173.141225044508
"Atlanta","msa","2020-02-11",194,109.50720603612
"Atlanta","msa","2020-02-11",16,54.3678175381041
"Atlanta","msa","2020-02-11",700,293.177605691213
"Atlanta","msa","2020-02-11",24,192.986405682256
"Atlanta","msa","2020-02-11",30,97.4915527611898
"Atlanta","msa","2020-02-11",335,191.315141534115
"Atlanta","msa","2020-02-11",368,112.797815300492
"Atlanta","msa","2020-02-11",79,90.4831784411786
"Atlanta","msa","2020-02-11",56,64.245941398331
"Atlanta","msa","2020-02-11",128,112.682475201927
"Atlanta","msa","2020-02-11",31,27.9376304338488
"Atlanta","msa","2020-02-11",284,155.624096412683
"Atlanta","msa","2020-02-11",118,91.1645565803371
"Atlanta","msa","2020-02-11",76,118.23069334784
"Atlanta","msa","2020-02-11",159,29.9122687863522
"Atlanta","msa","2020-02-11",933,182.299388238107
"Atlanta","msa","2020-02-11",116,147.885531399722
"Atlanta","msa","2020-02-11",18,48.8027313362769
"Atlanta","msa","2020-02-11",99,116.115478162711
"Atlanta","msa","2020-02-11",87,90.0349454941001
"Atlanta","msa","2020-02-11",137,129.286802680536
"Atlanta","msa","2020-02-11",975,168.731991278403
