"msa","n_cbg","mean_cbg_area_km2","median_cbg_area_km2","sd_cbg_area_km2","q25_cbg_area_km2","q75_cbg_area_km2","q95_cbg_area_km2","max_cbg_area_km2"
"Atlanta",2597,8.81493931461724,2.4125367734825,20.1888741439697,1.19402340796883,6.51426866366119,43.6828017196716,350.79339744895
"Boston",3418,3.41268944055822,0.722908314491786,18.726570121665,0.215533120683409,2.70996917562453,13.4003449402481,736.261843711695
"Chicago",6590,3.7589823018678,0.501443114196586,40.564977080969,0.219326461138944,1.2753751650894,8.61790018591372,2295.10721027887
"Dallas",4128,5.65434451795532,0.885542417584275,18.8762801644983,0.521227753353347,2.22303393137251,25.6816423748119,320.719829803346
"Houston",3021,8.10603562206491,1.0526582447727,32.2972140205225,0.575540351844537,2.89885123346481,36.4630886031718,626.251707827897
"Los Angeles",8248,1.79008420042132,0.34262977180857,20.3501536765795,0.225233291659748,0.632084182006596,2.55200721007506,805.96676393953
"Miami",3420,4.65648760005831,0.66157128195659,72.4573659620207,0.379276729002559,1.18761767338339,4.09731272904452,2376.4980660387
"New York",14376,1.65755732915108,0.213746123116649,23.7023557748678,0.069443106465814,0.750287626793767,5.35435100846973,2708.95760410865
"Philadelphia",4306,2.92642640694214,0.602332267709314,10.913477210343,0.195859253392024,1.88815767577494,13.2641048355574,474.086387592089
"San Francisco",2903,3.0550368228811,0.375028756831269,24.5992513574761,0.191296722617656,0.841852279826934,6.28791858523665,677.386390552805
"Seattle",2483,6.56193853973858,0.818581902010828,54.6785584850974,0.463298697320176,1.94136477879328,13.5207726233989,1378.38264823573
"Washington, D.C.",3577,5.06614942634296,0.834562445041573,16.5542194703847,0.370812214480587,2.15612738304928,26.1792086968462,361.085880785933
