"msa","nblock","lag.max","lag","nozero","pop.adj","area.adj","pop","area"
"Los Angeles",8248,37,6,972974,1548744339,2500692987132.76,13249614,14764614485.075
"Los Angeles",8248,37,7,1276290,2035735468,2886090226164.07,13249614,14764614485.075
"Los Angeles",8248,37,8,1571752,2513761680,3265102868622.23,13249614,14764614485.075
"Los Angeles",8248,37,9,1853450,2965068189,3484694319864.13,13249614,14764614485.075
"Los Angeles",8248,37,10,2108024,3376585945,3655516160537.35,13249614,14764614485.075
"Los Angeles",8248,37,11,2340924,3754199532,3798882160181.15,13249614,14764614485.075
"Los Angeles",8248,37,12,2554184,4098752723,3878410522685.07,13249614,14764614485.075
"Los Angeles",8248,37,13,2750264,4422414285,3972255519501.37,13249614,14764614485.075
"Los Angeles",8248,37,14,2934654,4727506655,4136908237080.59,13249614,14764614485.075
"Los Angeles",8248,37,15,3106520,5007572782,4324063407520.5,13249614,14764614485.075
"Los Angeles",8248,37,16,3244476,5221486768,4418855972503.72,13249614,14764614485.075
"Los Angeles",8248,37,17,3359310,5393487914,4414615100467.32,13249614,14764614485.075
"Los Angeles",8248,37,18,3469682,5561408882,4515595248130.98,13249614,14764614485.075
"Los Angeles",8248,37,19,3547588,5688721679,4744020973837.48,13249614,14764614485.075
"Los Angeles",8248,37,20,3599066,5778882850,5170763147330.47,13249614,14764614485.075
"Los Angeles",8248,37,21,3638352,5842391013,5559850071307.25,13249614,14764614485.075
"Los Angeles",8248,37,22,3631594,5833878292,5972253472039.43,13249614,14764614485.075
"Los Angeles",8248,37,23,3576542,5751729644,6222412448040.35,13249614,14764614485.075
"Los Angeles",8248,37,24,3450200,5556462294,6136104655296.82,13249614,14764614485.075
"Los Angeles",8248,37,25,3211808,5174268348,5771985016914.85,13249614,14764614485.075
"Los Angeles",8248,37,26,2847620,4585902866,5013905422322.08,13249614,14764614485.075
"Los Angeles",8248,37,27,2378162,3827773884,4016728060394.85,13249614,14764614485.075
"Los Angeles",8248,37,28,1835434,2952725304,2951584907324.9,13249614,14764614485.075
"Los Angeles",8248,37,29,1312436,2111704438,1904385028287.76,13249614,14764614485.075
"Los Angeles",8248,37,30,865480,1399202122,1075458196140.53,13249614,14764614485.075
"Los Angeles",8248,37,31,505652,822582570,522677998435.585,13249614,14764614485.075
"Los Angeles",8248,37,32,254660,417671798,209685068033.425,13249614,14764614485.075
"Los Angeles",8248,37,33,103110,170746793,61693327675.1038,13249614,14764614485.075
"Los Angeles",8248,37,34,31558,52693209,15154254659.435,13249614,14764614485.075
"Los Angeles",8248,37,35,6862,11576877,2853085084.16108,13249614,14764614485.075
"Los Angeles",8248,37,36,878,1465917,306239689.663611,13249614,14764614485.075
"Los Angeles",8248,37,37,32,46168,9149923.50582397,13249614,14764614485.075
"Miami",3420,22,1,22738,41868881,221610172473.888,6090660,15925187592.1994
"Miami",3420,22,2,58044,105819176,925748524721.083,6090660,15925187592.1994
"Miami",3420,22,3,114640,209638237,2030766478763.27,6090660,15925187592.1994
"Miami",3420,22,4,201920,370982318,3207584774629.96,6090660,15925187592.1994
"Miami",3420,22,5,324216,592308492,4474447526192.46,6090660,15925187592.1994
"Miami",3420,22,6,477944,869483070,5561304147374.1,6090660,15925187592.1994
"Miami",3420,22,7,663958,1212358524,6691977781844.65,6090660,15925187592.1994
"Miami",3420,22,8,875870,1596724604,7374089624230.12,6090660,15925187592.1994
"Miami",3420,22,9,1108392,2012667372,7326992259458.79,6090660,15925187592.1994
"Miami",3420,22,10,1325246,2385907779,5795677096059.8,6090660,15925187592.1994
"Miami",3420,22,11,1452616,2587257328,4232934946584.04,6090660,15925187592.1994
"Miami",3420,22,12,1421824,2508937813,2771085963121.67,6090660,15925187592.1994
"Miami",3420,22,13,1242150,2176045114,1660960919063.95,6090660,15925187592.1994
"Miami",3420,22,14,968646,1685727648,1021108696269.47,6090660,15925187592.1994
"Miami",3420,22,15,681638,1181507998,607483469468.712,6090660,15925187592.1994
"Miami",3420,22,16,419540,722438844,322872643288.756,6090660,15925187592.1994
"Miami",3420,22,17,212532,362175237,148365933848.575,6090660,15925187592.1994
"Miami",3420,22,18,85632,143989940,53535164323.9914,6090660,15925187592.1994
"Miami",3420,22,19,27712,45836138,15599458490.4902,6090660,15925187592.1994
"Miami",3420,22,20,6912,11067352,3656236455.46946,6090660,15925187592.1994
"Miami",3420,22,21,794,1202044,406853203.586612,6090660,15925187592.1994
"Miami",3420,22,22,16,22631,7707862.92746849,6090660,15925187592.1994
"New York",14376,52,1,93936,127789373,372891527649.962,19294236,23829044163.876
"New York",14376,52,2,251170,333280739,1112552105905.66,19294236,23829044163.876
"New York",14376,52,3,499808,652133184,1913408961339.6,19294236,23829044163.876
"New York",14376,52,4,851122,1101769657,2719691934004.75,19294236,23829044163.876
"New York",14376,52,5,1303116,1688160278,3792298412495.19,19294236,23829044163.876
"New York",14376,52,6,1854344,2406772797,5118751721991.22,19294236,23829044163.876
"New York",14376,52,7,2505572,3261220217,6290477591219.24,19294236,23829044163.876
"New York",14376,52,8,3223416,4210691755,7247401364940.28,19294236,23829044163.876
"New York",14376,52,9,3967532,5208170588,7963263841801.24,19294236,23829044163.876
"New York",14376,52,10,4714822,6209594372,8743951173862.98,19294236,23829044163.876
"New York",14376,52,11,5475220,7230410092,9430921790887.19,19294236,23829044163.876
"New York",14376,52,12,6214028,8237093438,10042345323066.6,19294236,23829044163.876
"New York",14376,52,13,6903814,9180006318,10945863174978.3,19294236,23829044163.876
"New York",14376,52,14,7560686,10068904099,11602096570385.2,19294236,23829044163.876
"New York",14376,52,15,8160310,10885181716,12136411954005.1,19294236,23829044163.876
"New York",14376,52,16,8661484,11577211758,12404547542829.1,19294236,23829044163.876
"New York",14376,52,17,9070006,12139608210,12710318778770.5,19294236,23829044163.876
"New York",14376,52,18,9405952,12597669384,13080395299217.2,19294236,23829044163.876
"New York",14376,52,19,9667060,12955182699,13477052290468,19294236,23829044163.876
"New York",14376,52,20,9892706,13263289580,13793417339290.8,19294236,23829044163.876
"New York",14376,52,21,10069330,13515817549,14014082148976.6,19294236,23829044163.876
"New York",14376,52,22,10184970,13691949589,14044860277774.6,19294236,23829044163.876
"New York",14376,52,23,10210652,13750856635,14029363355787.2,19294236,23829044163.876
"New York",14376,52,24,10060914,13574406650,13458811531493.5,19294236,23829044163.876
"New York",14376,52,25,9648278,13050024044,12823350746364.9,19294236,23829044163.876
"New York",14376,52,26,8954680,12147769500,12328689384256.3,19294236,23829044163.876
"New York",14376,52,27,8092362,11006849499,11860230009627.1,19294236,23829044163.876
"New York",14376,52,28,7194194,9797757425,11285627434409.9,19294236,23829044163.876
"New York",14376,52,29,6306682,8595986861,10456562783812.4,19294236,23829044163.876
"New York",14376,52,30,5439748,7427579694,9595718831304.62,19294236,23829044163.876
"New York",14376,52,31,4579370,6255314072,8502073001526.8,19294236,23829044163.876
"New York",14376,52,32,3752448,5125458141,7413929263072,19294236,23829044163.876
"New York",14376,52,33,3013544,4112774391,6438113943499.99,19294236,23829044163.876
"New York",14376,52,34,2389674,3252820724,5614996668262.68,19294236,23829044163.876
"New York",14376,52,35,1879692,2553322298,4904852423386.62,19294236,23829044163.876
"New York",14376,52,36,1457836,1974578509,4264093227678.2,19294236,23829044163.876
"New York",14376,52,37,1090842,1472346597,3634033554569.35,19294236,23829044163.876
"New York",14376,52,38,768310,1030881416,2969315983607.43,19294236,23829044163.876
"New York",14376,52,39,501750,668956263,2390185375043.44,19294236,23829044163.876
"New York",14376,52,40,305676,404576977,1905390414708.61,19294236,23829044163.876
"New York",14376,52,41,180498,236383037,1531254382154.32,19294236,23829044163.876
"New York",14376,52,42,109890,141518811,1230133451242.56,19294236,23829044163.876
"New York",14376,52,43,70484,89385115,971097849264.156,19294236,23829044163.876
"New York",14376,52,44,46390,57904609,742643178122.724,19294236,23829044163.876
"New York",14376,52,45,30620,37617621,527209106006.679,19294236,23829044163.876
"New York",14376,52,46,19446,23558349,339963346698.448,19294236,23829044163.876
"New York",14376,52,47,11052,13187449,195361559094.301,19294236,23829044163.876
"New York",14376,52,48,5678,6602886,101506650024.169,19294236,23829044163.876
"New York",14376,52,49,2570,2926332,47876425459.4487,19294236,23829044163.876
"New York",14376,52,50,1016,1096619,17803804881.2067,19294236,23829044163.876
"New York",14376,52,51,288,281627,5005410213.62507,19294236,23829044163.876
"New York",14376,52,52,12,12957,315634285.203772,19294236,23829044163.876
"Philadelphia",4306,36,1,27284,39678855,91348810753.8536,6079130,12601192108.2928
"Philadelphia",4306,36,2,71514,103964141,243146905598.732,6079130,12601192108.2928
"Philadelphia",4306,36,3,135140,194492593,438985604779.794,6079130,12601192108.2928
"Philadelphia",4306,36,4,215234,307507984,647759045716.189,6079130,12601192108.2928
"Philadelphia",4306,36,5,307576,433253308,871963239620.461,6079130,12601192108.2928
"Philadelphia",4306,36,6,412188,574146631,1120788906194.7,6079130,12601192108.2928
"Philadelphia",4306,36,7,522456,721858532,1366391520679.69,6079130,12601192108.2928
"Philadelphia",4306,36,8,638300,876583386,1596934937753.4,6079130,12601192108.2928
"Philadelphia",4306,36,9,755568,1032631510,1823124580130.35,6079130,12601192108.2928
"Philadelphia",4306,36,10,868458,1183095457,2040851822117.99,6079130,12601192108.2928
"Philadelphia",4306,36,11,971024,1320064261,2254866305000.72,6079130,12601192108.2928
