"day","pearson_homo","pearson_power","pearson_exp","spearman_homo","spearman_power","spearman_exp","kendall_homo","kendall_power","kendall_exp","event","msa"
"2020-02-10",-1,0.542146943159996,0.532245210088088,-0.999999886097221,0.567734750552281,0.557388274612008,-0.999989586564287,0.400853983444113,0.392245402523517,"COVID-19","Atlanta"
"2020-02-11",-1,0.566897389617364,0.555869127235926,-0.999999998972306,0.573316338622403,0.56329541807703,-0.999999553724869,0.405265738626787,0.396872458161375,"COVID-19","Atlanta"
"2020-02-12",-1,0.562794375109383,0.5522393192304,-1,0.579218503316702,0.568456549013716,-1,0.410163749399741,0.401139956206671,"COVID-19","Atlanta"
"2020-02-13",-1,0.545117485952501,0.535931423279201,-1,0.578643201615182,0.568447189772132,-1,0.409272617628426,0.400624944001263,"COVID-19","Atlanta"
"2020-02-14",-1,0.544155013229159,0.53397301553857,-0.999999999828718,0.589163687607085,0.578211307659625,-0.999999851284121,0.418672747755573,0.409466768324767,"COVID-19","Atlanta"
"2020-02-15",-1,0.517830259584154,0.509899040784443,-0.999999988181503,0.573236136526102,0.56375142557109,-0.999997470566131,0.405414340812542,0.397464638028434,"COVID-19","Atlanta"
"2020-02-16",-1,0.484458371450985,0.479219442139096,-0.999999992806092,0.564921074773755,0.555595907808761,-0.999998362358909,0.399024543701684,0.391360831106809,"COVID-19","Atlanta"
"2020-03-30",-1,0.542748822838732,0.53359100393406,-0.999999707270625,0.585126008538693,0.579381121333029,-0.999979125333582,0.414610984097603,0.409914462104744,"COVID-19","Atlanta"
"2020-03-31",-1,0.525724527287674,0.517583487053942,-0.999999255919474,0.571035891355505,0.566031235018815,-0.999950612056104,0.403458208815741,0.399211036000896,"COVID-19","Atlanta"
"2020-04-01",-1,0.536096296125598,0.525991565172192,-0.999999807645332,0.580078450820804,0.574790152311386,-0.999976896397706,0.409881627196988,0.405677157947927,"COVID-19","Atlanta"
"2020-04-02",-1,0.530556051355331,0.520753132794131,-0.999999984755548,0.571911319060309,0.567314875712197,-0.999996572183372,0.403882084952329,0.400311938721674,"COVID-19","Atlanta"
"2020-04-03",-1,0.528889293214878,0.519163783656436,-0.999999783152001,0.566783598981231,0.562558910976192,-0.999973323431702,0.399925844302952,0.396406835154716,"COVID-19","Atlanta"
"2020-04-04",-1,0.486846511856987,0.48099060620851,-0.999999382504125,0.543258679360482,0.542055833589063,-0.999959865383407,0.381513810580394,0.380629536208319,"COVID-19","Atlanta"
"2020-04-05",-1,0.475460839303957,0.471409024180364,-0.999999981842915,0.545791923974131,0.545257733431614,-0.999997758815196,0.384045992186314,0.383602956670181,"COVID-19","Atlanta"
"2020-02-10",-1,0.413140110156617,0.41332765568055,-1,0.481029027135888,0.477402219992529,-1,0.333855187952273,0.331220697668974,"COVID-19","Boston"
"2020-02-11",-1,0.420986928562868,0.420657008272857,-1,0.484231436606225,0.476048458992947,-1,0.335810690403165,0.329821200866953,"COVID-19","Boston"
"2020-02-12",-1,0.418716768438823,0.418761572251456,-0.999998972819166,0.484852758079986,0.481116383484588,-0.999949866137811,0.335986202600603,0.333373085269247,"COVID-19","Boston"
"2020-02-13",-1,0.396951046220597,0.397493329949644,-0.99999991321711,0.479237134185286,0.476722132478977,-0.999990934987413,0.332360356855079,0.330521473567865,"COVID-19","Boston"
"2020-02-14",-1,0.387374638738094,0.387280663827817,-0.99999998429675,0.481673283721509,0.487507656393741,-0.999996721976979,0.335143515895343,0.339591887072228,"COVID-19","Boston"
"2020-02-15",-1,0.380640750706401,0.380866605341783,-0.99999999782098,0.485000693400962,0.48411881800247,-0.999999308535814,0.338646216089964,0.337941832235782,"COVID-19","Boston"
"2020-02-16",-1,0.340569499529858,0.340987650272234,-1,0.459814367239835,0.460132271111597,-1,0.320474205021234,0.320648800632657,"COVID-19","Boston"
"2020-03-30",-1,0.35162015875309,0.352163016874266,-0.999999436571528,0.46791232250403,0.467864836371128,-0.999961183538379,0.325987943218655,0.325976176387536,"COVID-19","Boston"
"2020-03-31",-1,0.359724473051709,0.360271808448575,-0.999998357991027,0.479676583042173,0.479246289137598,-0.999923579587883,0.33442958062453,0.334211996265925,"COVID-19","Boston"
"2020-04-01",-1,0.388611891595652,0.388816350988837,-0.999999711670563,0.484985256420436,0.483410491781463,-0.999984387653005,0.338889175451011,0.337727026353554,"COVID-19","Boston"
"2020-04-02",-1,0.360467677509702,0.360986913383457,-0.999994358254207,0.474233105305414,0.474014299743582,-0.999853145440827,0.331319280451716,0.331134523653381,"COVID-19","Boston"
"2020-04-03",-1,0.372514494475008,0.372832140728766,-0.999999511768303,0.473470863335242,0.473060057663603,-0.999967858403683,0.330208274651539,0.329768268381448,"COVID-19","Boston"
"2020-04-04",-1,0.36940780560104,0.369470780062137,-0.999994628491589,0.478948434076607,0.478699696595332,-0.999853140806302,0.334419201918433,0.334154062559408,"COVID-19","Boston"
"2020-04-05",-1,0.343807307197746,0.344066953281984,-0.999991320408757,0.475742581510536,0.475736240216717,-0.99979575286514,0.332852049388147,0.332775864596021,"COVID-19","Boston"
"2020-02-10",-1,0.517915992245761,0.516639849469863,-0.999999892348522,0.50007296540406,0.497725520099001,-0.999990706356211,0.350346033882417,0.348484288771533,"COVID-19","Chicago"
"2020-02-11",-1,0.532420666047584,0.531122696538475,-0.99999981937446,0.503108067620711,0.50105711541474,-0.999982985326465,0.353134352111965,0.351541083786545,"COVID-19","Chicago"
"2020-02-12",-1,0.526905081863579,0.525791697902916,-0.999998525806727,0.509040654177188,0.506350630095985,-0.999924050141398,0.357189342489098,0.355059287676716,"COVID-19","Chicago"
