"model","period","value","msa","metric"
"homo","before",180.004953908732,"Atlanta","SMAPE"
"exp","before",148.332996133261,"Atlanta","SMAPE"
"power","before",1111.55538684652,"Atlanta","SMAPE"
"homo","during",82.7439926754863,"Atlanta","SMAPE"
"exp","during",68.6693433370348,"Atlanta","SMAPE"
"power","during",561.302618193408,"Atlanta","SMAPE"
"homo","before",69.94632059044,"Boston","SMAPE"
"exp","before",67.5616396335069,"Boston","SMAPE"
"power","before",553.501301109007,"Boston","SMAPE"
"homo","during",28.0469751357756,"Boston","SMAPE"
"exp","during",26.8324334818432,"Boston","SMAPE"
"power","during",257.756420161712,"Boston","SMAPE"
"homo","before",114.616826778149,"Chicago","SMAPE"
"exp","before",108.118194097929,"Chicago","SMAPE"
"power","before",851.55424513607,"Chicago","SMAPE"
"homo","during",47.3239499102141,"Chicago","SMAPE"
"exp","during",45.2644780328784,"Chicago","SMAPE"
"power","during",410.298311727672,"Chicago","SMAPE"
"homo","before",178.502644731604,"Dallas","SMAPE"
"exp","before",147.027379375124,"Dallas","SMAPE"
"power","before",1172.09507453006,"Dallas","SMAPE"
"homo","during",80.1373685458993,"Dallas","SMAPE"
"exp","during",67.4187201504001,"Dallas","SMAPE"
"power","during",565.273440799691,"Dallas","SMAPE"
"homo","before",200.991085138991,"Houston","SMAPE"
"exp","before",159.881145841553,"Houston","SMAPE"
"power","before",1292.68934597981,"Houston","SMAPE"
"homo","during",92.2620220465043,"Houston","SMAPE"
"exp","during",73.9709094054329,"Houston","SMAPE"
"power","during",658.246455829277,"Houston","SMAPE"
"homo","before",100.456102459289,"Los Angeles","SMAPE"
"exp","before",96.5047463009787,"Los Angeles","SMAPE"
"power","before",794.748907401658,"Los Angeles","SMAPE"
"homo","during",39.910073882869,"Los Angeles","SMAPE"
"exp","during",38.0402543100138,"Los Angeles","SMAPE"
"power","during",360.570038193574,"Los Angeles","SMAPE"
"homo","before",145.129174559742,"Miami","SMAPE"
"exp","before",131.283301322201,"Miami","SMAPE"
"power","before",1043.74590399619,"Miami","SMAPE"
"homo","during",55.5769480970695,"Miami","SMAPE"
"exp","during",48.7816412801428,"Miami","SMAPE"
"power","during",448.453978998244,"Miami","SMAPE"
"homo","before",105.264813079015,"New York","SMAPE"
"exp","before",101.243000764425,"New York","SMAPE"
"power","before",914.880852139167,"New York","SMAPE"
"homo","during",35.038351944166,"New York","SMAPE"
