"model","day","error","msa"
"exp","2020-04-04",44.4440302554216,"Chicago"
"exp","2020-04-05",35.5251588316705,"Chicago"
"power","2020-02-10",873.433118241367,"Chicago"
"power","2020-02-11",848.804941719355,"Chicago"
"power","2020-02-12",841.024135057543,"Chicago"
"power","2020-02-13",862.449840386788,"Chicago"
"power","2020-02-14",962.430844595347,"Chicago"
"power","2020-02-15",755.033238128166,"Chicago"
"power","2020-02-16",752.702311823513,"Chicago"
"power","2020-03-30",414.953650403778,"Chicago"
"power","2020-03-31",377.10457649695,"Chicago"
"power","2020-04-01",409.461228721393,"Chicago"
"power","2020-04-02",428.530730070937,"Chicago"
"power","2020-04-03",491.244065086114,"Chicago"
"power","2020-04-04",390.236295119309,"Chicago"
"power","2020-04-05",323.581174562423,"Chicago"
"homo","2020-02-10",175.699728445752,"Dallas"
"homo","2020-02-11",167.773092057014,"Dallas"
"homo","2020-02-12",171.270320251871,"Dallas"
"homo","2020-02-13",184.124385021152,"Dallas"
"homo","2020-02-14",207.121004091835,"Dallas"
"homo","2020-02-15",183.823551876954,"Dallas"
"homo","2020-02-16",154.52241976049,"Dallas"
"homo","2020-03-30",72.6548757841938,"Dallas"
"homo","2020-03-31",78.7488411529138,"Dallas"
"homo","2020-04-01",86.9141338736664,"Dallas"
"homo","2020-04-02",87.9061794371093,"Dallas"
"homo","2020-04-03",91.135034672538,"Dallas"
"homo","2020-04-04",77.1247264828233,"Dallas"
"homo","2020-04-05",61.3736371786419,"Dallas"
"exp","2020-02-10",144.54223057131,"Dallas"
"exp","2020-02-11",136.729104900513,"Dallas"
"exp","2020-02-12",139.327081355584,"Dallas"
"exp","2020-02-13",151.395405720197,"Dallas"
"exp","2020-02-14",168.871169316134,"Dallas"
"exp","2020-02-15",154.099546763034,"Dallas"
"exp","2020-02-16",130.163815505044,"Dallas"
"exp","2020-03-30",60.5119877788201,"Dallas"
"exp","2020-03-31",64.7493249586984,"Dallas"
"exp","2020-04-01",71.7399147400485,"Dallas"
"exp","2020-04-02",73.0250046507117,"Dallas"
"exp","2020-04-03",77.3777920053383,"Dallas"
"exp","2020-04-04",67.757036050696,"Dallas"
"exp","2020-04-05",53.8091673975753,"Dallas"
"power","2020-02-10",1175.62969434291,"Dallas"
"power","2020-02-11",1121.2028067958,"Dallas"
"power","2020-02-12",1143.57107088804,"Dallas"
"power","2020-02-13",1219.46079657068,"Dallas"
"power","2020-02-14",1345.74793503835,"Dallas"
"power","2020-02-15",1161.00628748252,"Dallas"
"power","2020-02-16",1006.38140297398,"Dallas"
"power","2020-03-30",526.690105777438,"Dallas"
"power","2020-03-31",564.256989434594,"Dallas"
"power","2020-04-01",617.153966243577,"Dallas"
"power","2020-04-02",613.313504587569,"Dallas"
"power","2020-04-03",634.960733065948,"Dallas"
"power","2020-04-04",531.052545736299,"Dallas"
"power","2020-04-05",440.108722959079,"Dallas"
"homo","2020-02-10",200.014700751965,"Houston"
"homo","2020-02-11",190.915868168201,"Houston"
"homo","2020-02-12",194.664515219866,"Houston"
"homo","2020-02-13",210.518398334672,"Houston"
"homo","2020-02-14",233.414940029067,"Houston"
"homo","2020-02-15",202.177172351657,"Houston"
"homo","2020-02-16",169.207648173946,"Houston"
"homo","2020-03-30",87.5693443621646,"Houston"
"homo","2020-03-31",92.1063074936756,"Houston"
"homo","2020-04-01",100.032713564598,"Houston"
"homo","2020-04-02",97.9237720186342,"Houston"
"homo","2020-04-03",105.038210985669,"Houston"
"homo","2020-04-04",86.1266607416898,"Houston"
"homo","2020-04-05",73.168657009182,"Houston"
"exp","2020-02-10",161.265827275878,"Houston"
"exp","2020-02-11",152.860443673833,"Houston"
"exp","2020-02-12",154.403644946508,"Houston"
"exp","2020-02-13",164.979195853587,"Houston"
"exp","2020-02-14",184.869864316523,"Houston"
"exp","2020-02-15",160.657885673233,"Houston"
"exp","2020-02-16",135.113456791193,"Houston"
"exp","2020-03-30",71.0696362601213,"Houston"
"exp","2020-03-31",72.4063195139518,"Houston"
"exp","2020-04-01",79.7503066169413,"Houston"
"exp","2020-04-02",78.6707925239668,"Houston"
"exp","2020-04-03",83.7118546702952,"Houston"
"exp","2020-04-04",70.4069684562748,"Houston"
"exp","2020-04-05",58.960504538797,"Houston"
"power","2020-02-10",1307.60872686681,"Houston"
"power","2020-02-11",1237.13715137379,"Houston"
"power","2020-02-12",1261.79409992692,"Houston"
"power","2020-02-13",1338.56435077413,"Houston"
"power","2020-02-14",1491.57067097661,"Houston"
"power","2020-02-15",1281.9513655873,"Houston"
"power","2020-02-16",1091.60510185163,"Houston"
"power","2020-03-30",635.194226094381,"Houston"
"power","2020-03-31",655.950260222225,"Houston"
"power","2020-04-01",714.860979551823,"Houston"
"power","2020-04-02",701.261292100287,"Houston"
"power","2020-04-03",746.964023252961,"Houston"
"power","2020-04-04",599.105036211004,"Houston"
"power","2020-04-05",524.136613187369,"Houston"
"homo","2020-02-10",102.0612306655,"Los Angeles"
"homo","2020-02-11",98.8283196062537,"Los Angeles"
"homo","2020-02-12",99.8411915891278,"Los Angeles"
"homo","2020-02-13",106.724510315893,"Los Angeles"
"homo","2020-02-14",114.422480920877,"Los Angeles"
"homo","2020-02-15",93.2896859003489,"Los Angeles"
"homo","2020-02-16",85.3045772518028,"Los Angeles"
"homo","2020-03-30",38.9211681053416,"Los Angeles"
"homo","2020-03-31",39.4629217049414,"Los Angeles"
"homo","2020-04-01",42.5795009120177,"Los Angeles"
"homo","2020-04-02",42.8789636386999,"Los Angeles"
"homo","2020-04-03",45.3932004295432,"Los Angeles"
"homo","2020-04-04",37.9408703821371,"Los Angeles"
"homo","2020-04-05",30.2369317956909,"Los Angeles"
"exp","2020-02-10",97.5773780790725,"Los Angeles"
"exp","2020-02-11",95.4193131011457,"Los Angeles"
"exp","2020-02-12",95.0304717089993,"Los Angeles"
"exp","2020-02-13",102.998060253462,"Los Angeles"
"exp","2020-02-14",109.021497735626,"Los Angeles"
"exp","2020-02-15",88.5312170305742,"Los Angeles"
"exp","2020-02-16",83.8415077026423,"Los Angeles"
"exp","2020-03-30",37.2369314973152,"Los Angeles"
"exp","2020-03-31",37.416471774227,"Los Angeles"
"exp","2020-04-01",40.1781562704054,"Los Angeles"
"exp","2020-04-02",41.9825751432452,"Los Angeles"
"exp","2020-04-03",42.6659191971734,"Los Angeles"
"exp","2020-04-04",35.7854378586194,"Los Angeles"
"exp","2020-04-05",29.0178120292172,"Los Angeles"
"power","2020-02-10",801.748908685079,"Los Angeles"
"power","2020-02-11",814.406924558149,"Los Angeles"
"power","2020-02-12",788.994172417519,"Los Angeles"
"power","2020-02-13",863.908439461303,"Los Angeles"
"power","2020-02-14",872.014001780763,"Los Angeles"
"power","2020-02-15",693.015785297338,"Los Angeles"
"power","2020-02-16",685.569724243569,"Los Angeles"
"power","2020-03-30",360.581549291935,"Los Angeles"
"power","2020-03-31",356.372003326798,"Los Angeles"
"power","2020-04-01",375.204480694779,"Los Angeles"
"power","2020-04-02",402.878704316353,"Los Angeles"
"power","2020-04-03",388.433148037354,"Los Angeles"
"power","2020-04-04",330.042180496476,"Los Angeles"
"power","2020-04-05",287.960320879134,"Los Angeles"
"homo","2020-02-10",154.106895635192,"Miami"
"homo","2020-02-11",140.005606467423,"Miami"
"homo","2020-02-12",141.306063928131,"Miami"
"homo","2020-02-13",151.617236275966,"Miami"
"homo","2020-02-14",163.6173800176,"Miami"
"homo","2020-02-15",137.776779797502,"Miami"
"homo","2020-02-16",121.748866238646,"Miami"
"homo","2020-03-30",57.014878204325,"Miami"
"homo","2020-03-31",55.1788578559307,"Miami"
"homo","2020-04-01",60.9651203124841,"Miami"
"homo","2020-04-02",60.9964377142256,"Miami"
"homo","2020-04-03",60.0456853188346,"Miami"
"homo","2020-04-04",50.4744410544949,"Miami"
"homo","2020-04-05",39.2258377207621,"Miami"
"exp","2020-02-10",144.017589883864,"Miami"
"exp","2020-02-11",122.440404737382,"Miami"
"exp","2020-02-12",125.769497825224,"Miami"
"exp","2020-02-13",137.714866732476,"Miami"
"exp","2020-02-14",143.28132654586,"Miami"
"exp","2020-02-15",126.145651331912,"Miami"
"exp","2020-02-16",115.139354109793,"Miami"
"exp","2020-03-30",48.2055254277669,"Miami"
"exp","2020-03-31",48.4509168008451,"Miami"
"exp","2020-04-01",53.1038483269118,"Miami"
"exp","2020-04-02",53.650325748532,"Miami"
"exp","2020-04-03",52.5318518575148,"Miami"
"exp","2020-04-04",45.4003763363288,"Miami"
"exp","2020-04-05",36.9125933793491,"Miami"
"power","2020-02-10",1186.3619325217,"Miami"
"power","2020-02-11",981.841359527737,"Miami"
"power","2020-02-12",1010.14636864067,"Miami"
"power","2020-02-13",1092.12070872753,"Miami"
"power","2020-02-14",1114.85553869853,"Miami"
"power","2020-02-15",954.018246443295,"Miami"
"power","2020-02-16",889.923953341022,"Miami"
"power","2020-03-30",440.600245360695,"Miami"
"power","2020-03-31",443.188379652043,"Miami"
"power","2020-04-01",478.130380211204,"Miami"
"power","2020-04-02",484.545817293834,"Miami"
"power","2020-04-03",475.965138276093,"Miami"
"power","2020-04-04",420.070818959111,"Miami"
"power","2020-04-05",358.419577429865,"Miami"
"homo","2020-02-10",106.723953350801,"New York"
"homo","2020-02-11",104.132336731606,"New York"
"homo","2020-02-12",108.500015434552,"New York"
"homo","2020-02-13",109.582344494931,"New York"
"homo","2020-02-14",117.255109320354,"New York"
"homo","2020-02-15",100.661310165922,"New York"
"homo","2020-02-16",87.4228230673342,"New York"
"homo","2020-03-30",34.4622574892599,"New York"
"homo","2020-03-31",34.3679255833517,"New York"
"homo","2020-04-01",36.577941557696,"New York"
"homo","2020-04-02",36.9874268450838,"New York"
"homo","2020-04-03",36.7806808173191,"New York"
"homo","2020-04-04",35.9979049278153,"New York"
"homo","2020-04-05",29.4621561416438,"New York"
