"msa","day","pairs_ratio","corr_value","corr_name"
"Atlanta",2020-03-30,5.93312302389921e-07,-0.128594260530682,"log_pearson"
"Atlanta",2020-03-30,5.93312302389921e-07,-0.159419767110036,"log_spearman"
"Atlanta",2020-03-30,5.93312302389921e-07,-0.27696479303818,"log_pearson_adjusted"
"Atlanta",2020-03-30,5.93312302389921e-07,-0.279270821831599,"log_spearman_adjusted"
"Atlanta",2020-03-31,5.93312302389921e-07,-0.111673496721118,"pearson"
"Atlanta",2020-03-31,5.93312302389921e-07,-0.146954609369234,"spearman"
"Atlanta",2020-03-31,5.93312302389921e-07,-0.0980502932430858,"pearson_adjusted"
"Atlanta",2020-03-31,5.93312302389921e-07,-0.265347094654874,"spearman_adjusted"
"Atlanta",2020-03-31,5.93312302389921e-07,-0.122528262221711,"log_pearson"
"Atlanta",2020-03-31,5.93312302389921e-07,-0.146954609369234,"log_spearman"
"Atlanta",2020-03-31,5.93312302389921e-07,-0.26402380695901,"log_pearson_adjusted"
"Atlanta",2020-03-31,5.93312302389921e-07,-0.265347076139678,"log_spearman_adjusted"
"Atlanta",2020-04-01,5.93312302389921e-07,-0.120672071148011,"pearson"
"Atlanta",2020-04-01,5.93312302389921e-07,-0.171221568450416,"spearman"
"Atlanta",2020-04-01,5.93312302389921e-07,-0.118922530652636,"pearson_adjusted"
"Atlanta",2020-04-01,5.93312302389921e-07,-0.306227337046603,"spearman_adjusted"
"Atlanta",2020-04-01,5.93312302389921e-07,-0.135647372163538,"log_pearson"
"Atlanta",2020-04-01,5.93312302389921e-07,-0.171221568450416,"log_spearman"
"Atlanta",2020-04-01,5.93312302389921e-07,-0.300834229776563,"log_pearson_adjusted"
"Atlanta",2020-04-01,5.93312302389921e-07,-0.30622737501281,"log_spearman_adjusted"
"Atlanta",2020-04-02,5.93312302389921e-07,-0.125166688918263,"pearson"
"Atlanta",2020-04-02,5.93312302389921e-07,-0.177410982226505,"spearman"
"Atlanta",2020-04-02,5.93312302389921e-07,-0.106523579156123,"pearson_adjusted"
"Atlanta",2020-04-02,5.93312302389921e-07,-0.304606256196062,"spearman_adjusted"
"Atlanta",2020-04-02,5.93312302389921e-07,-0.143365767339373,"log_pearson"
"Atlanta",2020-04-02,5.93312302389921e-07,-0.177410982226505,"log_spearman"
"Atlanta",2020-04-02,5.93312302389921e-07,-0.298649566563583,"log_pearson_adjusted"
"Atlanta",2020-04-02,5.93312302389921e-07,-0.304606278547396,"log_spearman_adjusted"
"Atlanta",2020-04-03,5.93312302389921e-07,-0.116069301851576,"pearson"
"Atlanta",2020-04-03,5.93312302389921e-07,-0.163345186004956,"spearman"
"Atlanta",2020-04-03,5.93312302389921e-07,-0.0993741066811329,"pearson_adjusted"
"Atlanta",2020-04-03,5.93312302389921e-07,-0.29062964356401,"spearman_adjusted"
"Atlanta",2020-04-03,5.93312302389921e-07,-0.130996081173748,"log_pearson"
"Atlanta",2020-04-03,5.93312302389921e-07,-0.163345186004956,"log_spearman"
"Atlanta",2020-04-03,5.93312302389921e-07,-0.287548057730415,"log_pearson_adjusted"
"Atlanta",2020-04-03,5.93312302389921e-07,-0.290629631365125,"log_spearman_adjusted"
"Atlanta",2020-04-04,5.93312302389921e-07,-0.103152840353008,"pearson"
