"rho","error","index","day","lag","grid_size_km","city","yname"
7.80286833249943e-05,203.669023720887,"homo",0,199,0.5,"cityA","TO_in_OO"
79.9999508083439,372.757417723836,"power",0,199,0.5,"cityA","TO_in_OO"
0.308830813282324,33.7443499157636,"exp",0,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,202.03765774389,"homo",1,199,0.5,"cityA","TO_in_OO"
79.9999508083439,370.733997692463,"power",1,199,0.5,"cityA","TO_in_OO"
0.314845128755522,32.6463403619835,"exp",1,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,244.455446515692,"homo",2,199,0.5,"cityA","TO_in_OO"
79.9999508083439,441.063496605673,"power",2,199,0.5,"cityA","TO_in_OO"
0.347524873507682,40.5946454677538,"exp",2,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,241.808211554677,"homo",3,199,0.5,"cityA","TO_in_OO"
79.9999508083439,436.246310075593,"power",3,199,0.5,"cityA","TO_in_OO"
0.351059521827817,40.5785915755746,"exp",3,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,249.007866198641,"homo",4,199,0.5,"cityA","TO_in_OO"
79.9999508083439,454.228275659544,"power",4,199,0.5,"cityA","TO_in_OO"
0.344907083755178,42.2704638302075,"exp",4,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,255.29503824857,"homo",5,199,0.5,"cityA","TO_in_OO"
79.9999508083439,459.464761779978,"power",5,199,0.5,"cityA","TO_in_OO"
0.34757432654775,42.9240518592964,"exp",5,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,214.28005228939,"homo",6,199,0.5,"cityA","TO_in_OO"
79.9999508083439,390.15644289541,"power",6,199,0.5,"cityA","TO_in_OO"
0.333421589692062,35.2929928777365,"exp",6,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,194.11920351356,"homo",7,199,0.5,"cityA","TO_in_OO"
79.9999508083439,361.32127120308,"power",7,199,0.5,"cityA","TO_in_OO"
0.319387723989982,32.5791589824747,"exp",7,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,200.372625290006,"homo",8,199,0.5,"cityA","TO_in_OO"
79.9999508083439,368.307783811983,"power",8,199,0.5,"cityA","TO_in_OO"
0.326227301862413,32.730646545917,"exp",8,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,249.403041426626,"homo",9,199,0.5,"cityA","TO_in_OO"
79.9999508083439,454.921087655285,"power",9,199,0.5,"cityA","TO_in_OO"
0.348909037226451,42.0211118682311,"exp",9,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,250.422268248698,"homo",10,199,0.5,"cityA","TO_in_OO"
79.9999508083439,447.551148883983,"power",10,199,0.5,"cityA","TO_in_OO"
0.351952671298154,41.7826981498996,"exp",10,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,251.098985566353,"homo",11,199,0.5,"cityA","TO_in_OO"
79.9999508083439,453.388815977312,"power",11,199,0.5,"cityA","TO_in_OO"
0.350065875930905,42.2180720849465,"exp",11,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,256.464517605021,"homo",12,199,0.5,"cityA","TO_in_OO"
79.9999508083439,461.663528490601,"power",12,199,0.5,"cityA","TO_in_OO"
0.352486995835564,43.357246005564,"exp",12,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,226.433455624913,"homo",13,199,0.5,"cityA","TO_in_OO"
79.9999508083439,398.854619965611,"power",13,199,0.5,"cityA","TO_in_OO"
0.334315716400733,36.0900869668386,"exp",13,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,204.664226803587,"homo",14,199,0.5,"cityA","TO_in_OO"
64.7214332302896,368.526213564309,"power",14,199,0.5,"cityA","TO_in_OO"
0.319361003827483,33.0593449641796,"exp",14,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,252.464307881371,"homo",15,199,0.5,"cityA","TO_in_OO"
79.9999508083439,452.101137323005,"power",15,199,0.5,"cityA","TO_in_OO"
0.349814160246111,42.1241396623412,"exp",15,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,252.175256751195,"homo",16,199,0.5,"cityA","TO_in_OO"
79.9999508083439,458.501229749637,"power",16,199,0.5,"cityA","TO_in_OO"
0.350401800829448,42.4315237618594,"exp",16,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,252.182753913968,"homo",17,199,0.5,"cityA","TO_in_OO"
79.9999508083439,454.705785811214,"power",17,199,0.5,"cityA","TO_in_OO"
0.346034098940203,42.1050038857517,"exp",17,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,246.958089139381,"homo",18,199,0.5,"cityA","TO_in_OO"
79.9999508083439,457.569088193062,"power",18,199,0.5,"cityA","TO_in_OO"
0.345302156942172,42.335043444315,"exp",18,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,254.93994768939,"homo",19,199,0.5,"cityA","TO_in_OO"
79.9999508083439,458.5771236316,"power",19,199,0.5,"cityA","TO_in_OO"
0.357159526487641,42.9957930805735,"exp",19,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,219.955271782506,"homo",20,199,0.5,"cityA","TO_in_OO"
79.9999508083439,400.267444835925,"power",20,199,0.5,"cityA","TO_in_OO"
0.33208211951986,36.0098672069552,"exp",20,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,202.596280131405,"homo",21,199,0.5,"cityA","TO_in_OO"
79.9999508083439,364.793804102902,"power",21,199,0.5,"cityA","TO_in_OO"
0.318943397730505,32.4286659488874,"exp",21,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,246.191921058154,"homo",22,199,0.5,"cityA","TO_in_OO"
79.9999508083439,455.104771851669,"power",22,199,0.5,"cityA","TO_in_OO"
0.340085638217182,41.8773046289479,"exp",22,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,248.598313740755,"homo",23,199,0.5,"cityA","TO_in_OO"
79.9999508083439,453.115402862059,"power",23,199,0.5,"cityA","TO_in_OO"
0.349630142739962,42.0433168936162,"exp",23,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,248.979968062217,"homo",24,199,0.5,"cityA","TO_in_OO"
79.9999508083439,457.390128259655,"power",24,199,0.5,"cityA","TO_in_OO"
0.34619910257681,42.5413293311377,"exp",24,199,0.5,"cityA","TO_in_OO"
7.80286833249943e-05,254.71945537084,"homo",25,199,0.5,"cityA","TO_in_OO"
79.9999508083439,454.726662471117,"power",25,199,0.5,"cityA","TO_in_OO"
0.353380199369656,42.3065541234578,"exp",25,199,0.5,"cityA","TO_in_OO"
