"day","r2_homo","r2_power","r2_exp","city","yname","grid_size_km","pearson_homo","pearson_power","pearson_exp","spearman_homo","spearman_power","spearman_exp","kendall_homo","kendall_power","kendall_exp"
0,-0.99836594763482,-40.221755232827,0.245032506657524,"cityA","TO_in_OO",0.5,-1,0.783792581180046,0.782341516729487,-1,0.881653816654498,0.880495081309174,-1,0.720308619147007,0.717177390747908
1,-1.14479190981677,-43.2263306709453,0.274290682631162,"cityA","TO_in_OO",0.5,-1,0.801435899950075,0.800126108271269,-1,0.886308253162888,0.885020486214686,-1,0.725317098348725,0.72222555366957
2,-0.884187618611088,-40.9305532524825,0.446915478454468,"cityA","TO_in_OO",0.5,-1,0.819734572053964,0.816953045895112,-1,0.89187147407988,0.88985746956565,-1,0.73394695514822,0.729843187448699
3,-0.870817249105775,-40.5496005106601,0.456808872997876,"cityA","TO_in_OO",0.5,-1,0.815873586113967,0.812997054445152,-1,0.892141892526185,0.890205361895146,-1,0.734193633087523,0.730225002303369
4,-0.861712663703828,-40.2958061232979,0.430852195620978,"cityA","TO_in_OO",0.5,-1,0.813698712836863,0.810994420536363,-1,0.892438014417364,0.890561405225094,-1,0.734248785584431,0.730342800191537
5,-0.856996668694262,-40.2172427398217,0.442277155721709,"cityA","TO_in_OO",0.5,-1,0.815008100300906,0.812037211220811,-1,0.892197337224139,0.890265880313208,-1,0.734293948653928,0.730200860092867
6,-1.01146176577858,-42.1372821083013,0.373440254411015,"cityA","TO_in_OO",0.5,-1,0.810111594388538,0.808324378035557,-1,0.889907896251022,0.888223870944537,-1,0.730832313383467,0.727544769803763
7,-1.00443020948852,-41.1789909375759,0.299979444864968,"cityA","TO_in_OO",0.5,-1,0.795246428240578,0.793812111472017,-1,0.883872724689138,0.882498279391917,-1,0.723762121107012,0.721008362086224
8,-1.12244775959351,-43.2539392302528,0.330809767913073,"cityA","TO_in_OO",0.5,-1,0.805702849254264,0.80425767348541,-1,0.887990406329732,0.88654450652377,-1,0.727696564314963,0.724927657523269
9,-0.881207371134166,-40.8686740795878,0.453319384462307,"cityA","TO_in_OO",0.5,-1,0.821091307564478,0.818050667977052,-1,0.892624604493764,0.890662891347111,-1,0.734549529593271,0.730566374115833
