"day","r2_homo","r2_power","r2_exp","city","yname","grid_size_km","pearson_homo","pearson_power","pearson_exp","spearman_homo","spearman_power","spearman_exp","kendall_homo","kendall_power","kendall_exp"
10,-0.880317059112548,-40.5652403839642,0.459128288872441,"cityA","TO_in_OO",0.5,-1,0.815823140585432,0.812749341765768,-1,0.894699668564242,0.892621229087612,-1,0.736499244313577,0.732548263431235
11,-0.871844604500615,-40.571355419744,0.454229721723249,"cityA","TO_in_OO",0.5,-1,0.81743795421215,0.814457280498254,-1,0.892801402854083,0.890747582256939,-1,0.734938327307442,0.730805109187654
12,-0.843951914713811,-40.0899133254388,0.461370210103684,"cityA","TO_in_OO",0.5,-1,0.814499378089971,0.81150193001042,-1,0.893081856463785,0.891108361827917,-1,0.735109773369757,0.731163278591487
13,-1.04137763084496,-42.5727440616321,0.375911249178721,"cityA","TO_in_OO",0.5,-1,0.810251217790715,0.808625655887507,-1,0.889975363599031,0.888316777378562,-1,0.730481421298583,0.726935305252669
14,-1.01642295828629,-41.5571096194464,0.302717996157268,"cityA","TO_in_OO",0.5,-1,0.799514728121494,0.798175752232317,-1,0.883538892499571,0.882151590072372,-1,0.723409200847488,0.719805094866587
15,-0.878189480768949,-40.7565116432617,0.453792723777739,"cityA","TO_in_OO",0.5,-1,0.81761922402415,0.814742414088291,-1,0.893147030166994,0.891129556788775,-1,0.735044710414602,0.730950585650423
16,-0.886640657801898,-40.8766326721917,0.457417043735069,"cityA","TO_in_OO",0.5,-1,0.819654441718191,0.816598333716968,-1,0.894917295761054,0.892855798678104,-1,0.73713273781757,0.733286658352106
17,-0.894530538614847,-40.9082441241924,0.438383266629868,"cityA","TO_in_OO",0.5,-1,0.818153087207295,0.815294766150671,-1,0.892702657945131,0.890754828093197,-1,0.734875673587452,0.730738507722113
18,-0.875598152365439,-40.6368615539546,0.435696277372974,"cityA","TO_in_OO",0.5,-1,0.817567891250594,0.814749291268428,-1,0.893725248091193,0.891834214843227,-1,0.735649640789232,0.732131540791623
19,-0.85218243268394,-40.3619844839687,0.483643492385501,"cityA","TO_in_OO",0.5,-1,0.819657906782834,0.816250437410667,-1,0.894542753132766,0.892375221808276,-1,0.737037898655032,0.73308456738695
20,-1.03119416803036,-42.5005952251689,0.368826928575511,"cityA","TO_in_OO",0.5,-1,0.812457102884608,0.810743756072539,-1,0.892406303983008,0.890927602643559,-1,0.732945461095421,0.72992547539008
21,-1.05978684403185,-42.2479175055255,0.300126257098863,"cityA","TO_in_OO",0.5,-1,0.802455379737767,0.801165426945542,-1,0.883139733342882,0.881781033067066,-1,0.722658715193027,0.719320486823944
22,-0.883723104241139,-40.7829366983628,0.414803815061837,"cityA","TO_in_OO",0.5,-1,0.817660963939316,0.814984430352322,-1,0.892912995452106,0.891131949071081,-1,0.734697190956656,0.731001470933814
23,-0.874966073027723,-40.7045029055284,0.453704702644762,"cityA","TO_in_OO",0.5,-0.999999999999999,0.818320914865344,0.815360970505419,-1,0.894879143014164,0.892970282971625,-1,0.736875400016891,0.733355756436698
24,-0.879143567188865,-40.5117946945875,0.435061120395113,"cityA","TO_in_OO",0.5,-1,0.813675362012686,0.810940163450974,-1,0.894777888154874,0.892925246705346,-1,0.736369877420609,0.732885443550279
25,-0.874070693718596,-40.6645479250692,0.468286706084075,"cityA","TO_in_OO",0.5,-1,0.818812059238654,0.81567647328267,-1,0.895084605950744,0.893009727768176,-1,0.737219712083791,0.73317687196323
26,-0.867292206492759,-40.6021348736579,0.468145508682784,"cityA","TO_in_OO",0.5,-1,0.819429154112056,0.816249319191556,-1,0.894461853047497,0.892432448595181,-1,0.736699341289613,0.733046465046086
27,-1.23116384216714,-46.0984115366945,0.206714633631879,"cityA","TO_in_OO",0.5,-1,0.829440591741669,0.828684806016061,-1,0.86971145455856,0.86889758254653,-1,0.709728118524047,0.70797478446377
28,-1.01873524273673,-41.5374351933022,0.301525571733243,"cityA","TO_in_OO",0.5,-1,0.802794530158389,0.801118562255101,-1,0.889833057489113,0.888509836206072,-1,0.73012565217743,0.727563953159954
29,-1.12141662949275,-43.0489845849184,0.262572908905174,"cityA","TO_in_OO",0.5,-1,0.802591819810786,0.801398819881053,-1,0.888734052166054,0.887435279020449,-1,0.728042450257015,0.725118476710863
30,-0.868811927435011,-40.4575257374989,0.460049260831513,"cityA","TO_in_OO",0.5,-1,0.815663568036843,0.812659998150518,-1,0.89511925605651,0.893154740754212,-1,0.736955887572317,0.733387555619697
31,-0.869943273211875,-40.4728512515466,0.457481192574956,"cityA","TO_in_OO",0.5,-1,0.816222538013579,0.813174416130825,-1,0.893256868740963,0.891300971356993,-1,0.734929505552986,0.730870841204708
32,-0.872096719038839,-40.6009815081651,0.462271550915719,"cityA","TO_in_OO",0.5,-1,0.816376475908419,0.813519894783632,-1,0.892565722849026,0.890599901617658,-1,0.734392078259479,0.730184174575406
33,-0.833873515481418,-39.7947811237848,0.453663051368857,"cityA","TO_in_OO",0.5,-1,0.814241819010602,0.810990195899309,-1,0.89385097394927,0.891783023443207,-1,0.736130302253959,0.732479990059348
34,-0.976777950239556,-41.7807943130975,0.382785132898773,"cityA","TO_in_OO",0.5,-1,0.809786023652159,0.808008638801667,-1,0.889121073759753,0.887508623660747,-1,0.730603810610988,0.727360770940707
35,-0.99957384215405,-41.0292876192286,0.298293247074558,"cityA","TO_in_OO",0.5,-1,0.797239368791854,0.795605096955459,-1,0.88521307837641,0.883854587692714,-1,0.724171798508211,0.721073657689134
36,-0.866782402179274,-40.8727887913994,0.460639236632615,"cityA","TO_in_OO",0.5,-1,0.820427587037657,0.817641283803583,-1,0.892515457275967,0.890371321423709,-1,0.734604812232129,0.730461249202394
37,-1.09522961937984,-43.2088741343657,0.334326070194188,"cityA","TO_in_OO",0.5,-1,0.807751838838298,0.806363689364167,-1,0.890030355972739,0.888580222955198,-1,0.729708427559421,0.726851716699561
38,-0.885325307759289,-40.8957493042054,0.45248732523819,"cityA","TO_in_OO",0.5,-1,0.81937076166679,0.816540191630355,-1,0.893842587138321,0.89194312806852,-1,0.736085563417359,0.731980863537541
39,-0.872761780236356,-40.5831807713103,0.439084273933626,"cityA","TO_in_OO",0.5,-1,0.818284736371197,0.815328495428588,-1,0.894532656233919,0.892518912157286,-1,0.736289388963913,0.732716435379634
40,-0.833550398297003,-39.9541732713588,0.445555579420764,"cityA","TO_in_OO",0.5,-1,0.817278181262392,0.814055829195656,-1,0.892901032150112,0.891026781497385,-1,0.73571961881359,0.732311460622561
41,-0.992544965096142,-42.07789057584,0.382768566993671,"cityA","TO_in_OO",0.5,-1,0.812679674673253,0.810881345577461,-1,0.891025223293867,0.889390237876739,-1,0.732064256743035,0.728578678353803
42,-1.01463101758605,-41.3830821368443,0.279850568370424,"cityA","TO_in_OO",0.5,-1,0.797359944075421,0.795983067541355,-1,0.88179661507564,0.880503516343171,-1,0.721170601529263,0.717659138572429
43,-0.870956729297265,-40.9176088582037,0.459460741188625,"cityA","TO_in_OO",0.5,-1,0.822417230141989,0.819476258363662,-1,0.894064910501012,0.89220541132418,-1,0.73630041864954,0.732475569654972
44,-0.857509638030925,-40.468504333649,0.451928638727624,"cityA","TO_in_OO",0.5,-1,0.81877152380036,0.81574771816199,-1,0.891620819419085,0.889706674468352,-1,0.733946285661586,0.730285355034866
45,-0.873085587893251,-40.3881092705961,0.426510751074708,"cityA","TO_in_OO",0.5,-1,0.813419039143006,0.810683515405005,-1,0.892502820920944,0.890781136089731,-1,0.734434352391025,0.730744972836192
46,-0.882356315973901,-40.9090586248314,0.448982767882561,"cityA","TO_in_OO",0.5,-1,0.821157979668919,0.818257456916899,-1,0.893920651953878,0.892102726844411,-1,0.735934806400416,0.732280276107424
47,-0.838117408504271,-40.0015425737942,0.45515729568122,"cityA","TO_in_OO",0.5,-1,0.815759525078624,0.812589450262523,-1,0.89313841271153,0.89117787952183,-1,0.735685434658359,0.731647235583285
48,-1.00240916035931,-41.8441461671245,0.376164079591476,"cityA","TO_in_OO",0.5,-1,0.805813555502187,0.804067511577234,-1,0.890679973623609,0.889120361463687,-1,0.730864411813593,0.72733094272387
49,-1.01892250690208,-41.0057615533318,0.275203587581798,"cityA","TO_in_OO",0.5,-1,0.792257515992978,0.79079266201023,-1,0.882910294237854,0.881536626233653,-1,0.721901930272433,0.718362689872432
50,-1.13727653808062,-43.1578711727849,0.287255793891882,"cityA","TO_in_OO",0.5,-1,0.80181159979739,0.800461189892214,-1,0.888957582673195,0.887663086135403,-1,0.727824274374531,0.724976225467229
51,-0.873298972013679,-40.7940839999045,0.44837694059282,"cityA","TO_in_OO",0.5,-1,0.820739590250206,0.817837252369249,-1,0.893534191887789,0.891705326706557,-1,0.735459368059561,0.731861568224201
52,-0.874075935298088,-40.5378557514879,0.423910113174828,"cityA","TO_in_OO",0.5,-1,0.817101812083719,0.814330343997303,-1,0.89384901005111,0.892060413253929,-1,0.735876842442433,0.732133386685928
53,-0.866225331111509,-40.5390028026904,0.474472209484406,"cityA","TO_in_OO",0.5,-1,0.819348883903489,0.816107349921648,-1,0.893009611326074,0.890948669149659,-1,0.735301117783888,0.731095774621267
54,-0.844961967113624,-40.1201719662058,0.462828797839222,"cityA","TO_in_OO",0.5,-1,0.816100615193491,0.812933169616254,-1,0.894976026056596,0.892935951671149,-1,0.73740111484186,0.733526825463785
55,-1.01269010299417,-42.0384650810156,0.382043835644006,"cityA","TO_in_OO",0.5,-1,0.807795069022496,0.805932642297459,-1,0.890302326897214,0.888647296172262,-1,0.730837698750472,0.727304593207228
56,-1.0318076651676,-41.642092030311,0.23708446294421,"cityA","TO_in_OO",0.5,-1,0.798201932079462,0.797033779777656,-1,0.883399769163771,0.88221681569624,-1,0.722739000355547,0.719361749599834
57,-0.87418384992866,-40.6891404104514,0.454711697518649,"cityA","TO_in_OO",0.5,-1,0.817472668454395,0.814623681211192,-1,0.893868286144377,0.891877600696152,-1,0.735684745572074,0.731941809334221
58,-0.882719874302416,-40.8018389804523,0.461458104911034,"cityA","TO_in_OO",0.5,-1,0.819999564440729,0.816884904760508,-1,0.894747379863635,0.892736251178712,-1,0.736520610214387,0.73294352846672
59,-0.878082549157765,-40.4885127459864,0.443356257117101,"cityA","TO_in_OO",0.5,-1,0.815307227347495,0.812354961061614,-1,0.893079105704905,0.891169255890247,-1,0.734627240514507,0.730547406089856
60,-0.861080089357836,-40.3127749080474,0.473428594333009,"cityA","TO_in_OO",0.5,-1,0.817197523613108,0.813848921759383,-1,0.893966387395042,0.891839666161433,-1,0.735547995071415,0.731998115219691
61,-0.836019457560697,-39.7707122913464,0.453116116509103,"cityA","TO_in_OO",0.5,-1,0.814147658433056,0.81081915701206,-1,0.894552593941562,0.892571122516119,-1,0.737113719463034,0.733105146173235
62,-1.02073407272551,-42.0935841311018,0.354976960618101,"cityA","TO_in_OO",0.5,-1,0.809307012912138,0.807352182848399,-1,0.890650040633862,0.889143018240218,-1,0.730489753236849,0.727213425413297
63,-1.05029569707684,-41.825334769079,0.262436387174269,"cityA","TO_in_OO",0.5,-0.999999999999999,0.797427209101984,0.796165096193433,-1,0.883790276971718,0.882510413981147,-1,0.722356534828137,0.719087318260294
64,-0.882604761807779,-40.9276375672302,0.456044724445053,"cityA","TO_in_OO",0.5,-1,0.82149591600442,0.818525172734957,-1,0.893253574281957,0.891339524707522,-1,0.734820453655321,0.731054596087474
65,-0.873714871969791,-40.6889860606467,0.456910766305081,"cityA","TO_in_OO",0.5,-1,0.817522185496869,0.814728899043959,-1,0.895070922243937,0.893071171372571,-1,0.736582959494143,0.7330250207202
66,-0.857093493262575,-40.2968189562475,0.453330810683724,"cityA","TO_in_OO",0.5,-0.999999999999999,0.815768323353269,0.812783470171622,-1,0.895045413244177,0.893099031089281,-1,0.736509000283181,0.732966226208566
67,-0.848950728054361,-39.7656705486714,0.420860315294159,"cityA","TO_in_OO",0.5,-1,0.810012391096941,0.807040614603224,-1,0.893713487282905,0.891847177605093,-1,0.735294242207178,0.731532520406365
68,-0.826337293714762,-39.4263762375686,0.443601598981534,"cityA","TO_in_OO",0.5,-1,0.805645040503153,0.802846449041403,-1,0.892628434872212,0.890619169473168,-1,0.734852195246373,0.730989021332233
69,-0.954839243230443,-39.3588799371026,0.263955022086898,"cityA","TO_in_OO",0.5,-1,0.777075929767898,0.775528541878051,-1,0.886941262107531,0.885515879029128,-1,0.72633255713793,0.72271274792979
70,-1.01197349258412,-40.5275691464575,0.201958578400466,"cityA","TO_in_OO",0.5,-1,0.783352466897843,0.78225167018116,-1,0.882188563322912,0.881056878290632,-1,0.721492319412419,0.718284777429543
71,-0.88230412655154,-40.8923435148447,0.459272341116427,"cityA","TO_in_OO",0.5,-1,0.821138744533344,0.818055433523987,-1,0.893166179385018,0.891103009657914,-1,0.735124343635712,0.731257125061554
72,-0.874626518155556,-40.605627150833,0.456792387740219,"cityA","TO_in_OO",0.5,-1,0.818761139816386,0.81563586717213,-1,0.895362758865664,0.893338117954624,-1,0.737380563194775,0.733640223016647
73,-0.865835386837518,-40.262675173525,0.445328582818977,"cityA","TO_in_OO",0.5,-1,0.814233559100108,0.81121247771169,-1,0.892727318285907,0.890698646704131,-1,0.734633138064676,0.730395860982481
74,-0.854376228708885,-40.1948612993939,0.438165272956125,"cityA","TO_in_OO",0.5,-1,0.814485631689281,0.811628471063823,-1,0.894242063824059,0.892347611849101,-1,0.735821768142673,0.73236579978607
0,-0.0152183921604903,-48.1126826151346,0.607689585025278,"cityA","TO_in_OO",1,-1,0.842333525740432,0.839389470719822,-1,0.9094170032334,0.905443611175284,-1,0.749919948619402,0.742737340670167
1,-0.0167746315959918,-50.9506973608234,0.663141684249231,"cityA","TO_in_OO",1,-1,0.855596590358368,0.852602946827305,-1,0.914594196660234,0.909754024450015,-1,0.756611014321848,0.74829548897469
2,-0.0127167947551723,-46.2483012685318,0.692115882314823,"cityA","TO_in_OO",1,-1,0.856683565832089,0.852541141197747,-1,0.916650331229476,0.911224883009155,-1,0.762506144723181,0.752986990373584
3,-0.0126300636989154,-46.1255662449879,0.686516856330884,"cityA","TO_in_OO",1,-1,0.856036623997811,0.851888656061057,-1,0.918089808068457,0.912750744984908,-1,0.763790419361405,0.754577158440941
4,-0.0125175740252281,-45.825454671733,0.674866145688455,"cityA","TO_in_OO",1,-1,0.852054686364259,0.848135584856157,-1,0.918287305185258,0.913067314689196,-1,0.763637177013231,0.754411231498038
5,-0.0124756978994736,-45.7474441367847,0.676364794688434,"cityA","TO_in_OO",1,-1,0.85294792458476,0.849025031727747,-1,0.917838860222148,0.912038218740773,-1,0.763087991462682,0.753128000798981
6,-0.0147854455199319,-48.9217046352194,0.689475033938274,"cityA","TO_in_OO",1,-1,0.862277005373724,0.85840583666888,-1,0.917144258036184,0.911964172510694,-1,0.762237617556353,0.753668590666072
7,-0.0149950497422453,-48.5613311479941,0.650141567563653,"cityA","TO_in_OO",1,-1,0.852408791150635,0.849268607252356,-1,0.914131957020407,0.909317410492571,-1,0.75734622015343,0.749591851190357
8,-0.0163695651572482,-50.6106408606138,0.672961429294563,"cityA","TO_in_OO",1,-1,0.858462099238606,0.85507969379929,-1,0.91662679904475,0.912187016798806,-1,0.759873217506624,0.752797485826793
9,-0.0126719437530476,-46.1435395894361,0.686396272033768,"cityA","TO_in_OO",1,-1,0.854843375017181,0.850846295633761,-1,0.917739630304243,0.912299873759657,-1,0.7631969655343,0.753969666789177
10,-0.0127419045228006,-46.163414956956,0.67317409227052,"cityA","TO_in_OO",1,-1,0.852706585395781,0.849099170392317,-1,0.91955817969279,0.914602531469364,-1,0.765493721781864,0.756971799295436
11,-0.012633726023191,-46.0553231359399,0.68565060356412,"cityA","TO_in_OO",1,-1,0.855170453643117,0.851158107926719,-1,0.919196396415441,0.913453487633236,-1,0.764935060361249,0.755235946688023
12,-0.0122891649901971,-45.5233284246124,0.685946849907891,"cityA","TO_in_OO",1,-1,0.853555061030591,0.84937224577844,-1,0.91924415810376,0.913817405235249,-1,0.765411559396516,0.756127563410748
13,-0.015159140510028,-49.2817215327641,0.683236532969296,"cityA","TO_in_OO",1,-1,0.862083564862622,0.858305831564399,-1,0.917872469679261,0.913052770944594,-1,0.762788186255696,0.754422780003357
14,-0.0149771611854506,-48.3016228561818,0.653477567926491,"cityA","TO_in_OO",1,-1,0.850864217567292,0.847246216701709,-1,0.910109541305898,0.905102267633265,-1,0.752301133173237,0.743325592649284
15,-0.0126911866525801,-46.2893998669187,0.688176458726329,"cityA","TO_in_OO",1,-1,0.856061959036902,0.852343348403119,-1,0.918089832347731,0.912936708926694,-1,0.763387142477003,0.754486993075102
16,-0.0127781773740543,-46.3132760025186,0.682887320562501,"cityA","TO_in_OO",1,-1,0.855422976278093,0.851555629458392,-1,0.919894373795668,0.914755049885868,-1,0.766174945184524,0.757488159087884
17,-0.0129314461634509,-46.5010848469299,0.676068973288624,"cityA","TO_in_OO",1,-1,0.856152247585707,0.852397084618314,-1,0.917995169829263,0.912837537668909,-1,0.763531062885867,0.754507884749846
18,-0.0126606068815198,-46.0881191788222,0.680370788667023,"cityA","TO_in_OO",1,-1,0.853542762588789,0.849804361727024,-1,0.919074034979483,0.913897155157501,-1,0.765174238381176,0.756621993691115
19,-0.0123439426135556,-45.6451421282601,0.681851750142416,"cityA","TO_in_OO",1,-1,0.853342640402976,0.849283497542687,-1,0.92038571353154,0.915177928008951,-1,0.766910242294108,0.758160642885942
20,-0.0150125279201747,-49.1621686278187,0.687327679658434,"cityA","TO_in_OO",1,-1,0.862628291828813,0.858686202723728,-1,0.919907256440382,0.914899539238568,-1,0.765168099330643,0.756665920996217
21,-0.0156199420540657,-49.2837202460176,0.666321544800446,"cityA","TO_in_OO",1,-1,0.855475198179336,0.851640700342461,-1,0.912031491688302,0.907401580251471,-1,0.753862619296735,0.745759079457546
22,-0.0127881106684147,-46.4079393427258,0.675654261780926,"cityA","TO_in_OO",1,-1,0.856350141896777,0.852736041039206,-1,0.918533910436656,0.913687766988108,-1,0.763587971150386,0.755162897383106
23,-0.0126473753495435,-46.2163689131949,0.691473798347369,"cityA","TO_in_OO",1,-1,0.856388409161589,0.852443344424201,-1,0.920591502744091,0.915370618433335,-1,0.767514462330248,0.758863918398762
24,-0.0127881863289594,-46.2345430863307,0.676916679475015,"cityA","TO_in_OO",1,-1,0.854759929374705,0.850983436121099,-1,0.920848110958941,0.915779402482878,-1,0.766924339683713,0.758498664129573
25,-0.0126135886632743,-46.0506084646871,0.688348995523047,"cityA","TO_in_OO",1,-1,0.853919409218161,0.850029230916965,-1,0.920499579922772,0.915133986487598,-1,0.766198071351299,0.756995735621177
26,-0.0125520530039172,-46.0394050187569,0.680828106284048,"cityA","TO_in_OO",1,-1,0.855475921704673,0.851593829438387,-1,0.92129521802062,0.91602359263419,-1,0.767358205280577,0.758851587645156
27,-0.0171972839716095,-52.0890091048705,0.653826232123076,"cityA","TO_in_OO",1,-1,0.876578335967197,0.872363727870309,-1,0.906652003122791,0.90314605858365,-1,0.749083461511362,0.743471833997072
28,-0.0150625009918419,-48.3962850624897,0.651252683726299,"cityA","TO_in_OO",1,-1,0.852938661997383,0.849304532468548,-1,0.916691362853597,0.912164055561465,-1,0.759696352686064,0.752666288443611
29,-0.0164131716555991,-50.5194317964278,0.66389877391248,"cityA","TO_in_OO",1,-1,0.856986995040278,0.853744784479668,-1,0.915977984461665,0.911190973601502,-1,0.759348200326625,0.751215321105926
30,-0.0126152740609693,-46.0211227647195,0.688794770491777,"cityA","TO_in_OO",1,-1,0.854243594563854,0.850119210676315,-1,0.920978646192124,0.915794980747601,-1,0.76739466286523,0.758804334798386
31,-0.0126332059090326,-46.0351060250057,0.679399129213802,"cityA","TO_in_OO",1,-1,0.854146794001625,0.850211717624102,-1,0.91888387816593,0.914025257001172,-1,0.764028378281015,0.755460735610915
32,-0.0126333425196696,-46.0373199813325,0.681901368765084,"cityA","TO_in_OO",1,-1,0.855719418270789,0.851531172571763,-1,0.9184849110518,0.913440016143117,-1,0.763918470069327,0.754919152573754
33,-0.0121731525615281,-45.2477666801,0.672210721308987,"cityA","TO_in_OO",1,-1,0.850062613911548,0.84611276613813,-1,0.919236053810421,0.914091076561318,-1,0.76521999583767,0.756907529749985
34,-0.0142605064375956,-48.3899273023791,0.692252185345113,"cityA","TO_in_OO",1,-1,0.860862323607719,0.857389760993926,-1,0.916050781752113,0.910689353374005,-1,0.761156630198118,0.752324197037188
35,-0.0148974704962448,-48.1983788847955,0.630972259223632,"cityA","TO_in_OO",1,-1,0.847485215459569,0.844750576624028,-1,0.912411221053933,0.908057259172812,-1,0.754378311973021,0.746859417919142
36,-0.0124896829107251,-46.3227354808909,0.697934810610194,"cityA","TO_in_OO",1,-1,0.860233263674151,0.856442776153471,-1,0.918442199141138,0.913247434578141,-1,0.763930471309805,0.75500949988846
37,-0.0159274472705537,-50.4712156599512,0.689764620996497,"cityA","TO_in_OO",1,-1,0.86236846840104,0.859272978872337,-1,0.917350138295081,0.912738280367937,-1,0.761437908727119,0.754001627961515
38,-0.0128022860868875,-46.4210410680921,0.68866883860074,"cityA","TO_in_OO",1,-1,0.857728497344085,0.853665056300376,-1,0.919594530824442,0.914963652545181,-1,0.765122895519922,0.756670959142215
39,-0.0126370013098775,-46.0408108110247,0.678070132615482,"cityA","TO_in_OO",1,-1,0.854016751382623,0.850098769326161,-1,0.919474321933563,0.914681561777725,-1,0.764958390159209,0.757136267664993
40,-0.0121250020320876,-45.3323311937041,0.67894716937846,"cityA","TO_in_OO",1,-1,0.851579216505535,0.847617577604314,-1,0.918650354661023,0.913791307484839,-1,0.76531453564246,0.757440307349979
41,-0.0144491327220644,-48.5619795506081,0.682747658668986,"cityA","TO_in_OO",1,-1,0.861639567976737,0.857852240766493,-1,0.917213635366137,0.912543733788571,-1,0.761128916832711,0.752964157905938
42,-0.015086452417121,-48.6549579093965,0.653984174021555,"cityA","TO_in_OO",1,-1,0.852359142216074,0.849150675033644,-1,0.909982451063619,0.905943981797001,-1,0.750121768953904,0.742855338787028
43,-0.0124897433197946,-46.0647911043202,0.690402824856907,"cityA","TO_in_OO",1,-1,0.857802678642962,0.853788932744491,-1,0.919248470103451,0.914552790124121,-1,0.765371961363199,0.756988225611945
44,-0.0123532437977993,-45.6665310071317,0.671551137641134,"cityA","TO_in_OO",1,-1,0.853130290902063,0.849267181911517,-1,0.918794840397327,0.914287820974365,-1,0.76447772102913,0.756847457902052
45,-0.0127224021693479,-46.1281546646944,0.682618552299134,"cityA","TO_in_OO",1,-1,0.85268067293478,0.849004557461652,-1,0.920162148074221,0.915409188116989,-1,0.765884791351085,0.757349625965154
46,-0.0126913253597103,-46.1763275039987,0.682644025954639,"cityA","TO_in_OO",1,-1,0.855169786374666,0.851241195280312,-1,0.919846885424338,0.915034365477259,-1,0.765687039740997,0.757447271177265
47,-0.012222841369947,-45.4872427312422,0.678051836865836,"cityA","TO_in_OO",1,-1,0.85324493804613,0.849255532342343,-1,0.918966809446411,0.914104254610484,-1,0.764493929622144,0.755928241773062
48,-0.0147577706735202,-48.9167632874137,0.682082251498222,"cityA","TO_in_OO",1,-1,0.860674321982124,0.857263081272857,-1,0.916754735722195,0.911660096526982,-1,0.760980911443872,0.752379505541356
49,-0.0152418868635682,-48.2895902068182,0.624127974002499,"cityA","TO_in_OO",1,-1,0.845564686294291,0.842352257307308,-1,0.908899152658966,0.904611889698254,-1,0.7486956069698,0.741213668964578
50,-0.0166910561419371,-50.8669349061322,0.66920496395163,"cityA","TO_in_OO",1,-1,0.856698929312807,0.853504624871575,-1,0.916402592283266,0.91198182879103,-1,0.758762097563949,0.751284788148873
51,-0.0125539791699081,-45.9834012403869,0.689908983754366,"cityA","TO_in_OO",1,-1,0.856033217093812,0.851736128166057,-1,0.919350676367159,0.914056557644071,-1,0.765002339096186,0.756152562561947
52,-0.012650362054762,-45.9682729895401,0.680561698313025,"cityA","TO_in_OO",1,-1,0.852945219535583,0.848765554407591,-1,0.919502835670345,0.914571199133604,-1,0.765282419703692,0.756499517507686
53,-0.0125062200540138,-45.836331617112,0.681435238062397,"cityA","TO_in_OO",1,-1,0.853350123169069,0.849299830730683,-1,0.918644925795306,0.913227468567025,-1,0.763677747697662,0.754292384244955
54,-0.0123144929260122,-45.6048909402546,0.678346849264596,"cityA","TO_in_OO",1,-1,0.854558864459563,0.850331251639863,-1,0.92028207689865,0.91526969128526,-1,0.766251358094974,0.757705788948871
55,-0.0148883979576864,-49.137471088153,0.694882172943148,"cityA","TO_in_OO",1,-1,0.862280563919083,0.858629421510638,-1,0.917510554427894,0.912849421136401,-1,0.761853662597359,0.753681939796341
56,-0.0152941691179425,-48.7670238270597,0.652313534071691,"cityA","TO_in_OO",1,-1,0.853902704105876,0.850166134149376,-1,0.910368600508571,0.905838261241456,-1,0.751256780651237,0.742974189351447
57,-0.0126305138916698,-46.1451166487962,0.682738628515515,"cityA","TO_in_OO",1,-1,0.855731361536012,0.851842246757551,-1,0.919294933135299,0.914146568312258,-1,0.764932039568681,0.756133043637681
58,-0.0127214972031273,-46.169452551949,0.690647131106328,"cityA","TO_in_OO",1,-1,0.854489305227626,0.85039267905695,-1,0.92117111822813,0.916158426857354,-1,0.767011340383234,0.758943135547771
59,-0.0127526910782552,-46.0912083456986,0.6815446046715,"cityA","TO_in_OO",1,-1,0.852458985873607,0.848617877757876,-1,0.917981483348923,0.912670030184303,-1,0.762998676294212,0.753493305054424
60,-0.0124956161691745,-45.7751413489111,0.681018657325116,"cityA","TO_in_OO",1,-1,0.851220128853068,0.847364600335549,-1,0.919799679339825,0.914894568574896,-1,0.765618281392799,0.757712963658053
