"day","empirical","homo","power","exp","county"
2020-02-10,220,167.901429000734,865.299286486916,162.070622247108,"13171"
2020-02-10,258,164.6126381234,628.203680186114,129.932896621023,"13171"
2020-02-10,82,179.844932713158,593.876501545156,136.193074767333,"13171"
2020-02-10,214,168.42071177084,1114.8133409437,208.589258568454,"13171"
2020-02-10,133,175.431029167262,901.95686046012,172.340029495342,"13171"
2020-02-10,331,158.294697753785,769.522428724824,149.54965361481,"13171"
2020-02-10,177,171.622955519823,943.119880973805,181.437710442946,"13171"
2020-02-10,111,177.335065990982,1067.92321089684,201.628630998913,"13171"
2020-02-10,255,164.872279508453,607.424610064562,123.063028777354,"13171"
2020-02-10,158,173.26735095849,647.729623097947,138.66473421794,"13171"
2020-02-10,54,182.268252306983,1055.61293684097,197.287650523317,"13171"
2020-02-10,167,172.488426803332,896.376109496813,178.031313755678,"13171"
2020-02-11,195,154.767065254173,783.199581037298,146.918113352493,"13171"
2020-02-11,241,150.774196492708,570.742949569552,117.993699739764,"13171"
2020-02-11,93,163.620817725248,552.970093916357,125.223918695425,"13171"
2020-02-11,205,153.899050306029,1019.31326041231,190.068949493796,"13171"
2020-02-11,122,161.103574375628,799.6376272056,153.593894179701,"13171"
2020-02-11,275,147.822945669017,720.088865436938,139.693450226718,"13171"
2020-02-11,174,156.589896645277,843.964331458956,162.597172300809,"13171"
2020-02-11,96,163.360413240804,1009.72158998164,188.882277316396,"13171"
2020-02-11,225,152.16302040974,552.559991169583,112.723266423228,"13171"
2020-02-11,143,159.280742984525,591.248414899264,126.133698972653,"13171"
2020-02-11,47,167.613686486713,982.882423609604,183.148864657706,"13171"
2020-02-11,162,157.63151458305,836.594738145045,164.64078599752,"13171"
2020-02-12,201,161.429993295107,836.43570937198,154.899714653077,"13171"
2020-02-12,260,156.328563405225,578.638597255425,119.711942928847,"13171"
2020-02-12,108,169.471230240177,568.876420523722,128.162711141235,"13171"
2020-02-12,207,160.91120381478,1088.90703841045,200.718461455433,"13171"
2020-02-12,121,168.347186366135,849.678822821588,161.537458298455,"13171"
2020-02-12,308,152.178247562608,733.22381375365,141.620890327718,"13171"
2020-02-12,179,163.33222138964,890.458601372265,170.190190866607,"13171"
