"day","empirical","homo","power","exp","county"
2020-02-10,400,400.467859509665,3486.72197530557,444.863800042939,"48157"
2020-02-10,132,401.58855229892,742.790889319841,113.006778460188,"48157"
2020-02-10,997,397.971390870914,5962.86177038902,749.112789117455,"48157"
2020-02-10,285,400.948753803561,2308.70270297156,408.920703906637,"48157"
2020-02-10,70,401.847817048673,988.595666566316,160.400470452658,"48157"
2020-02-10,1255,396.89251497678,7360.84521515449,894.504956484592,"48157"
2020-02-10,58,401.897997322818,1828.00214409938,238.4482253382,"48157"
2020-02-10,449,400.262956723569,1387.60946848934,233.431621997136,"48157"
2020-02-10,1339,396.54125305776,5522.42872269988,795.119261495686,"48157"
2020-02-10,140,401.555098782823,1322.94725980873,176.373610599555,"48157"
2020-02-10,230,401.178746726729,5879.50380303697,701.939206178647,"48157"
2020-02-10,289,400.932027045513,17254.5038638398,1980.72577370371,"48157"
2020-02-10,121,401.634550883553,4290.55684497658,574.392714945318,"48157"
2020-02-10,2523,391.590132675379,9192.19745432043,1079.24013231746,"48157"
2020-02-10,613,399.577159643578,8947.99911218088,1055.12957212099,"48157"
2020-02-10,971,398.080114798229,5900.21453201436,791.682889801268,"48157"
2020-02-10,417,400.396770787958,10119.5211497787,1193.78833384289,"48157"
2020-02-10,199,401.308379101606,1856.02571711769,228.15519989625,"48157"
2020-02-10,2164,393.091359210239,6928.74023089076,846.517288959474,"48157"
2020-02-10,207,401.274925585509,2669.53170491005,357.020345985931,"48157"
2020-02-10,409,400.430224304055,3487.2402050739,437.146014312749,"48157"
2020-02-10,51,401.927269149404,762.791560854603,110.741586231713,"48157"
2020-02-10,94,401.747456500381,993.095787693572,166.006927678958,"48157"
2020-02-10,3689,386.714282704217,11870.6890853732,1396.31800752138,"48157"
2020-02-10,1174,397.231231827264,9878.59684956243,1220.79831650831,"48157"
2020-02-10,205,401.283288964533,5102.33287952061,719.702848682408,"48157"
2020-02-10,114,401.663822710138,1362.4709080791,256.779313199155,"48157"
2020-02-10,62,401.88127056477,8252.90322384199,1001.90818273012,"48157"
2020-02-10,189,401.350195996727,4289.42590907969,619.847702036001,"48157"
2020-02-10,368,400.601673574053,3883.43648235692,525.781056918117,"48157"
2020-02-10,227,401.191291795266,4158.19447370384,522.655557067969,"48157"
2020-02-10,373,400.580765126493,2829.60035949908,363.904464173162,"48157"
2020-02-10,131,401.592733988432,2130.34439304018,292.025409667771,"48157"
2020-02-10,179,401.392012891849,1585.80707809601,206.659860260962,"48157"
2020-02-10,668,399.34716672041,2692.33102805148,363.608246194055,"48157"
2020-02-10,697,399.225897724557,6878.86633344668,812.118482175663,"48157"
2020-02-10,259,401.057477730877,1736.80748138135,225.949411542624,"48157"
2020-02-10,103,401.709821294772,1048.49649511963,150.099288105155,"48157"
2020-02-10,347,400.689489053808,3765.92662878129,493.940117395179,"48157"
2020-02-10,186,401.362741065264,2877.38288535268,372.335842760703,"48157"
2020-02-10,117,401.651277641602,996.400154844356,142.589617661179,"48157"
2020-02-10,1603,395.437287026553,7379.29123924739,867.268394211698,"48157"
2020-02-10,194,401.329287549167,1056.44266323017,148.002180955272,"48157"
2020-02-10,179,401.392012891849,1155.99393383895,159.25948399416,"48157"
2020-02-10,323,400.7898496021,4103.94121335204,507.113989007983,"48157"
2020-02-10,352,400.668580606248,1643.80748138135,216.060293556386,"48157"
2020-02-10,664,399.363893478458,5930.18018932359,728.664186038667,"48157"
2020-02-10,80,401.806000153551,1980.90037270468,274.096355761278,"48157"
2020-02-10,72,401.839453669648,1707.73515762511,230.069940653722,"48157"
2020-02-10,391,400.505494715274,2021.71926077064,279.665460315045,"48157"
2020-02-10,215,401.241472069412,3600.60423589934,431.578531106344,"48157"
2020-02-10,885,398.439740096274,5217.34966168808,613.432064860284,"48157"
2020-02-10,100,401.722366363308,724.052530174748,84.9247478005386,"48157"
2020-02-10,195,401.325105859655,1720.32866648417,216.571892958941,"48157"
2020-02-10,134,401.580188919895,2529.86979443882,337.074796050861,"48157"
2020-02-10,93,401.751638189893,356.475002475394,51.892433106644,"48157"
2020-02-10,163,401.458919924043,3348.54275250787,407.330889246741,"48157"
2020-02-10,550,399.840606082843,3901.94759808078,481.824662378771,"48157"
2020-02-10,428,400.350772203325,2311.21919318797,291.774219520564,"48157"
2020-02-10,959,398.130295072375,4057.97906246337,497.97288994693,"48157"
2020-02-10,71,401.843635359161,602.939374386935,89.7088868167637,"48157"
2020-02-10,100,401.722366363308,1802.88883649269,237.878939914589,"48157"
2020-02-10,111,401.676367778675,1081.15279495542,147.385436957052,"48157"
2020-02-10,87,401.776728326966,738.493272356666,97.1193620487511,"48157"
2020-02-10,241,401.132748142096,1936.43475886095,241.640010302947,"48157"
2020-02-10,95,401.743274810869,984.456525815081,141.190494528258,"48157"
2020-02-10,285,400.948753803561,1382.44364270829,200.789328243369,"48157"
2020-02-10,244,401.120203073559,2639.48497850048,323.089522342408,"48157"
2020-02-10,223,401.208018553314,1788.48413537772,236.479172577714,"48157"
2020-02-10,95,401.743274810869,1473.19691143672,196.488644341583,"48157"
2020-02-10,149,401.517463577213,1686.33869175653,219.600728981897,"48157"
2020-02-10,195,401.325105859655,1514.46362260447,187.572141960606,"48157"
2020-02-10,249,401.099294625999,3372.4470380597,401.597861986482,"48157"
2020-02-10,197,401.31674248063,1890.62212602571,231.549445769753,"48157"
2020-02-10,231,401.174565037217,2921.4722505439,347.719567622904,"48157"
2020-02-10,368,400.601673574053,2149.17728848785,295.408288007934,"48157"
2020-02-10,1755,394.801670220707,10950.350400495,1257.78003819976,"48157"
