"day","empirical","homo","power","exp","county"
2020-02-10,312,13.2455139050288,1391.94717155515,54.9591447055661,"51179"
2020-02-10,527,12.8244929869949,1400.01692307597,55.3707511931041,"51179"
2020-02-10,70,13.7194072174204,797.23361695973,31.7534565664862,"51179"
2020-02-10,14,13.829068479792,379.616886677011,15.0941627955888,"51179"
2020-02-10,73,13.7135325069362,1308.78632363371,51.6320914315368,"51179"
2020-02-10,46,13.7664049012939,593.230466778561,23.8079707796234,"51179"
2020-02-10,377,13.1182285112046,1439.25991972063,57.1109954599365,"51179"
2020-02-10,28,13.8016531641991,1293.24121628974,51.3900757231833,"51179"
2020-02-10,13,13.8310267166201,451.383915850217,17.8601261547376,"51179"
2020-02-10,12,13.8329849534481,719.314946054709,28.956082517867,"51179"
2020-02-10,20,13.8173190588236,802.927809160273,31.6826438512931,"51179"
2020-02-10,51,13.7566137171536,1076.18453563175,42.8293777304034,"51179"
2020-02-10,158,13.5470823765507,1106.03850845748,43.7049689443551,"51179"
2020-02-10,35,13.7879455064026,1081.62310344899,42.774971184076,"51179"
2020-02-10,65,13.7291984015607,785.710673324392,31.0515904458315,"51179"
2020-02-10,18,13.8212355324797,694.133767273343,27.6585990287366,"51179"
2020-02-10,60,13.738989585701,520.270168397362,20.5619859421133,"51179"
2020-02-10,54,13.7507390066694,281.936874443351,11.1632961073597,"51179"
2020-02-10,10,13.8369014271043,262.875231888267,10.3553369620226,"51179"
2020-02-10,324,13.222015063092,1950.27437780411,77.3777784987785,"51179"
2020-02-10,33,13.7918619800588,803.85358170847,32.1272411894005,"51179"
2020-02-10,4,13.8486508480726,213.670827851237,8.46421549665207,"51179"
2020-02-10,43,13.7722796117781,857.05967624309,34.112479903526,"51179"
2020-02-10,6,13.8447343744165,493.501219297608,19.4904910809525,"51179"
2020-02-10,163,13.5372911924104,1280.23566699757,51.0957484176136,"51179"
2020-02-10,12,13.8329849534481,702.910763311117,28.0381304747786,"51179"
2020-02-10,16,13.8251520061359,157.908927972871,6.21641527265089,"51179"
2020-02-10,173,13.5177088241297,1348.88489423614,53.5706251059369,"51179"
2020-02-10,23,13.8114443483394,375.072042692312,14.8554255324385,"51179"
2020-02-10,4,13.8486508480726,367.428815393085,14.7615485782576,"51179"
2020-02-10,116,13.6293283233294,955.017544364959,38.1746762983586,"51179"
2020-02-10,316,13.2376809577165,1588.19579371318,63.2731900438494,"51179"
2020-02-10,285,13.2983862993865,1532.72425392705,60.7343612591032,"51179"
2020-02-10,28,13.8016531641991,1357.22478083263,54.025855210328,"51179"
2020-02-10,141,13.5803724026278,784.844672395497,31.2033404530749,"51179"
2020-02-10,2,13.8525673217288,876.118058640828,35.1322986233988,"51179"
2020-02-10,161,13.5412076660665,809.980090146964,31.9280955126907,"51179"
2020-02-10,19,13.8192772956517,675.110363547712,26.7090385199964,"51179"
2020-02-10,265,13.3375510359478,995.939611867468,39.2851157591975,"51179"
2020-02-10,117,13.6273700865013,1215.76300506069,48.5751318413595,"51179"
2020-02-10,24,13.8094861115113,1331.92638563718,53.1323421952727,"51179"
2020-02-10,75,13.7096160332801,1413.73349946625,55.9397245275589,"51179"
2020-02-10,9,13.8388596639323,70.94898994619,2.79624351602309,"51179"
2020-02-10,87,13.6861171913433,328.946460454994,13.0500543476486,"51179"
2020-02-10,220,13.4256716932107,932.833567637413,36.7059144668236,"51179"
2020-02-10,11,13.8349431902762,1202.66620268991,47.9705361691023,"51179"
2020-02-10,348,13.1750173792184,873.748269088144,34.3964954615937,"51179"
2020-02-10,248,13.3708410620249,961.472028283876,37.848052306808,"51179"
2020-02-10,38,13.7820707959184,1187.92077698223,47.3869867180872,"51179"
2020-02-10,212,13.4413375878352,834.831951340616,33.1869344569393,"51179"
2020-02-10,199,13.4667946666,1100.72255618979,44.160652578135,"51179"
2020-02-10,22,13.8134025851675,798.73018044095,31.7675902207125,"51179"
2020-02-10,24,13.8094861115113,88.5795535638274,3.50566628919798,"51179"
2020-02-10,12,13.8329849534481,710.883247213303,28.0516216243082,"51179"
2020-02-10,94,13.6724095335468,210.278824715333,8.27434360939268,"51179"
2020-02-10,206,13.4530870088036,678.794769675446,27.1274147699414,"51179"
2020-02-10,24,13.8094861115113,934.682375868614,37.2942232450027,"51179"
2020-02-10,12,13.8329849534481,615.726625106049,24.4171044169678,"51179"
2020-02-10,379,13.1143120375484,908.756305153971,36.0555131457441,"51179"
2020-02-10,131,13.5999547709084,408.110734145025,16.2518853847077,"51179"
2020-02-10,495,12.8871565654929,1560.26375072541,61.6645214959536,"51179"
2020-02-10,12,13.8329849534481,277.381581498747,11.188440162756,"51179"
2020-02-11,296,18.4495667755742,1369.10526139845,90.5441360923205,"51179"
2020-02-11,548,17.7904668567417,1336.67419470964,89.2131573660069,"51179"
2020-02-11,73,19.0328178942236,783.997453288934,54.7550210850723,"51179"
2020-02-11,76,19.0249714666185,395.76974256813,28.9213758210136,"51179"
2020-02-11,79,19.0171250390134,1404.22773451319,93.8623717401156,"51179"
2020-02-11,59,19.069434556381,649.032714906499,45.9691262248997,"51179"
2020-02-11,412,18.1461715748418,1588.53751051969,107.229325488663,"51179"
2020-02-11,24,19.1609762117744,1380.55141609745,93.5944270393848,"51179"
2020-02-11,18,19.1766690669847,483.521024177449,33.4196139813648,"51179"
2020-02-11,11,19.1949773980634,750.509137473848,54.7704440102276,"51179"
2020-02-11,30,19.1452833565641,892.689520059453,60.0750105795811,"51179"
2020-02-11,42,19.1138976461435,1089.99974686693,74.4165746719638,"51179"
