"day","lag","rho","error","index","err_tag"
2021-01-30,28,7.80286833249943e-05,2.73579842930021,"homo","srmspe"
2021-01-31,28,7.80286833249943e-05,2.50089101825383,"homo","srmspe"
2021-02-01,28,7.80286833249943e-05,2.84777768364133,"homo","srmspe"
2021-02-02,28,7.80286833249943e-05,2.60385933995929,"homo","srmspe"
2021-02-03,28,7.80286833249943e-05,2.45866813399339,"homo","srmspe"
2021-02-04,28,7.80286833249943e-05,2.58173304888199,"homo","srmspe"
2021-02-05,28,7.80286833249943e-05,2.34154390941511,"homo","srmspe"
2021-02-06,28,7.80286833249943e-05,2.59959671584183,"homo","srmspe"
2021-02-07,28,7.80286833249943e-05,2.55908067225764,"homo","srmspe"
2021-02-08,28,7.80286833249943e-05,2.75869723197909,"homo","srmspe"
2021-02-09,28,7.80286833249943e-05,2.81496467373001,"homo","srmspe"
2021-02-10,28,7.80286833249943e-05,3.25909758035078,"homo","srmspe"
2021-02-11,28,7.80286833249943e-05,3.2288848177546,"homo","srmspe"
2021-02-12,28,7.80286833249943e-05,2.95489358575863,"homo","srmspe"
2021-02-13,28,7.80286833249943e-05,3.12056743458836,"homo","srmspe"
2021-02-14,28,7.80286833249943e-05,2.53562408975031,"homo","srmspe"
2021-02-15,28,7.80286833249943e-05,1.77118657650081,"homo","srmspe"
2021-02-16,28,7.80286833249943e-05,2.09377194368146,"homo","srmspe"
2021-02-17,28,7.80286833249943e-05,2.25619983524564,"homo","srmspe"
2021-02-18,28,7.80286833249943e-05,2.60547784529627,"homo","srmspe"
2021-02-19,28,7.80286833249943e-05,2.73102511521518,"homo","srmspe"
2021-02-20,28,7.80286833249943e-05,2.88204641937559,"homo","srmspe"
2021-02-21,28,7.80286833249943e-05,2.90555907451581,"homo","srmspe"
2021-02-22,28,7.80286833249943e-05,3.3108925959699,"homo","srmspe"
2021-02-23,28,7.80286833249943e-05,2.90819340002578,"homo","srmspe"
2021-02-24,28,7.80286833249943e-05,2.83160640791696,"homo","srmspe"
2021-02-25,28,7.80286833249943e-05,2.81356904881354,"homo","srmspe"
2021-02-26,28,7.80286833249943e-05,3.59221884271532,"homo","srmspe"
2021-02-27,28,7.80286833249943e-05,3.41538561274803,"homo","srmspe"
2021-02-28,28,7.80286833249943e-05,2.81778200132415,"homo","srmspe"
2021-03-01,28,7.80286833249943e-05,3.01489753128256,"homo","srmspe"
2021-03-02,28,7.80286833249943e-05,2.57646587171334,"homo","srmspe"
2021-03-03,28,7.80286833249943e-05,2.86648818403092,"homo","srmspe"
2021-01-30,28,60.9017499402505,32.5931969822853,"power","srmspe"
2021-01-31,28,60.9017499402505,29.5267793791527,"power","srmspe"
2021-02-01,28,60.9017499402505,42.6636517749937,"power","srmspe"
2021-02-02,28,60.9017499402505,32.612938080613,"power","srmspe"
2021-02-03,28,60.9017499402505,25.5385418262915,"power","srmspe"
2021-02-04,28,60.9017499402505,26.6554428333461,"power","srmspe"
2021-02-05,28,60.9017499402505,26.8366079953433,"power","srmspe"
2021-02-06,28,60.9017499402505,27.1626703557536,"power","srmspe"
2021-02-07,28,60.9017499402505,30.9506983014367,"power","srmspe"
2021-02-08,28,60.9017499402505,39.571803068313,"power","srmspe"
2021-02-09,28,60.9017499402505,39.5099721699808,"power","srmspe"
2021-02-10,28,60.9017499402505,86.377548825431,"power","srmspe"
2021-02-11,28,60.9017499402505,84.7031060626871,"power","srmspe"
2021-02-12,28,60.9017499402505,46.0542735356349,"power","srmspe"
2021-02-13,28,60.9017499402505,45.0782604247631,"power","srmspe"
2021-02-14,28,60.9017499402505,38.2987474748478,"power","srmspe"
2021-02-15,28,60.9017499402505,27.0443336085514,"power","srmspe"
2021-02-16,28,60.9017499402505,29.834522609893,"power","srmspe"
2021-02-17,28,60.9017499402505,36.7757402578925,"power","srmspe"
2021-02-18,28,60.9017499402505,38.9326826139296,"power","srmspe"
2021-02-19,28,60.9017499402505,37.8852132773028,"power","srmspe"
2021-02-20,28,60.9017499402505,39.9077070306645,"power","srmspe"
2021-02-21,28,60.9017499402505,80.2161049811309,"power","srmspe"
2021-02-22,28,60.9017499402505,88.0641539392861,"power","srmspe"
2021-02-23,28,60.9017499402505,85.944364073125,"power","srmspe"
2021-02-24,28,60.9017499402505,39.2926102122722,"power","srmspe"
2021-02-25,28,60.9017499402505,40.3015916628458,"power","srmspe"
2021-02-26,28,60.9017499402505,94.8482853530774,"power","srmspe"
2021-02-27,28,60.9017499402505,92.0228709768747,"power","srmspe"
2021-02-28,28,60.9017499402505,75.4107392727757,"power","srmspe"
