"day","empirical","homo","power","exp"
2020-02-10,115,159.819963236006,742,104.381634528134
2020-02-10,69,159.825770876845,1006,130.137930320304
2020-02-10,144,159.816301897217,572,80.0619708934677
2020-02-10,200,159.80923172576,1113,164.384481793738
2020-02-10,151,159.815418125785,913,118.241358749428
2020-02-10,57,159.827285913586,703,122.337299634814
2020-02-10,63,159.826528395216,854,136.224993511362
2020-02-10,137,159.817185668649,455,65.0440090332107
2020-02-10,94,159.822614550302,489,68.5358247099264
2020-02-10,84,159.82387708092,617,78.5069505715378
2020-02-10,151,159.815418125785,592,82.4286108368683
2020-02-10,134,159.817564427834,810,109.680596414173
2020-02-10,150,159.815544378846,961,138.757246946949
2020-02-10,48,159.828422191141,646,92.0679155129918
2020-02-10,141,159.816680656402,677,96.5338054019563
2020-02-10,980,159.710754337621,2331,321.235698588412
2020-02-10,164,159.813776835982,1585,233.367214729237
2020-02-10,123,159.818953211513,2730,348.973550776359
2020-02-10,85,159.823750827858,536,68.0437088732251
2020-02-10,204,159.808726713514,535,81.0423259725521
2020-02-10,0,159.834482338104,627,87.1298307892996
2020-02-10,204,159.808726713514,438,119.354418716929
2020-02-10,229,159.805570386971,420,84.9033602000365
2020-02-10,152,159.815291872723,1111,171.274041886547
2020-02-10,355,159.789662501194,1424,199.64877303547
2020-02-10,169,159.813145570674,1313,170.238697759768
2020-02-10,135,159.817438174772,637,83.6822042141546
2020-02-10,138,159.817059415587,575,76.4354512411515
2020-02-10,213,159.807590435958,1073,151.003594697629
2020-02-10,150,159.815544378846,653,105.644830101549
2020-02-10,141,159.816680656402,1171,148.508220660118
2020-02-10,103,159.821478272747,536,73.2177135163412
2020-02-10,341,159.791430044058,2341,350.091191697069
2020-02-10,216,159.807211676773,776,133.109252866375
2020-02-10,52,159.827917178895,990,131.845728899923
2020-02-10,139,159.816933162525,907,120.97117555515
2020-02-10,147,159.815923138031,859,108.710103500649
2020-02-10,69,159.825770876845,554,77.9638587767386
2020-02-10,42,159.829179709512,597,92.9039365111922
2020-02-10,39,159.829558468697,761,96.1411238129454
2020-02-10,72,159.82539211766,1018,135.55506770543
2020-02-10,155,159.814913113538,1541,245.169834340568
2020-02-10,1596,159.632982451603,7502,927.986860011108
2020-02-10,253,159.802540313489,2548,366.35181068303
2020-02-10,680,159.748630256136,2765,395.82222829467
2020-02-10,861,159.725778451965,1841,271.430568242957
2020-02-10,144,159.816301897217,1321,216.727254930123
2020-02-10,209,159.808095448205,1020,169.978017032189
2020-02-10,311,159.79521763591,2764,379.104512008741
2020-02-10,473,159.774764639912,2368,413.912362893649
2020-02-10,376,159.787011186898,697,108.17023383166
2020-02-10,208,159.808221701267,1412,194.712260992113
2020-02-10,165,159.813650582921,1404,215.620195532737
2020-02-10,88,159.823372068673,1856,237.320603277193
2020-02-10,100,159.821857031932,1702,238.92056585409
2020-02-10,33,159.830315987067,379,60.8400546392549
2020-02-10,107,159.8209732605,954,114.64121782756
2020-02-10,130,159.818069440081,361,51.5610698795497
2020-02-10,74,159.825139611537,866,105.103397284245
2020-02-10,59,159.827033407463,505,61.8077082568915
2020-02-10,69,159.825770876845,612,88.4866974941846
2020-02-10,76,159.824887105413,412,61.3364246494878
2020-02-10,228,159.805696640032,1312,187.120041082295
2020-02-10,188,159.810746762501,1234,171.383249510916
2020-02-10,203,159.808852966575,2868,399.569695038348
2020-02-10,183,159.81137802781,1363,198.116428533251
2020-02-10,48,159.828422191141,609,82.4599973607551
2020-02-10,154,159.815039366599,582,81.1640771837202
2020-02-10,1028,159.704694190659,4145,549.540806892554
2020-02-10,200,159.80923172576,2006,248.080658096045
2020-02-10,199,159.809357978822,584,87.2881712765077
2020-02-10,126,159.818574452327,780,97.7797162738972
2020-02-10,402,159.783728607294,2591,336.29960414336
2020-02-10,124,159.818826958451,624,91.2401965467159
2020-02-10,76,159.824887105413,468,62.2971628457127
2020-02-10,63,159.826528395216,925,135.489629693581
2020-02-10,430,159.780193521565,5731,701.419450489198
2020-02-10,123,159.818953211513,1131,165.797852924451
2020-02-10,140,159.816806909463,692,89.1405422790464
2020-02-10,226,159.805949146156,860,142.249581125715
2020-02-10,383,159.786127415466,3703,514.835316873088
2020-02-10,465,159.775774664405,6020,764.172324595021
2020-02-10,213,159.807590435958,2498,405.797608026824
2020-02-10,527,159.767946974579,1964,296.713596447883
2020-02-10,562,159.763528117419,6564,814.739022045414
2020-02-10,1935,159.590182663681,8476,988.807379258833
2020-02-10,227,159.805822893094,2097,312.177684393483
2020-02-10,133,159.817690680895,1785,320.532572314459
2020-02-10,188,159.810746762501,5795,778.315613026994
2020-02-10,219,159.806832917588,1032,148.051634909252
2020-02-10,253,159.802540313489,2015,257.277542727921
2020-02-10,105,159.821225766624,3768,498.650182157826
2020-02-10,766,159.737772492828,3762,492.559198872144
2020-02-10,218,159.806959170649,1312,165.024640074022
2020-02-10,49,159.82829593808,466,78.425120048546
2020-02-10,303,159.796227660404,4049,559.565450493149
