"urban_fips","urban_name","total_population","male_population","female_population","age_under_18","age_65_and_over","white_population","black_population","asian_population","hispanic_population","median_household_income","per_capita_income","poverty_population","total_housing_units","owner_occupied_housing_units","renter_occupied_housing_units","median_home_value","high_school_graduate","bachelors_degree","graduate_or_professional_degree","mean_commute_time","car_commute","public_transit_commute","walk_commute","work_from_home","families_with_children","single_parent_families","broadband_internet"
"88408","Trenton, IL Urban Cluster (2010)",2528,1129,1399,106,10,2484,12,9,50,61607,35644,235,1109,778,269,145700,407,429,7,1153,1119,5,6,69,337,61,839
"88435","Trenton, MO Urban Cluster (2010)",5239,2548,2691,219,33,4966,28,54,205,37695,19546,981,2633,1107,950,83200,1244,311,19,2123,1874,45,204,90,604,182,1564
"88462","Trenton, NJ Urbanized Area (2010)",293998,143772,150226,8417,2865,185369,73625,18720,54875,73102,36081,36719,118049,66927,38498,249900,52145,39881,3345,134428,121401,7991,3846,5496,32095,7704,85507
"88489","Trenton, TN Urban Cluster (2010)",3904,2143,1761,99,26,2567,925,7,187,27823,16365,854,1884,656,891,87400,1153,216,19,1247,1205,0,12,0,345,203,933
"88504","Tri-City--Myrtle Creek, OR Urban Cluster (2010)",8758,4331,4427,222,217,7826,23,62,325,45083,21545,1717,3583,2280,1018,152500,2107,234,11,2994,2878,6,45,176,1050,285,2712
"88516","Trinidad, CO Urban Cluster (2010)",8209,4222,3987,219,118,6825,29,126,4086,36250,24643,1663,4670,2359,1628,130600,1320,679,29,3383,3108,27,195,165,1070,250,2803
"88526","Trinity, TX Urban Cluster (2010)",3537,1810,1727,118,49,2509,632,5,695,31815,20861,776,1850,986,488,80900,657,185,0,1040,937,21,82,61,345,68,856
"88543","Troy, AL Urban Cluster (2010)",15954,7268,8686,396,180,8349,6820,604,278,27914,20184,4240,7847,2707,3130,135000,2164,1241,204,6869,6508,24,193,126,1100,488,4087
"88570","Troy, MO Urban Cluster (2010)",14362,6835,7527,355,74,13479,318,62,674,52794,23019,1601,5271,2982,1766,140500,3191,934,36,6385,6218,88,44,121,1970,557,3934
"88597","Troy, NC Urban Cluster (2010)",3021,1549,1472,42,17,1690,1091,30,151,26122,16575,764,1383,454,596,1e+05,635,226,28,825,819,6,0,0,208,69,553
"88624","Truckee, CA Urban Cluster (2010)",12493,6174,6319,317,142,11389,101,103,2338,93500,43974,1156,6830,3340,1108,565100,843,2869,243,6567,6068,6,100,552,1825,471,4270
