"urban_fips","urban_name","total_population","male_population","female_population","age_under_18","age_65_and_over","white_population","black_population","asian_population","hispanic_population","median_household_income","per_capita_income","poverty_population","total_housing_units","owner_occupied_housing_units","renter_occupied_housing_units","median_home_value","high_school_graduate","bachelors_degree","graduate_or_professional_degree","mean_commute_time","car_commute","public_transit_commute","walk_commute","work_from_home","families_with_children","single_parent_families","broadband_internet"
"52093","Luray, VA Urban Cluster (2010)",4359,2152,2207,105,88,4124,155,26,38,43917,23799,586,2203,1127,673,167800,1134,429,0,1738,1659,0,73,66,389,108,1266
"82333","Skaneateles, NY Urban Cluster (2010)",3455,1630,1825,63,41,3356,6,15,18,90000,74970,88,1945,1150,372,356300,288,874,59,1500,1366,5,97,126,415,60,1311
"82360","Skiatook, OK Urban Cluster (2010)",7271,3472,3799,192,12,5261,135,54,104,44375,22147,1267,2974,1735,990,118500,1783,530,0,3263,3136,23,68,131,993,139,2113
"82387","Skowhegan, ME Urban Cluster (2010)",4821,2357,2464,123,55,4441,23,84,49,38582,21617,1010,2367,1229,840,93400,986,411,17,1575,1411,8,135,206,530,182,1480
"82414","Slaton, TX Urban Cluster (2010)",5867,2634,3233,143,77,5013,220,0,2869,36705,21987,996,2574,1473,794,74100,755,444,19,2426,2235,0,155,74,760,242,1933
"82441","Sleepy Eye, MN Urban Cluster (2010)",3303,1740,1563,97,25,3107,14,0,389,51447,25274,339,1547,1106,332,117600,765,443,9,1631,1523,5,92,44,451,60,1081
"82468","Slidell, LA Urbanized Area (2010)",94376,45317,49059,2782,1156,68551,19399,1803,5684,60844,30055,12386,37476,25934,8321,175800,14292,10841,799,40959,39830,38,256,2150,10931,2844,29680
"82495","Slippery Rock, PA Urban Cluster (2010)",6926,3048,3878,34,24,6336,174,123,121,37474,16205,1360,2015,490,1109,193200,276,349,99,2985,2177,7,763,132,190,34,1437
"82522","Smithfield, NC Urban Cluster (2010)",28632,13531,15101,925,301,18565,8022,145,6172,39616,21521,6396,11489,5606,4679,138500,4385,2478,70,11282,11007,28,117,394,3536,1282,6940
"82549","Smithfield, VA Urban Cluster (2010)",10116,4870,5246,228,138,7165,2431,72,545,68604,36436,1503,4329,2941,1093,292600,1547,1334,114,4161,4060,23,59,262,1252,373,3305
"82562","Smithton, IL Urban Cluster (2010)",3716,1829,1887,185,36,3644,45,14,18,80625,43548,127,1482,1258,164,172900,535,593,15,1976,1955,6,15,0,481,26,1263
"82603","Smithville, TN Urban Cluster (2010)",4450,2028,2422,143,23,3988,29,20,630,34563,19209,1414,1603,572,977,126300,717,295,11,1385,1365,0,0,0,700,109,1074
"82630","Smithville, TX Urban Cluster (2010)",4312,2177,2135,144,21,3283,493,59,607,53583,31838,408,2020,1138,495,159100,862,483,3,1936,1820,28,64,86,405,92,1175
"82641","Smithville North, MO Urban Cluster (2010)",3238,1592,1646,195,47,2759,0,185,20,83095,35886,0,1191,1083,29,193300,548,413,0,1662,1662,0,0,100,476,78,1050
"82665","Sneads Ferry, NC Urban Cluster (2010)",3930,2172,1758,256,27,3626,25,149,229,52656,26911,447,2245,1011,583,183200,593,524,17,1602,1533,0,49,124,445,157,1519
"82675","Snoqualmie, WA Urban Cluster (2010)",24383,12225,12158,843,254,20514,236,1784,1564,125686,51375,1209,8903,6880,1524,551000,1810,5851,250,11836,10923,433,407,1351,3683,357,7944
"82684","Snowflake, AZ Urban Cluster (2010)",7207,3655,3552,275,40,6181,9,0,800,44375,19903,1446,2237,1463,614,155400,886,353,36,2044,1885,33,79,244,812,134,1601
"82711","Snyder, TX Urban Cluster (2010)",11189,5589,5600,348,72,9795,371,51,5237,53346,25174,1608,4943,2991,1174,79900,1553,738,28,4753,4606,0,50,37,1475,171,2968
"82724","Social Circle, GA Urban Cluster (2010)",3719,1858,1861,85,11,1837,1664,0,295,52524,22448,523,1506,868,441,129300,782,178,23,1728,1661,0,6,53,610,130,992
"82738","Socorro, NM Urban Cluster (2010)",8620,4814,3806,329,73,6890,95,536,4356,42464,19911,2422,3937,1580,978,134700,1206,701,249,3148,2493,2,358,40,535,161,1550
"82765","Soda Springs, ID Urban Cluster (2010)",2687,1441,1246,89,45,2559,0,2,140,56667,23974,298,1202,775,199,131400,448,321,10,1093,1039,0,54,28,359,23,809
"82792","Sodus, NY Urban Cluster (2010)",2808,1486,1322,299,3,2306,281,9,146,40682,19288,899,1220,706,374,72000,525,116,0,1035,917,7,43,49,415,125,829
"82819","Soldotna, AK Urban Cluster (2010)",7546,3444,4102,180,29,6216,0,70,490,67296,33240,573,3028,1603,1050,215900,1142,519,35,3448,2941,18,220,67,949,195,2079
"82846","Soledad, CA Urban Cluster (2010)",25882,17702,8180,1013,115,11345,2464,449,18804,64266,14489,2356,4016,2300,1424,369800,2993,808,75,6572,5522,40,94,79,2269,306,3014
"82873","Solvang--Buellton--Santa Ynez, CA Urban Cluster (2010)",15140,7093,8047,350,181,12861,113,445,3403,91114,44949,1120,6384,4089,1886,689100,1845,2713,209,6919,6236,98,547,566,1833,367,5519
"82900","Somerset, KY Urban Cluster (2010)",29425,14188,15237,821,328,28114,490,240,1029,41712,25671,7124,13512,7107,4448,135500,4994,2323,136,10954,10723,16,97,245,3592,767,8781
"82913","Somerset, MI Urban Cluster (2010)",3093,1706,1387,72,54,3010,27,10,61,69228,37235,228,1777,1197,113,247300,454,668,8,1341,1314,0,1,59,337,73,1183
"82927","Somerset, PA Urban Cluster (2010)",12332,7751,4581,355,123,10027,1768,14,593,37141,18980,1594,4379,2210,1544,103000,3121,880,40,3119,2938,2,110,126,1031,322,2580
"82937","Somerset, WI Urban Cluster (2010)",2519,1242,1277,65,0,2278,23,34,96,68083,27676,241,973,574,351,173900,471,245,2,1321,1274,10,14,54,412,109,752
"82981","Somerton, AZ Urban Cluster (2010)",18393,9166,9227,642,115,14209,383,121,17367,38147,15037,4684,5666,3701,1579,130500,1897,968,0,7208,6955,116,1,17,2872,777,3526
"88003","Tonganoxie, KS Urban Cluster (2010)",5335,2695,2640,153,31,5099,21,0,158,72469,31064,135,2166,1563,416,165300,838,826,0,2713,2672,0,15,66,737,169,1558
"88030","Tonkawa, OK Urban Cluster (2010)",2948,1533,1415,127,45,2310,20,50,279,45640,23378,540,1417,791,405,69200,471,249,13,1282,1231,0,44,56,392,106,921
"88057","Tooele, UT Urban Cluster (2010)",33531,16409,17122,1314,255,29596,180,111,4995,63117,23809,2639,11213,8490,2166,192000,5862,2577,59,14411,13835,187,210,713,5058,589,9571
"88084","Topeka, KS Urbanized Area (2010)",149277,71472,77805,4861,1678,119560,14267,2532,20843,52159,28814,18762,68943,36931,24603,118300,25760,19451,1000,68585,65599,963,1296,2079,17955,4030,44023
"88111","Toppenish, WA Urban Cluster (2010)",14560,7603,6957,777,150,10726,20,45,10529,49704,17893,2709,4643,2713,1622,137900,1627,468,17,5837,5597,32,147,110,2101,372,3269
"88165","Tornillo, TX Urban Cluster (2010)",1803,862,941,53,18,1059,0,0,1797,42000,14250,448,579,432,64,72300,195,63,0,606,523,9,29,22,239,55,354
"88192","Torrington, CT Urban Cluster (2010)",40269,20556,19713,999,484,36084,1372,1047,4289,61694,32022,4907,19510,10559,6131,156600,9195,3873,44,19341,18165,240,477,627,4158,1118,13799
"88219","Torrington, WY Urban Cluster (2010)",7292,3406,3886,287,19,6658,40,113,972,49106,26623,987,3238,1868,1013,147200,1322,707,76,3132,2977,0,99,139,938,235,2172
"88246","Towanda, PA Urban Cluster (2010)",4397,2046,2351,148,46,4251,71,3,115,39621,25117,763,2282,1066,877,130400,1173,332,23,1735,1577,16,115,51,509,103,1385
"88273","Tracy, CA Urbanized Area (2010)",94509,47246,47263,2633,514,55497,4330,15103,37334,92547,32713,7542,27880,17256,9747,450100,13381,9767,341,42500,40568,1043,399,1605,13099,1742,25046
"88300","Traverse City, MI Urban Cluster (2010)",49903,23495,26408,1452,595,46955,431,411,2014,56526,35814,5916,23893,14161,7079,214100,7269,9044,497,23199,21272,458,870,1340,5438,1257,17661
"88327","Treasure Lake, PA Urban Cluster (2010)",3124,1671,1453,131,22,2907,0,0,217,83200,30166,144,1623,1003,17,179200,649,450,156,1210,1210,0,0,26,334,50,1020
"88354","Tremonton, UT Urban Cluster (2010)",10757,5697,5060,554,50,9821,200,93,1369,52655,20142,1243,3713,2419,1037,175300,1669,708,8,4162,4041,0,48,225,1547,143,2961
"77716","St. Joseph, IL Urban Cluster (2010)",5314,2645,2669,196,30,5207,21,69,70,96075,33206,253,1807,1552,255,189300,908,711,11,2485,2405,18,21,131,877,270,1700
"77743","St. Joseph, MO--KS Urbanized Area (2010)",80005,40260,39745,2862,740,69072,4804,775,5648,48516,25347,13943,35429,18042,12348,114300,16370,7523,435,35659,34104,255,697,844,9226,2674,22976
"77770","St. Louis, MO--IL Urbanized Area (2010)",2157474,1035910,1121564,67020,21482,1516850,492096,69673,72913,63381,36798,245238,977662,579735,297841,176500,302140,329175,26425,1016761,955902,29923,18803,53324,257578,63213,736883
"77797","St. Maries, ID Urban Cluster (2010)",3030,1528,1502,110,19,2953,0,0,55,44865,22444,519,1333,710,500,157300,735,194,26,1119,1007,7,74,36,398,90,855
"77824","St. Martinville, LA Urban Cluster (2010)",7285,3521,3764,235,129,3015,4020,23,115,32193,22124,1722,3660,1816,1274,116000,1894,296,7,2923,2792,0,131,63,767,222,2004
"77841","St. Marys, KS Urban Cluster (2010)",2780,1374,1406,103,19,2651,35,14,208,60656,21813,166,871,619,188,151100,468,226,25,1007,914,0,73,16,330,19,729
"75448","Roanoke Rapids, NC Urban Cluster (2010)",23594,10890,12704,672,457,12279,10349,282,1062,36524,22471,6295,11049,5095,4622,104000,4596,1860,76,8597,8479,0,55,204,3392,1458,6388
"75475","Roaring Spring, PA Urban Cluster (2010)",6020,2822,3198,190,75,5877,7,22,100,43239,23660,875,2899,1657,957,110200,1958,454,5,2923,2768,17,88,60,848,218,2137
"75502","Robertsdale, AL Urban Cluster (2010)",9011,4341,4670,401,48,8154,418,0,774,52678,22631,1714,3475,1950,1180,145300,1647,658,0,3873,3851,0,0,166,1349,490,2524
"52174","Lykens, PA Urban Cluster (2010)",2987,1437,1550,80,15,2922,0,11,40,43000,22043,702,1565,947,333,78500,870,131,3,1138,1073,5,43,87,369,86,900
"52201","Lynchburg, VA Urbanized Area (2010)",124491,58355,66136,3953,1200,88828,27429,2961,5233,50748,26314,17019,50944,26034,19704,171300,15133,15451,1422,55127,50911,1016,2094,2529,12531,3059,37050
"52228","Lynden, WA Urban Cluster (2010)",15469,7407,8062,564,155,13314,129,306,1985,64308,29661,1145,5977,3905,1871,332400,2598,1650,92,6754,6322,58,234,468,1790,179,4753
"52255","Lyndonville, VT Urban Cluster (2010)",2800,1529,1271,77,6,2673,31,0,65,35250,18289,557,1158,372,638,152400,431,228,5,1144,1018,0,124,90,204,17,744
"52309","Lyons, KS Urban Cluster (2010)",3474,1696,1778,117,69,3200,54,18,584,54770,29965,372,1689,1051,400,72900,684,312,16,1686,1648,0,38,8,437,35,1175
"52341","Lytle, TX Urban Cluster (2010)",3589,1764,1825,43,13,3442,0,0,2785,55724,22390,508,1218,760,268,94400,873,208,35,1661,1635,0,12,46,387,71,735
"52352","Mabton, WA Urban Cluster (2010)",2439,1272,1167,87,33,2037,0,43,2298,46406,14018,421,664,473,150,97700,285,15,0,873,837,0,24,59,360,95,441
"52363","McAlester, OK Urban Cluster (2010)",19219,10152,9067,600,227,13750,921,106,1504,43391,23646,3421,8792,4403,3017,97800,3706,1370,130,7020,6638,0,321,304,2553,577,5673
"52390","McAllen, TX Urbanized Area (2010)",796904,387722,409182,37278,5275,687358,3740,8278,734571,40514,17494,231845,259699,151303,73632,88100,86939,60364,2552,286919,270240,1137,3215,17052,109911,27921,154987
"52417","Macclenny, FL Urban Cluster (2010)",10728,5298,5430,374,94,9034,1490,18,224,59543,24859,1220,4127,2201,1336,138100,2593,770,42,3691,3501,0,11,144,1210,176,2548
"52471","McComb, MS Urban Cluster (2010)",16866,7783,9083,701,123,3951,12875,26,65,29092,14094,7171,7099,2977,2878,87300,3226,786,28,5905,5775,16,31,74,1538,785,3261
"52498","McConnelsville, OH Urban Cluster (2010)",2901,1383,1518,50,38,2431,332,6,14,29747,20203,570,1499,615,734,82600,800,146,0,1047,1003,4,31,32,330,101,887
"52525","McCook, NE Urban Cluster (2010)",7389,3538,3851,194,42,7052,35,8,378,47500,26672,746,3769,2231,971,107700,1250,599,80,3846,3629,7,147,50,775,184,2574
"52552","McFarland, CA Urban Cluster (2010)",15034,8413,6621,827,31,13487,161,20,14227,35607,11071,4390,3414,1938,1378,170500,2015,153,0,4939,4798,69,37,85,2166,390,2063
"52579","McGehee, AR Urban Cluster (2010)",3461,1601,1860,79,50,1626,1571,0,222,27468,18012,1253,1816,914,574,80500,823,297,2,1285,1257,0,10,5,620,198,893
"52606","McGregor, TX Urban Cluster (2010)",5129,2625,2504,166,40,4625,236,0,2274,58668,25513,615,1833,1056,560,113900,972,219,0,2570,2497,0,35,91,659,172,1322
"52633","McKenzie, TN Urban Cluster (2010)",4970,2229,2741,67,36,4274,660,22,38,32736,19628,1117,2399,1158,825,95300,860,541,57,1761,1613,0,69,59,507,104,1413
"52660","Mackinaw, IL Urban Cluster (2010)",3660,1772,1888,146,16,3590,22,0,101,81563,34156,192,1434,1175,207,164200,557,661,28,1853,1820,0,25,30,560,110,1256
"52687","McKinney, TX Urbanized Area (2010)",238900,116011,122889,9179,1274,178697,26589,21986,40025,97939,40501,14523,83222,54786,24327,313700,21275,46709,1552,105952,103118,535,513,11628,38094,5190,71224
"52714","McLeansboro, IL Urban Cluster (2010)",2530,1190,1340,51,44,2484,29,0,21,47139,26731,273,1350,795,355,63000,618,185,0,976,873,53,50,73,303,41,872
"52741","McMinnville, OR Urban Cluster (2010)",41034,20307,20727,1187,460,35308,409,465,9820,56825,29398,5212,15860,9837,5174,244300,5421,4125,361,17746,15742,218,1278,801,4755,962,12235
"52768","McMinnville, TN Urban Cluster (2010)",15616,7267,8349,604,155,13851,400,132,1745,36530,22233,4445,7166,3380,2944,102600,3174,919,124,5976,5846,0,114,118,1782,507,4337
"52795","Macomb, IL Urban Cluster (2010)",18618,8645,9973,361,144,15806,1352,608,734,40019,21168,4518,8605,3478,2935,1e+05,2004,1756,592,7425,6308,157,822,173,1415,346,4886
"52822","Macon, GA Urbanized Area (2010)",133070,61531,71539,4560,1369,47707,78303,2584,3986,38182,24337,34582,62646,24912,26262,106100,22266,12384,1161,51946,49076,630,1522,1464,14817,5929,37872
"52849","Macon, MS Urban Cluster (2010)",3295,1673,1622,180,24,611,2684,0,57,20882,17215,1571,1445,627,539,58700,618,147,0,1020,995,0,0,13,465,299,659
"52876","Macon, MO Urban Cluster (2010)",4897,2285,2612,138,85,4270,229,72,125,37945,20645,671,2300,1180,770,94900,1121,528,13,1802,1679,14,90,44,534,151,1317
"52903","McPherson, KS Urban Cluster (2010)",12642,6361,6281,402,173,11916,198,142,732,57035,31353,1245,5848,3487,2001,142000,1840,1687,80,6695,6259,0,346,135,1632,275,4623
"52930","McRae, GA Urban Cluster (2010)",8423,5447,2976,247,160,3079,4441,4,1769,27985,11090,2356,2876,1083,918,66000,1996,130,52,1940,1860,1,69,0,608,276,525
"52984","Madera, CA Urbanized Area (2010)",81879,39930,41949,3558,454,51037,3029,1044,64072,49246,18922,19413,23560,11895,10263,223300,9411,3506,66,29911,27802,211,226,580,12022,2521,17165
"52147","Luverne, MN Urban Cluster (2010)",4505,2102,2403,162,49,4336,26,69,231,57198,30105,552,2064,1255,612,140200,880,568,5,2011,1943,14,37,86,727,136,1468
"53011","Madill, OK Urban Cluster (2010)",4596,2471,2125,181,36,2536,192,32,1827,42839,19505,895,1775,946,593,81700,766,191,0,1748,1671,11,19,46,669,120,995
"53038","Madison, FL Urban Cluster (2010)",3108,1607,1501,44,82,769,2298,27,49,26854,16053,868,1615,663,613,57000,864,67,0,977,952,0,4,10,249,134,572
"53065","Madison, GA Urban Cluster (2010)",4703,2295,2408,271,13,2100,2544,0,149,66439,33753,205,1951,977,804,237300,1036,393,14,1927,1779,0,32,94,597,149,1410
"53092","Madison, IN--KY Urban Cluster (2010)",18033,7876,10157,615,232,16622,598,180,757,41636,25533,2882,8234,4299,2961,117200,3797,1366,71,7283,6707,17,428,225,2024,511,5380
"53146","Madison, SD Urban Cluster (2010)",7039,3575,3464,163,137,6338,45,194,115,54178,24201,1275,2539,1388,927,121500,1297,963,60,3383,3106,11,245,177,648,70,1943
"53173","Madison, WV Urban Cluster (2010)",3743,1787,1956,121,38,3660,78,0,27,34359,24795,943,2045,1199,402,92500,1058,196,0,1103,1018,0,70,41,493,32,1245
"53200","Madison, WI Urbanized Area (2010)",438445,216697,221748,12526,4219,358309,25788,30460,30021,70600,39730,52876,193845,99800,85865,259000,40026,88926,12180,238895,197541,15465,15683,11538,48439,9558,164272
"53227","Madisonville, KY Urban Cluster (2010)",23258,11344,11914,760,180,19401,2610,239,713,43209,23163,5184,11237,5682,3822,102700,4537,1493,131,9284,8942,21,135,199,2893,1004,6868
"53254","Madisonville, TN Urban Cluster (2010)",5384,2628,2756,130,117,5018,265,0,277,49834,22599,698,2526,1435,674,139300,1130,370,0,2379,2349,0,0,31,629,106,1646
"53281","Madisonville, TX Urban Cluster (2010)",4573,1918,2655,139,62,2778,1099,255,1349,50245,22322,558,1949,966,671,84100,737,235,6,2029,2013,0,16,33,621,155,1028
"53308","Madras, OR Urban Cluster (2010)",8179,4149,4030,369,139,6042,76,90,2980,43036,20860,1585,3203,1418,1527,171700,1367,577,0,3354,3107,56,149,137,806,302,2263
"53335","Magee, MS Urban Cluster (2010)",4011,2156,1855,86,34,2052,1932,5,32,31368,17887,830,1676,756,604,92400,666,142,14,1354,1320,0,15,16,382,198,765
"53362","Magnolia, AR Urban Cluster (2010)",10483,4637,5846,415,103,5303,4814,253,274,32343,19552,2538,4630,1901,1668,92200,1807,646,129,4091,3515,12,543,36,1293,447,2244
"53372","Magnolia, TX Urban Cluster (2010)",4110,1834,2276,44,57,3495,193,21,755,71012,28018,322,1579,963,498,195900,724,374,4,1734,1689,0,37,46,561,83,1251
"53416","Mahomet, IL Urban Cluster (2010)",11363,5385,5978,372,81,10937,50,64,683,92939,38620,590,4454,3286,793,204900,1369,1937,208,5607,5531,30,17,302,1564,252,3633
"53443","Maiden, NC Urban Cluster (2010)",3866,1995,1871,246,42,3215,293,22,276,52377,23470,275,1387,994,393,114300,448,428,6,1568,1537,0,0,20,458,12,1234
"53470","Malakoff, TX Urban Cluster (2010)",3228,1709,1519,135,74,2558,630,0,463,29637,14984,1163,1425,631,481,63900,677,86,0,1111,1096,0,15,54,478,145,734
"53497","Malden, MO Urban Cluster (2010)",4353,1970,2383,164,10,3394,950,0,40,38411,18632,763,1966,1089,572,71500,972,228,12,1637,1565,20,52,55,640,268,1223
"53524","Malone, NY Urban Cluster (2010)",10416,7205,3211,239,75,7248,2212,35,1027,38981,14464,1986,2991,1234,1408,81200,1784,531,8,2167,1895,125,108,175,846,293,2092
"53551","Malvern, AR Urban Cluster (2010)",11574,6634,4940,257,83,7801,3085,85,472,33734,20243,2332,4722,2494,1656,94500,2725,671,24,3959,3716,0,231,27,890,253,2484
"53578","Malvern, OH Urban Cluster (2010)",2702,1418,1284,89,0,2671,14,0,42,46250,26573,432,1422,860,336,120700,844,212,18,1134,1109,0,25,26,316,66,899
"80065","Scottsbluff, NE Urban Cluster (2010)",25043,11786,13257,936,266,22602,276,135,6890,46877,27152,3615,11096,6324,3867,126700,4007,2651,129,11275,11002,23,156,283,3418,909,7882
"80092","Scottsboro, AL Urban Cluster (2010)",9272,4078,5194,183,166,8060,808,142,316,38427,22707,1767,4631,2367,1547,109300,2128,897,14,3537,3504,0,33,55,990,240,2874
"80119","Scottsburg, IN Urban Cluster (2010)",10815,5146,5669,402,125,10528,40,28,383,37448,20715,2002,5160,2298,1967,89200,2657,522,22,4301,4127,0,24,131,1243,211,2770
"80173","Scottsville, KY Urban Cluster (2010)",4123,1944,2179,178,63,3942,110,0,0,33456,20371,1164,2060,834,776,110000,736,234,0,1498,1403,31,64,17,410,113,1011
"80227","Scranton, PA Urbanized Area (2010)",377082,184293,192789,10429,4477,333960,17817,8622,31394,50208,28417,58035,180056,96979,59688,124700,89404,42610,3029,167362,157831,2084,5890,7309,41826,11880,122028
"80281","Sealy, TX Urban Cluster (2010)",6023,2571,3452,271,99,4026,550,0,2607,56934,23623,1338,2249,1388,757,156300,1094,506,0,2693,2546,0,74,58,825,339,1869
"80308","Searcy, AR Urban Cluster (2010)",26675,12361,14314,798,142,22170,2606,311,1829,38578,20340,4926,10895,4903,4535,134600,4136,2332,401,10206,9439,0,664,308,2901,729,7233
"80335","Seaside, OR Urban Cluster (2010)",9075,4517,4558,286,177,8583,124,116,522,49648,29272,911,6197,1876,1915,321500,1391,928,157,4200,3412,129,486,216,840,166,3111
"80362","Seaside--Monterey, CA Urbanized Area (2010)",119271,58099,61172,3916,1748,84410,5474,11565,29895,77542,41221,12631,53768,20536,24853,707300,11848,19974,2122,54255,47368,1946,3194,3929,11694,1574,39893
"80389","Seattle, WA Urbanized Area (2010)",3448995,1727879,1721116,108469,31808,2276433,221039,514720,358725,86375,46352,315099,1424864,779036,566838,446900,373497,663403,50947,1690219,1375184,195557,77784,110091,408580,66775,1219927
"80400","Sebastian--Vero Beach South--Florida Ridge, FL Urbanized Area (2010)",167143,80146,86997,3722,3064,144975,14356,2575,15784,52911,35812,18979,91268,53274,13274,183800,34506,22609,1501,57165,55141,196,533,4239,10090,1725,54483
"80416","Sebring--Avon Park, FL Urbanized Area (2010)",65648,31482,34166,1731,1172,49898,8303,1021,12462,39564,24383,12166,34239,18847,7474,95300,15177,4941,242,19447,18456,64,444,1113,4892,1452,19932
"80443","Sedalia, MO Urban Cluster (2010)",26112,12885,13227,1041,220,23368,1299,239,2683,41926,23112,4564,11917,6383,3916,98000,4955,1868,57,10807,10351,57,179,403,3068,785,7987
"80470","Sedona, AZ Urban Cluster (2010)",6918,2995,3923,27,246,6620,0,100,867,58330,40421,797,4616,2794,927,438000,938,1349,198,2062,1869,0,147,540,350,133,3279
"80497","Seguin, TX Urban Cluster (2010)",24956,11716,13240,779,204,16097,2034,283,13443,44922,22228,4648,9650,5333,3375,125900,5823,1671,47,10221,9863,0,176,209,2952,1071,6460
"80524","Selma, AL Urban Cluster (2010)",20553,9153,11400,616,229,3210,17031,201,221,27532,17504,7396,10633,3976,4532,84100,3983,1150,84,6501,6195,0,193,170,2355,1112,6020
"80551","Selma, CA Urban Cluster (2010)",44039,21294,22745,1599,257,34625,233,2074,31030,50499,21581,9115,13997,8032,5322,219600,6410,3150,106,17048,16022,78,185,564,6012,1155,10513
"80578","Selmer, TN Urban Cluster (2010)",3625,1908,1717,163,121,3296,245,39,168,32350,17587,867,1504,706,715,89200,936,122,0,1063,1033,0,30,24,447,115,1140
"80605","Seminole, OK Urban Cluster (2010)",5414,2569,2845,250,50,3570,306,46,333,33785,18221,1477,2433,1002,993,54600,919,227,6,2041,1980,5,47,46,804,249,1241
"80632","Seminole, TX Urban Cluster (2010)",7586,3832,3754,329,63,6802,332,102,3780,58068,23635,700,2557,1720,606,119400,1151,609,5,3254,3009,0,187,104,840,145,1881
"80659","Senatobia, MS Urban Cluster (2010)",6582,3157,3425,141,16,3568,2866,28,127,49929,20804,1067,2368,1121,881,132400,777,516,61,2715,2637,0,64,7,833,241,1545
"80671","Seneca, SC Urban Cluster (2010)",26804,12472,14332,745,231,21689,3551,277,2340,41606,25633,6025,13104,6511,4611,149300,4136,2721,381,10440,10131,134,97,301,2949,920,8302
"80686","Sequim, WA Urban Cluster (2010)",20119,9525,10594,263,499,18621,155,436,959,51962,33243,1979,10374,6877,2566,279700,3497,2855,193,6311,5881,47,284,465,1511,407,8002
"80695","Seven Lakes, NC Urban Cluster (2010)",3892,1844,2048,154,131,3664,228,0,0,99063,54162,228,2272,1637,128,286600,550,1079,86,1681,1681,0,0,160,393,52,1531
"80704","Severance, CO Urban Cluster (2010)",3459,1743,1716,195,0,3286,0,10,509,101204,37270,179,1178,1093,43,339800,451,661,6,1610,1575,0,19,89,564,29,1083
"75529","Robinson, IL Urban Cluster (2010)",7594,4569,3025,226,50,6194,1092,8,513,44771,21000,747,3194,1885,844,78100,1021,646,49,2533,2470,16,42,118,757,241,2104
"80713","Sevierville, TN Urban Cluster (2010)",24075,11963,12112,774,236,22319,85,101,3648,44788,24275,4406,12810,4492,4303,170000,5360,1828,90,10534,10007,74,118,710,2811,766,6546
"80740","Seville, OH Urban Cluster (2010)",7854,3881,3973,274,87,7566,30,16,221,60813,30313,691,3452,2451,647,150000,2107,893,22,3748,3622,7,102,106,929,174,2624
"80767","Seward, NE Urban Cluster (2010)",6788,3418,3370,211,41,6517,49,33,226,67888,27716,443,2628,1516,940,154900,919,843,104,3364,3069,0,266,141,830,141,2121
"80794","Seymour, IN Urban Cluster (2010)",22133,10952,11181,995,268,18786,401,748,2685,46324,24748,4112,9916,5653,3221,123600,4479,1775,45,10255,9691,29,246,147,3103,634,6723
"80848","Seymour (Outagamie County), WI Urban Cluster (2010)",3520,1547,1973,93,85,3080,19,14,98,57577,32097,230,1679,750,790,149900,770,393,14,2039,1990,25,14,109,394,94,1258
"80875","Shady Cove, OR Urban Cluster (2010)",3382,1763,1619,236,59,3272,46,0,276,39622,25228,526,1916,1222,375,NA,816,161,50,957,861,17,61,118,255,64,1131
"80902","Shady Side--Deale, MD Urban Cluster (2010)",10140,5096,5044,299,181,8786,825,234,246,100018,46936,380,4665,3399,490,337500,2036,1720,72,5235,5029,97,51,225,1267,137,3625
"80929","Shafter, CA Urban Cluster (2010)",20535,10142,10393,556,117,16696,437,93,17445,44967,15545,4690,5629,2828,2478,174500,2914,716,41,7115,6842,29,12,112,2897,530,3322
"80956","Shallowater, TX Urban Cluster (2010)",3010,1486,1524,99,10,2657,24,0,765,69808,34850,281,1213,798,288,164300,548,237,26,1380,1380,0,0,133,433,83,891
"80985","Shamokin--Mount Carmel, PA Urban Cluster (2010)",28749,14947,13802,1027,382,26497,1221,132,1301,35964,21206,5777,16258,8309,4455,56100,9701,1719,36,10504,9931,41,411,287,3195,1026,8725
"83008","Sonoma, CA Urban Cluster (2010)",33304,16097,17207,979,493,25844,242,699,9486,80556,47653,2630,15228,8650,5065,646600,3710,5693,430,14517,13472,319,425,1533,3443,437,12295
"83062","Sonora, TX Urban Cluster (2010)",3539,1882,1657,204,96,2144,1,0,2470,54444,26701,528,1644,913,387,89900,723,263,0,1436,1416,0,20,102,417,123,697
"83073","Sonora--Jamestown--Phoenix Lake, CA Urban Cluster (2010)",28180,13833,14347,640,484,25466,104,438,3245,61168,37996,3218,16067,8801,4109,273600,5026,2952,107,10922,10403,47,307,619,3042,592,10924
"83089","Soperton, GA Urban Cluster (2010)",2858,1420,1438,81,35,1402,1427,0,26,40385,24477,627,1204,519,443,73600,614,179,12,948,948,0,0,0,260,102,634
"83116","South Bend, IN--MI Urbanized Area (2010)",281491,136286,145205,9242,3041,217887,37221,6625,23997,50409,27807,42778,123196,71158,35939,121100,46413,31253,3475,126244,117877,1651,4820,5088,32501,8623,84203
"83143","South Boston, VA Urban Cluster (2010)",7349,3192,4157,227,47,2779,4257,149,198,40283,21054,1178,3703,1516,1315,123200,1523,616,22,2811,2352,0,41,34,849,427,1671
"83156","South Deerfield, MA Urban Cluster (2010)",5167,2502,2665,45,65,4598,59,237,205,59716,34693,466,2591,1309,1095,310500,691,874,210,2935,2475,405,41,164,520,164,1976
"83210","South Fallsburg, NY Urban Cluster (2010)",2773,1627,1146,142,18,1784,462,36,713,29375,17179,920,1498,216,645,191700,411,95,0,869,710,28,131,13,257,58,446
