"msa_fips","msa_name","total_commute","drive_alone","carpool","public_transit","bicycle","walk","other_means","work_at_home"
"10380","Aguadilla-Isabela, PR Metro Area",78523,73173,65207,325,292,2200,651,1882
"10420","Akron, OH Metro Area",342768,314823,290234,4467,332,5460,2105,15581
"10460","Alamogordo, NM Micro Area",25668,23423,20477,219,88,764,305,869
"10500","Albany, GA Metro Area",59476,55092,48289,592,78,943,539,2232
"10540","Albany-Lebanon, OR Metro Area",53881,48759,42726,92,348,1199,810,2673
"10580","Albany-Schenectady-Troy, NY Metro Area",443109,387074,351556,16033,1243,14765,3810,20184
"10620","Albemarle, NC Micro Area",28221,26216,23562,28,0,470,262,1245
"10660","Albert Lea, MN Micro Area",14808,13628,12277,85,120,392,133,450
"10700","Albertville, AL Micro Area",38759,37036,33601,169,1,344,188,1021
"10740","Albuquerque, NM Metro Area",414137,373474,333885,6254,3243,6858,4381,19927
"10760","Alexander City, AL Micro Area",19006,18017,16190,15,0,215,179,580
"10780","Alexandria, LA Metro Area",61254,55753,49819,997,109,1243,1737,1415
"10820","Alexandria, MN Micro Area",19113,17053,15950,89,57,312,161,1441
"10860","Alice, TX Micro Area",19970,18595,16299,3,0,522,244,606
"10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area",406612,366210,332131,6965,761,9580,4392,18704
"10940","Alma, MI Micro Area",16092,14633,13196,66,64,469,105,755
"10980","Alpena, MI Micro Area",12375,11439,10577,101,96,241,43,455
"11020","Altoona, PA Metro Area",55724,51098,46309,640,101,1600,385,1900
"11060","Altus, OK Micro Area",11375,10688,9158,3,40,199,180,265
"11100","Amarillo, TX Metro Area",125336,117555,104252,375,255,1910,1266,3975
"11140","Americus, GA Micro Area",13625,12810,11258,5,2,205,196,407
"11180","Ames, IA Metro Area",64188,52927,48047,3180,1077,3642,423,2939
"11220","Amsterdam, NY Micro Area",21234,18476,17025,160,85,879,738,896
"11260","Anchorage, AK Metro Area",196295,171242,148641,2646,2009,5227,6257,8914
"11380","Andrews, TX Micro Area",8130,7772,6407,10,0,59,180,109
"11420","Angola, IN Micro Area",17303,16012,14159,28,51,530,136,546
"11460","Ann Arbor, MI Metro Area",185365,147886,133178,9543,2881,12994,1118,10943
"11500","Anniston-Oxford, AL Metro Area",47207,44800,39831,185,0,636,387,1199
"11540","Appleton, WI Metro Area",126653,116321,108293,625,479,2699,875,5654
"11580","Arcadia, FL Micro Area",13381,11406,9186,595,45,316,79,940
"11620","Ardmore, OK Micro Area",24527,23043,20377,38,36,427,268,715
"11640","Arecibo, PR Metro Area",50091,47515,45133,164,47,966,185,1214
"11660","Arkadelphia, AR Micro Area",10449,9533,8143,82,14,466,78,276
"11700","Asheville, NC Metro Area",213127,187463,168808,929,464,4205,2092,17974
"11740","Ashland, OH Micro Area",24986,22463,20952,99,57,1126,348,893
"11780","Ashtabula, OH Micro Area",39407,36780,33316,171,31,767,631,1027
"11820","Astoria, OR Micro Area",17728,14756,12886,199,226,1444,298,805
"11860","Atchison, KS Micro Area",7667,6658,6063,1,6,551,30,421
"11900","Athens, OH Micro Area",27769,21887,19782,297,518,3922,120,1025
"11940","Athens, TN Micro Area",20802,19530,18079,57,0,280,124,811
"11980","Athens, TX Micro Area",31861,29879,26299,167,15,347,149,1304
"12940","Baton Rouge, LA Metro Area",393379,367640,333574,3332,1021,5999,3381,12006
"12980","Battle Creek, MI Metro Area",58637,53622,48332,582,195,1796,442,2000
"12020","Athens-Clarke County, GA Metro Area",97111,84098,74075,2725,866,2851,1130,5441
"12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2857053,2473116,2209681,85842,5429,37775,44734,210157
"12100","Atlantic City-Hammonton, NJ Metro Area",124793,106611,96855,6858,492,4568,2301,3963
"12120","Atmore, AL Micro Area",12649,12351,11365,39,7,74,46,132
"12140","Auburn, IN Micro Area",21207,20189,18237,4,84,190,162,578
"12180","Auburn, NY Micro Area",35549,31670,29440,267,36,1499,634,1443
"12220","Auburn-Opelika, AL Metro Area",73873,67981,61355,534,202,1595,617,2944
"12260","Augusta-Richmond County, GA-SC Metro Area",258693,240157,217496,2119,377,4012,4029,7999
