"msa_fips","msa_name","total_commute","drive_alone","carpool","public_transit","bicycle","walk","other_means","work_at_home"
"18780","Craig, CO Micro Area",6128,5506,4386,61,26,236,32,267
"18820","Crawfordsville, IN Micro Area",18228,16951,14953,105,11,566,56,539
"18860","Crescent City, CA Micro Area",8838,7884,6653,33,52,467,37,365
"18880","Crestview-Fort Walton Beach-Destin, FL Metro Area",127281,114749,102856,528,779,2184,1859,7182
"18900","Crossville, TN Micro Area",21291,19955,17496,0,12,213,221,890
"19540","Decatur, IN Micro Area",15210,13856,11298,113,28,305,180,728
"19580","Defiance, OH Micro Area",18502,17292,15872,53,10,443,149,555
"19620","Del Rio, TX Micro Area",20685,18677,16630,105,84,597,767,455
"19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",266251,235885,215544,2462,1778,3305,4201,18620
"19700","Deming, NM Micro Area",7475,6921,6139,63,0,150,98,243
"19740","Denver-Aurora-Lakewood, CO Metro Area",1557240,1298381,1171954,64826,12672,34156,16144,131061
"19760","DeRidder, LA Micro Area",14329,13614,11785,15,37,200,195,268
"19780","Des Moines-West Des Moines, IA Metro Area",356921,326380,298364,4002,794,6570,2636,16539
"19820","Detroit-Warren-Dearborn, MI Metro Area",1989169,1834440,1667223,26369,4909,27940,17712,77799
"19860","Dickinson, ND Micro Area",16276,14660,13397,203,57,461,98,797
"19940","Dixon, IL Micro Area",15229,14295,13109,56,37,192,162,487
"19980","Dodge City, KS Micro Area",16564,15958,13428,18,7,143,137,301
"19000","Cullowhee, NC Micro Area",23947,21731,19376,87,21,958,315,835
"19060","Cumberland, MD-WV Metro Area",39196,36297,32853,276,8,1392,286,937
"19100","Dallas-Fort Worth-Arlington, TX Metro Area",3631432,3279621,2928513,49460,5387,45361,41977,209626
"19140","Dalton, GA Metro Area",64372,62072,55225,54,42,483,557,1164
"19180","Danville, IL Metro Area",31036,28589,26179,219,36,652,193,1347
"19220","Danville, KY Micro Area",21607,19423,17361,88,32,742,103,1219
"19260","Danville, VA Micro Area",43258,39901,35999,475,10,660,849,1363
"19300","Daphne-Fairhope-Foley, AL Metro Area",93141,85257,78015,45,76,559,1147,6057
"19340","Davenport-Moline-Rock Island, IA-IL Metro Area",180340,166567,154342,1646,444,3542,1566,6575
"19420","Dayton, TN Micro Area",12639,11805,10705,23,0,271,127,413
"19430","Dayton-Kettering, OH Metro Area",371441,338039,307703,6571,827,9484,2629,13891
"19460","Decatur, AL Metro Area",63474,61222,56035,115,15,395,413,1314
"19500","Decatur, IL Metro Area",45703,42663,38948,620,13,770,306,1331
"20020","Dothan, AL Metro Area",60696,57828,53217,19,68,403,745,1633
"20060","Douglas, GA Micro Area",19894,18577,16692,26,0,225,822,244
"20100","Dover, DE Metro Area",80857,74095,66621,862,212,1731,648,3309
"20140","Dublin, GA Micro Area",23496,22515,19910,8,8,259,245,461
"20180","DuBois, PA Micro Area",33388,30981,27593,91,35,864,426,991
"20220","Dubuque, IA Metro Area",49887,45337,41467,501,131,1599,333,1986
"20260","Duluth, MN-WI Metro Area",139472,123436,111649,2533,659,5689,1151,6004
"20300","Dumas, TX Micro Area",9823,9329,8043,25,21,225,156,67
"20340","Duncan, OK Micro Area",17935,16629,14930,13,96,286,220,691
"20420","Durango, CO Micro Area",28818,23238,21219,262,924,1606,258,2530
"20460","Durant, OK Micro Area",19464,17909,15824,49,49,555,251,651
"20500","Durham-Chapel Hill, NC Metro Area",308416,262632,235881,10606,2126,8665,3849,20538
"20540","Dyersburg, TN Micro Area",16051,15275,14024,0,0,165,193,418
"20580","Eagle Pass, TX Micro Area",21352,20447,17419,42,125,205,88,445
"20660","Easton, MD Micro Area",17533,15327,13542,299,50,444,78,1335
"20700","East Stroudsburg, PA Metro Area",78377,69166,61277,3425,0,1238,883,3665
"20740","Eau Claire, WI Metro Area",86764,77160,70468,359,624,2537,638,5446
"20780","Edwards, CO Micro Area",33587,27236,25363,1103,316,1015,462,3455
"20820","Effingham, IL Micro Area",17053,15631,14429,79,46,518,160,619
"20900","El Campo, TX Micro Area",17687,17075,15459,20,4,145,98,345
"20940","El Centro, CA Metro Area",59343,53262,47938,555,186,1501,1132,2707
"20980","El Dorado, AR Micro Area",15422,14804,13804,76,0,262,83,197
"21020","Elizabeth City, NC Micro Area",22151,20546,18150,25,50,504,336,690
"21060","Elizabethtown-Fort Knox, KY Metro Area",68605,64157,57162,209,35,1319,797,2088
