"msa_fips","msa_name","total_commute","under_5_mins","mins_5_to_9","mins_10_to_14","mins_15_to_19","mins_20_to_24","mins_25_to_29","mins_30_to_34","mins_35_to_39","mins_40_to_44","over_60_mins"
"17660","Coeur d'Alene, ID Metro Area",67490,2373,9415,11518,13078,9821,3838,6654,1754,1996,3980
"17700","Coffeyville, KS Micro Area",13919,1282,3647,2548,1739,1755,706,986,154,227,479
"17740","Coldwater, MI Micro Area",17650,939,2945,2785,2636,2550,1230,1465,480,535,978
"17780","College Station-Bryan, TX Metro Area",114904,3693,14210,26239,30549,17115,4792,8763,1222,1670,2603
"17820","Colorado Springs, CO Metro Area",332501,8247,30309,48139,60873,63525,26853,41481,8156,8258,16558
"17860","Columbia, MO Metro Area",99408,3659,13784,22223,23004,12773,4452,7964,1831,2561,4295
"17900","Columbia, SC Metro Area",379026,19898,27497,48728,63535,63301,25696,59310,12931,12154,25928
"17980","Columbus, GA-AL Metro Area",128831,4554,11145,20088,27933,23000,9004,14820,2793,2866,7197
"18980","Cullman, AL Micro Area",33080,1596,4143,5287,4899,4413,1523,2655,616,655,3174
"18020","Columbus, IN Metro Area",37956,1209,5802,7553,8208,5626,1893,3181,833,765,1269
"18060","Columbus, MS Micro Area",24046,649,3072,4253,5633,4686,1520,1940,442,315,570
"18100","Columbus, NE Micro Area",16477,1398,4377,4743,2527,1483,420,660,240,95,166
"18140","Columbus, OH Metro Area",985373,23981,84467,127434,165456,171455,87877,142415,35155,37663,64611
"18180","Concord, NH Micro Area",73154,2714,7475,8787,10446,10069,5482,9667,2756,2890,6539
"18220","Connersville, IN Micro Area",9620,756,1501,1514,917,912,366,858,296,403,1093
"18260","Cookeville, TN Micro Area",45801,1523,4414,6819,7703,7907,1881,7480,888,823,2914
"18300","Coos Bay, OR Micro Area",22871,1719,5071,4389,4076,2428,812,2004,267,275,771
"18380","Cordele, GA Micro Area",8574,305,1271,1737,2503,722,106,677,95,86,476
"18420","Corinth, MS Micro Area",14825,463,2313,2658,2941,1793,836,1325,168,483,772
"18460","Cornelia, GA Micro Area",17846,433,1899,3277,2672,2077,1015,1927,435,418,1631
"18500","Corning, NY Micro Area",40509,2438,6640,6767,5813,5170,2520,4084,1224,1102,2210
"18580","Corpus Christi, TX Metro Area",186298,4296,19458,34565,49246,30016,9525,20403,2760,3071,6862
"18620","Corsicana, TX Micro Area",19595,883,3022,3063,3297,1959,972,1791,213,459,1380
"18660","Cortland, NY Micro Area",21576,978,3891,3920,3483,2202,986,1980,633,1003,1603
"18700","Corvallis, OR Metro Area",40594,1539,6729,9454,7848,5757,1848,2565,570,682,1654
"18740","Coshocton, OH Micro Area",15027,702,2437,2565,2018,1943,504,1194,252,940,1417
"18780","Craig, CO Micro Area",5861,423,1339,1050,507,269,48,359,101,56,717
"18820","Crawfordsville, IN Micro Area",17689,1005,3203,3053,2806,1854,704,1392,492,665,1386
"18860","Crescent City, CA Micro Area",8473,860,2258,2450,1302,492,176,458,53,64,101
"18880","Crestview-Fort Walton Beach-Destin, FL Metro Area",120099,4823,13839,18726,18003,14880,7363,15571,3411,4457,9533
"18900","Crossville, TN Micro Area",20401,788,2215,3369,4580,3214,1225,1610,362,452,1229
"19540","Decatur, IN Micro Area",14482,1109,2763,2349,2071,1308,771,1018,496,783,804
"19580","Defiance, OH Micro Area",17947,930,2939,3373,2657,2267,1443,1910,365,450,824
"19620","Del Rio, TX Micro Area",20230,1128,4837,5137,4771,2015,351,579,138,85,298
"19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",247631,4771,23217,38225,41708,35479,13205,33899,7844,8710,17972
"19700","Deming, NM Micro Area",7232,572,2213,1334,903,484,224,412,45,107,285
"19740","Denver-Aurora-Lakewood, CO Metro Area",1426179,22738,90656,150216,204871,220716,107070,243673,60251,70722,145911
"19760","DeRidder, LA Micro Area",14061,612,1734,1860,1340,1188,712,1883,722,672,1641
"19780","Des Moines-West Des Moines, IA Metro Area",340382,12174,39671,54268,65457,64310,28649,40497,7068,7756,11721
"19820","Detroit-Warren-Dearborn, MI Metro Area",1911370,33215,141150,225608,281399,291217,148986,293701,75906,97551,183567
"19860","Dickinson, ND Micro Area",15479,1031,3922,3911,2370,1205,324,1069,108,111,347
"19940","Dixon, IL Micro Area",14742,1085,2581,2640,1745,2068,893,1191,357,353,829
"19980","Dodge City, KS Micro Area",16263,1601,3924,5120,2717,1126,398,544,200,72,292
"19000","Cullowhee, NC Micro Area",23112,1201,3436,4370,4163,3717,1027,2395,448,528,751
"19060","Cumberland, MD-WV Metro Area",38259,1699,5008,6776,6577,6026,2102,3995,742,1195,1324
"19100","Dallas-Fort Worth-Arlington, TX Metro Area",3421806,57215,237709,385974,469614,496500,232528,581701,128281,164918,357693
"19140","Dalton, GA Metro Area",63208,1232,4133,8686,13650,12286,6405,8878,1615,707,3259
"19180","Danville, IL Metro Area",29689,1230,4536,6762,5610,3471,1387,2982,553,554,1501
"19220","Danville, KY Micro Area",20388,864,3069,3388,3088,2398,1491,1511,424,569,1633
"19260","Danville, VA Micro Area",41895,1218,4485,8496,8190,6521,2311,3519,1067,1155,2476
"19300","Daphne-Fairhope-Foley, AL Metro Area",87084,1725,8292,11385,12898,11732,5685,13879,2352,4114,8399
"19340","Davenport-Moline-Rock Island, IA-IL Metro Area",173765,7427,23666,31082,33843,28589,13578,16524,3637,3509,6413
"19420","Dayton, TN Micro Area",12226,566,1768,2433,1673,1526,670,888,269,309,1117
"19430","Dayton-Kettering, OH Metro Area",357550,11202,41947,57481,66476,63116,30112,39695,9321,8329,14583
"19460","Decatur, AL Metro Area",62160,1648,6963,9065,9681,8115,3943,9242,1986,2519,5965
"19500","Decatur, IL Metro Area",44372,1897,7007,10511,10857,6208,1516,2015,349,619,1862
"20020","Dothan, AL Metro Area",59063,1563,6519,8804,11356,9834,3471,9022,1203,1381,2989
"20060","Douglas, GA Micro Area",19650,339,2545,4470,3987,3313,854,1791,149,462,753
"20100","Dover, DE Metro Area",77548,2081,7490,12653,13513,10740,4435,8236,1863,2383,5946
"20140","Dublin, GA Micro Area",23035,754,2529,5636,3494,2563,893,2535,640,446,1705
"20180","DuBois, PA Micro Area",32397,1846,4889,4990,4500,3522,1631,3263,1116,1144,2714
"20220","Dubuque, IA Metro Area",47901,2526,9197,11726,10570,5874,2240,2568,476,490,824
"20260","Duluth, MN-WI Metro Area",133468,7031,21511,24071,23491,18322,7732,12833,3024,3583,5653
"20300","Dumas, TX Micro Area",9756,588,2974,1551,1530,931,326,705,72,257,454
"20340","Duncan, OK Micro Area",17244,665,3514,3786,2831,1559,459,1583,365,373,1085
"20420","Durango, CO Micro Area",26288,956,2810,4860,4816,4265,1615,3679,337,614,1249
"20460","Durant, OK Micro Area",18813,1148,3475,4373,3074,2298,886,1510,217,220,603
"20500","Durham-Chapel Hill, NC Metro Area",287878,6362,21846,40374,50589,49226,22279,39681,10195,11159,19623
"20540","Dyersburg, TN Micro Area",15633,783,2778,3368,3000,1901,379,1004,166,341,875
"20580","Eagle Pass, TX Micro Area",20907,1077,3845,4341,5087,1467,396,962,151,210,925
"20660","Easton, MD Micro Area",16198,744,2568,2288,2557,2000,954,1184,284,396,797
"20700","East Stroudsburg, PA Metro Area",74712,2018,6618,8142,9401,8126,3756,8922,1620,2260,6193
"20740","Eau Claire, WI Metro Area",81318,3137,12779,17036,17005,11143,5110,6784,1364,1218,2283
"20780","Edwards, CO Micro Area",30132,1138,4431,4825,4831,3692,1133,4833,1150,1265,1387
"20820","Effingham, IL Micro Area",16434,1524,3197,3580,2755,1891,888,948,214,218,430
"20900","El Campo, TX Micro Area",17342,1294,3665,2934,2236,1287,713,1164,252,650,1163
"20940","El Centro, CA Metro Area",56636,1717,9081,10634,9917,7853,3622,6321,810,1004,2000
"20980","El Dorado, AR Micro Area",15225,607,2258,3118,2993,2258,404,1890,225,129,802
"21020","Elizabeth City, NC Micro Area",21461,630,2852,3550,3231,1583,1231,1661,198,611,1907
"21060","Elizabethtown-Fort Knox, KY Metro Area",66517,2717,7295,11229,11258,9121,3296,6760,1970,2166,5749
"21120","Elk City, OK Micro Area",8339,820,2309,1617,860,674,229,625,176,69,341
"21140","Elkhart-Goshen, IN Metro Area",91246,3599,11989,17944,18370,13631,7102,9968,1921,1975,2678
"21180","Elkins, WV Micro Area",10790,515,2323,1773,1767,1177,329,1053,206,276,372
"21220","Elko, NV Micro Area",25797,1786,5646,4664,2347,1883,886,1372,219,388,1010
"21260","Ellensburg, WA Micro Area",20831,1528,5191,4329,2950,1906,340,1032,223,490,1112
"21300","Elmira, NY Metro Area",35928,1914,5976,7464,6580,4819,1914,2882,453,730,1496
"21340","El Paso, TX Metro Area",350466,7437,30053,49621,64592,64970,28915,54497,7631,10218,17327
"21380","Emporia, KS Micro Area",17200,1546,5366,4075,2119,1187,524,773,126,149,546
"21420","Enid, OK Metro Area",28028,1675,5771,6660,6589,2621,797,1346,339,170,705
"21460","Enterprise, AL Micro Area",21778,847,2693,3929,3284,3866,1212,2417,501,662,1325
"21500","Erie, PA Metro Area",120100,5335,16765,22326,24414,18719,8257,11759,2070,2554,3802
"21540","Escanaba, MI Micro Area",14753,1214,3077,3053,2513,1651,613,938,114,201,407
