"msa_fips","msa_name","total_commute","under_5_mins","mins_5_to_9","mins_10_to_14","mins_15_to_19","mins_20_to_24","mins_25_to_29","mins_30_to_34","mins_35_to_39","mins_40_to_44","over_60_mins"
"26300","Hot Springs, AR Metro Area",38833,1469,5465,6990,8395,6002,1549,3837,506,414,1524
"26340","Houghton, MI Micro Area",14627,1088,3538,3180,2501,1776,656,856,124,170,306
"26380","Houma-Thibodaux, LA Metro Area",85251,3731,11533,14118,14404,8549,3684,9524,2252,2339,5878
"26420","Houston-The Woodlands-Sugar Land, TX Metro Area",3096366,43920,193228,314287,408096,413714,186375,548557,114613,156359,365347
"26460","Hudson, NY Micro Area",26850,1574,3860,3183,3531,3356,1675,2594,1072,1160,2561
"26500","Huntingdon, PA Micro Area",17571,1163,2202,2019,2067,1630,950,1816,793,796,1827
"26540","Huntington, IN Micro Area",17614,842,2832,3346,2491,1860,938,2020,663,833,1138
"26580","Huntington-Ashland, WV-KY-OH Metro Area",136161,5190,15246,19637,23254,21459,10274,17132,3574,4196,8820
"26620","Huntsville, AL Metro Area",207724,3502,17815,27846,38809,39427,18291,33185,6338,5542,11644
"26660","Huntsville, TX Micro Area",24745,599,1630,2811,3130,5518,2118,2846,1080,619,2422
"26700","Huron, SD Micro Area",9397,774,2524,2500,1592,703,260,293,170,52,337
"26740","Hutchinson, KS Micro Area",27969,1416,5944,7572,4794,2576,749,1657,354,553,1055
"26780","Hutchinson, MN Micro Area",18071,1115,4021,3026,1860,1869,1008,1072,439,476,1440
"26820","Idaho Falls, ID Metro Area",60767,2543,11075,13347,11208,7688,2968,4395,545,872,2099
"26860","Indiana, PA Micro Area",35211,2103,5029,5756,5394,4273,2076,3762,852,971,1966
"26900","Indianapolis-Carmel-Anderson, IN Metro Area",950408,21466,86482,117167,143909,152420,79556,147034,40402,41805,72306
"26940","Indianola, MS Micro Area",7906,576,2014,1087,1412,813,291,736,236,101,302
"26980","Iowa City, IA Metro Area",89130,3104,11940,17833,17525,14495,5502,9635,1750,1563,3458
"27020","Iron Mountain, MI-WI Micro Area",12403,710,2724,3110,2275,1253,418,657,127,179,434
"27060","Ithaca, NY Metro Area",45537,1357,6334,8590,9676,8328,2701,4303,651,614,1494
"27100","Jackson, MI Metro Area",65601,2619,8378,12032,11199,9032,3666,5609,2058,2302,4403
"27140","Jackson, MS Metro Area",256585,5579,19758,31615,44558,45442,20610,45677,6879,7494,16439
"27160","Jackson, OH Micro Area",12873,838,1654,2074,2077,1119,569,916,664,647,945
"27180","Jackson, TN Metro Area",73922,2854,8442,13579,16124,10105,4958,7003,1466,1780,4034
"27220","Jackson, WY-ID Micro Area",18114,1739,2543,3591,2968,1985,804,1650,296,681,1176
"27260","Jacksonville, FL Metro Area",672532,10276,48625,72242,98737,111503,52424,120057,25439,29600,60698
"27300","Jacksonville, IL Micro Area",16873,1559,3333,3034,2069,1513,674,1249,265,840,1412
"27340","Jacksonville, NC Metro Area",94785,6459,14354,13544,14805,13964,6637,11565,2876,2028,4871
"27380","Jacksonville, TX Micro Area",19285,697,2931,2892,3153,2233,1050,1908,611,592,1481
"27420","Jamestown, ND Micro Area",10158,947,3310,2592,1257,514,269,435,66,152,224
"27460","Jamestown-Dunkirk-Fredonia, NY Micro Area",52751,3771,10694,11176,9158,5344,2487,4099,1073,1056,2047
"27500","Janesville-Beloit, WI Metro Area",75972,2732,11562,13161,12140,8568,4786,7089,2294,3185,6262
"27530","Jasper, AL Micro Area",23376,869,2595,3156,3211,2865,1242,2576,553,660,2572
"27540","Jasper, IN Micro Area",26915,1559,5356,4498,4775,3278,1584,2130,686,478,1341
"27580","Jayuya, PR Micro Area",3050,240,377,543,617,558,36,173,0,64,41
"27600","Jefferson, GA Micro Area",29075,595,1624,3555,3563,3893,1834,4492,1117,1334,3469
"27620","Jefferson City, MO Metro Area",69038,3221,8969,12810,12562,9299,4403,7347,2078,2045,3587
"27660","Jennings, LA Micro Area",11746,627,2040,1913,985,970,351,1570,196,374,1215
"27700","Jesup, GA Micro Area",10319,327,1388,2060,1722,1031,344,1181,213,191,848
"27740","Johnson City, TN Metro Area",84586,3428,10939,12419,15086,14087,6726,10266,2503,1825,4271
"27780","Johnstown, PA Metro Area",53800,2562,7256,8635,8666,7532,3381,4667,1554,1968,3930
"27860","Jonesboro, AR Metro Area",56457,2528,8101,12110,12470,8162,2149,4696,880,576,1524
"27900","Joplin, MO Metro Area",78442,3175,11774,14270,18247,12156,4438,7061,1380,1107,2261
"27940","Juneau, AK Micro Area",16279,743,3019,4177,3408,2537,610,1016,104,87,242
"27980","Kahului-Wailuku-Lahaina, HI Metro Area",78117,2663,12217,14202,12653,10170,3817,9541,1480,2746,5092
"10100","Aberdeen, SD Micro Area",21196,1640,5872,5719,3942,1377,655,1004,177,149,431
"10140","Aberdeen, WA Micro Area",25892,1441,4216,4099,3444,2411,1023,2486,872,879,1852
"10180","Abilene, TX Metro Area",73294,3974,12242,17423,17499,9549,2512,4992,427,700,1420
"10220","Ada, OK Micro Area",17032,902,2888,4108,3445,2309,521,1504,156,161,386
"10300","Adrian, MI Micro Area",42215,2201,5779,5780,4557,4699,2644,4155,1313,1863,4756
"10380","Aguadilla-Isabela, PR Metro Area",76641,3305,9585,10307,13211,9624,5376,7178,3521,2535,4895
"10420","Akron, OH Metro Area",327187,8610,33761,48098,53996,51069,27844,39748,12778,13223,22939
"10460","Alamogordo, NM Micro Area",24799,1289,5219,5056,4273,3248,1018,1924,162,342,1060
"10500","Albany, GA Metro Area",57244,1769,6581,12028,12256,8723,2950,5997,859,1083,2588
"10540","Albany-Lebanon, OR Metro Area",51208,2671,8173,8231,6320,6210,3986,6171,1328,1747,3538
"10580","Albany-Schenectady-Troy, NY Metro Area",422925,12212,40297,59867,74980,71911,34490,56909,13018,14954,26647
"10620","Albemarle, NC Micro Area",26976,977,4013,3799,3568,2898,1161,2627,786,958,3081
"10660","Albert Lea, MN Micro Area",14358,940,2991,2977,2191,1769,724,1023,258,271,438
"10700","Albertville, AL Micro Area",37738,2269,5345,6901,5645,4144,1100,3462,829,1138,3655
"10740","Albuquerque, NM Metro Area",394210,8404,34109,52433,72267,73451,29896,57616,10786,12532,22328
"10760","Alexander City, AL Micro Area",18426,577,2171,2619,2823,2088,990,2064,599,502,1769
"10780","Alexandria, LA Metro Area",59839,2901,7158,10633,11078,9648,3392,6539,1058,1265,2453
"10820","Alexandria, MN Micro Area",17672,969,3653,3721,3198,2318,1103,1209,227,184,343
"10860","Alice, TX Micro Area",19364,895,3950,2334,3265,604,332,3017,70,290,1203
"10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area",387908,11111,36893,49332,57541,61825,27862,46981,10151,13173,28837
"10940","Alma, MI Micro Area",15337,975,2575,2582,1560,2062,921,1377,451,486,1060
"10980","Alpena, MI Micro Area",11920,600,2975,2571,2001,1383,704,800,84,186,306
"11020","Altoona, PA Metro Area",53824,2837,8404,10930,9864,7017,3106,4561,1269,971,2406
"11060","Altus, OK Micro Area",11110,749,3118,3282,1887,694,173,373,78,85,214
"11100","Amarillo, TX Metro Area",121361,5011,15486,22757,32109,19836,4770,9793,1649,1452,3320
"11140","Americus, GA Micro Area",13218,468,2380,2647,2688,1589,651,1093,141,267,575
"11180","Ames, IA Metro Area",61249,3464,10219,13546,11661,7343,2882,3912,1260,1527,3442
"11220","Amsterdam, NY Micro Area",20338,992,3131,2959,2308,2040,1341,2131,713,1173,2155
"11260","Anchorage, AK Metro Area",187381,5981,23352,35648,41172,32617,8157,15130,2088,2948,8074
"11380","Andrews, TX Micro Area",8021,832,2518,1463,430,96,132,515,149,277,673
"11420","Angola, IN Micro Area",16757,1185,2806,3125,2570,1799,952,1318,402,541,1016
"11460","Ann Arbor, MI Metro Area",174422,3748,14684,25908,31051,30443,12344,21078,5270,7231,13224
"11500","Anniston-Oxford, AL Metro Area",46008,1644,4527,6587,7898,7306,2991,6465,1042,1118,2772
"11540","Appleton, WI Metro Area",120999,4146,16627,21770,23612,20710,8972,11874,3427,2930,3463
"11580","Arcadia, FL Micro Area",12441,118,1253,1541,1973,2649,338,1704,227,383,1113
"11620","Ardmore, OK Micro Area",23812,1085,4399,4908,3955,2899,1193,2482,464,389,873
"11640","Arecibo, PR Metro Area",48877,793,2444,5306,6832,11679,4328,6293,1323,2310,2863
"11660","Arkadelphia, AR Micro Area",10173,365,2444,2268,1353,791,373,708,189,163,633
"11700","Asheville, NC Metro Area",195153,5314,17955,31273,41322,38414,13643,22231,5291,4944,8388
"11740","Ashland, OH Micro Area",24093,1799,3902,3496,2956,2856,1888,2786,754,665,1348
"11780","Ashtabula, OH Micro Area",38380,2263,5812,5380,4974,4776,2331,3357,979,1672,3658
"11820","Astoria, OR Micro Area",16923,1482,3306,3145,2652,2159,617,1284,244,357,744
"11860","Atchison, KS Micro Area",7246,868,1909,1285,740,512,210,359,108,217,340
"11900","Athens, OH Micro Area",26744,1332,4820,5300,4822,3641,1687,1723,308,316,1034
"11940","Athens, TN Micro Area",19991,903,2547,3679,2915,2771,1406,2330,547,602,1045
"11980","Athens, TX Micro Area",30557,1082,3916,3818,3551,3424,1416,3732,788,501,2716
"12940","Baton Rouge, LA Metro Area",381373,7877,29611,44912,60597,60942,23136,59985,11983,13711,35143
"12980","Battle Creek, MI Metro Area",56637,2008,7848,11902,10102,8614,3140,5398,1199,1682,2306
"12020","Athens-Clarke County, GA Metro Area",91670,2601,10335,18290,19397,14670,4991,8286,1966,1612,4332
"12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2646896,36491,149191,253889,330624,353814,164194,421289,102800,134138,324295
"12100","Atlantic City-Hammonton, NJ Metro Area",120830,3361,12581,17673,22231,19608,9546,13062,2415,3753,6624
"12120","Atmore, AL Micro Area",12517,466,1651,2936,2308,1456,259,1170,200,369,689
"12140","Auburn, IN Micro Area",20629,1443,3526,3381,3375,2700,1549,1861,647,574,803
"12180","Auburn, NY Micro Area",34106,2113,4526,5428,5257,3907,1820,3757,1049,1585,2781
"12220","Auburn-Opelika, AL Metro Area",70929,1196,8091,12960,13390,10857,4148,8741,1467,1526,5154
"12260","Augusta-Richmond County, GA-SC Metro Area",250694,6063,18320,35633,46639,42022,18813,37568,7652,7177,16886
"12300","Augusta-Waterville, ME Micro Area",55543,2878,7490,7876,8275,7306,4160,6648,1963,1729,3687
"12380","Austin, MN Micro Area",18215,1275,5440,3966,1555,1239,737,1226,395,440,1252
"12420","Austin-Round Rock-Georgetown, TX Metro Area",1016902,20171,77326,116478,158693,152553,73888,156097,34488,44355,101742
"12460","Bainbridge, GA Micro Area",10040,238,1057,2059,1818,1275,847,990,307,121,575
"12540","Bakersfield, CA Metro Area",325983,6590,31595,55322,69703,56398,22201,35205,4577,8298,15300
"12580","Baltimore-Columbia-Towson, MD Metro Area",1331638,19226,80809,128697,173070,184788,91357,210977,53356,68308,150371
"12620","Bangor, ME Metro Area",68049,2996,9242,11276,12536,9982,4041,7188,1452,1716,3693
"12660","Baraboo, WI Micro Area",32204,2444,6453,5128,3804,3428,2183,2312,1109,941,2170
"12680","Bardstown, KY Micro Area",20325,679,3240,2958,2687,1885,954,1717,589,893,2606
"12700","Barnstable Town, MA Metro Area",96225,3349,13229,17401,17875,12946,5341,9838,1663,2122,4184
"12740","Barre, VT Micro Area",28209,1390,3573,4624,4246,3644,1772,3329,688,867,2519
"12780","Bartlesville, OK Micro Area",21199,953,4239,4741,4260,1940,678,1385,149,413,1344
"12860","Batavia, NY Micro Area",28073,1755,4467,4141,3832,3195,1637,2694,1219,1349,2376
"12900","Batesville, AR Micro Area",20843,1406,3744,4266,3496,2425,987,1917,276,529,869
"13020","Bay City, MI Metro Area",44378,1603,5606,7044,7639,7580,3653,4916,1131,983,1905
"13060","Bay City, TX Micro Area",15007,1249,2515,2356,2029,1660,955,1296,253,331,1140
"13100","Beatrice, NE Micro Area",10128,957,1900,2165,1102,763,454,822,293,351,829
"13140","Beaumont-Port Arthur, TX Metro Area",162223,4919,17709,25859,28655,31032,8355,22564,2937,3898,7126
"13180","Beaver Dam, WI Micro Area",42808,2223,7124,6277,5260,5112,2831,4733,1397,1680,3319
"13220","Beckley, WV Metro Area",41360,1785,5045,6629,6103,5555,2378,4488,990,1110,2559
"13260","Bedford, IN Micro Area",20041,1265,2717,2920,3028,2148,969,1943,1122,814,1869
"13300","Beeville, TX Micro Area",9636,637,2439,1920,999,604,401,755,278,251,541
"13340","Bellefontaine, OH Micro Area",20105,1283,2911,2709,3040,3195,1532,1978,528,567,1159
"13380","Bellingham, WA Metro Area",98333,3959,13652,17770,18322,14164,6709,10636,2080,2215,3890
"13420","Bemidji, MN Micro Area",19242,991,3382,4725,3237,2184,790,1691,202,452,560
"13460","Bend, OR Metro Area",79172,3181,11861,18020,15888,9735,3882,8971,1125,1911,2518
"13500","Bennettsville, SC Micro Area",8806,215,1093,1357,1600,1204,561,1101,310,194,475
"13540","Bennington, VT Micro Area",15560,1132,3129,2915,2598,1645,766,1128,337,236,731
"13620","Berlin, NH Micro Area",12940,1051,2577,2277,1967,1495,560,736,143,428,848
"13660","Big Rapids, MI Micro Area",17033,837,3540,2926,2182,1897,891,1423,316,453,1022
"13700","Big Spring, TX Micro Area",13845,928,2943,3871,2367,930,169,520,159,175,908
"36780","Oshkosh-Neenah, WI Metro Area",83543,3274,13546,18270,17298,11780,5091,6806,1422,1534,2012
"36820","Oskaloosa, IA Micro Area",10380,771,2494,1482,1620,1291,470,893,301,131,433
"36830","Othello, WA Micro Area",6978,634,1297,1488,1166,545,189,704,149,126,282
"36837","Ottawa, IL Micro Area",66837,4330,12498,10952,8263,7536,4642,5897,1733,2052,3331
"36840","Ottawa, KS Micro Area",12100,725,2035,1740,1451,872,706,1640,390,479,1142
"36900","Ottumwa, IA Micro Area",15490,969,3333,4098,2340,1154,761,1227,189,200,466
"36940","Owatonna, MN Micro Area",17858,1192,4729,4214,2232,1494,630,1113,275,330,739
"36980","Owensboro, KY Metro Area",51298,2478,7887,11477,9942,5892,2034,3796,1167,1490,2296
"36020","Oak Harbor, WA Micro Area",34533,1679,4090,6706,6294,2760,1040,2961,770,786,2442
"36100","Ocala, FL Metro Area",115545,2451,8715,14299,19441,19783,10649,16798,4619,2955,8081
"36140","Ocean City, NJ Metro Area",40117,2304,6193,6377,7296,5347,2661,3267,807,1170,1540
"36220","Odessa, TX Metro Area",71851,2235,8343,13338,14418,11787,2817,8700,500,1031,2497
"36260","Ogden-Clearfield, UT Metro Area",296509,8818,33618,46262,54348,46142,20851,32700,9043,9499,18229
"36300","Ogdensburg-Massena, NY Micro Area",40633,3013,8563,6475,5072,4577,2498,3432,1275,1382,2306
"36340","Oil City, PA Micro Area",21661,1272,3231,3486,3291,3263,1267,2061,478,584,1169
"36380","Okeechobee, FL Micro Area",14791,460,2203,2934,3000,1688,380,1337,158,260,611
"36420","Oklahoma City, OK Metro Area",634602,15585,62741,91963,111419,113602,49614,92775,17988,18205,35858
"36460","Olean, NY Micro Area",31782,2255,5956,5473,4110,3591,1758,2657,585,847,2173
"36500","Olympia-Lacey-Tumwater, WA Metro Area",122607,2101,11814,17016,22618,18488,8617,14886,3280,4466,7614
"36540","Omaha-Council Bluffs, NE-IA Metro Area",461632,13797,50346,76892,91011,88961,38166,54025,9615,9277,17181
"37060","Oxford, MS Micro Area",23748,1088,4860,5677,4991,2174,596,1583,213,298,602
"37100","Oxnard-Thousand Oaks-Ventura, CA Metro Area",383438,8071,33457,49693,52615,48105,57809,49739,9488,13774,26025
"37120","Ozark, AL Micro Area",19744,763,2499,3478,3956,2876,974,2505,375,501,957
"37140","Paducah, KY-IL Micro Area",39875,1442,5624,9343,8040,6001,1924,3132,704,469,1758
"37220","Pahrump, NV Micro Area",13905,905,2419,2630,2806,1160,611,217,131,128,414
"37260","Palatka, FL Micro Area",24366,527,2379,3792,2662,2074,1371,2708,826,846,3183
"37300","Palestine, TX Micro Area",18294,716,2865,3637,2545,2402,1046,1834,724,208,957
"37340","Palm Bay-Melbourne-Titusville, FL Metro Area",233536,4787,19687,31254,41473,40200,17449,34121,6643,8280,15241
"37420","Pampa, TX Micro Area",9148,1149,2601,1842,1066,380,179,439,126,118,478
"37460","Panama City, FL Metro Area",80720,1876,8984,11622,14601,12545,4668,12960,1638,2257,4561
"37500","Paragould, AR Micro Area",17721,687,3103,3357,2359,2297,898,2184,597,535,1038
"37540","Paris, TN Micro Area",11994,616,2162,2376,2140,1653,536,994,108,220,479
"37580","Paris, TX Micro Area",20606,804,3925,4874,3862,2860,797,1451,79,190,475
"37620","Parkersburg-Vienna, WV Metro Area",36027,1492,4208,6633,7290,6030,2156,3944,462,705,1452
"37660","Parsons, KS Micro Area",9063,841,3011,1769,911,800,319,503,144,204,336
"37740","Payson, AZ Micro Area",17268,1658,4070,3639,2225,1539,566,1196,277,111,433
"37770","Pearsall, TX Micro Area",6214,582,1949,933,752,713,131,321,14,62,268
"37780","Pecos, TX Micro Area",5655,439,2360,857,486,273,19,226,0,36,298
"37800","Pella, IA Micro Area",15788,1542,4188,2586,1496,1380,764,843,350,366,1394
"37860","Pensacola-Ferry Pass-Brent, FL Metro Area",203541,4243,17280,25126,38577,35552,15399,28088,5806,6794,15626
"37900","Peoria, IL Metro Area",176704,8774,24139,30126,31314,29024,12689,17770,3996,4915,7755
"37940","Peru, IN Micro Area",14716,686,1808,2154,2150,2331,1367,1920,236,263,703
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2793001,56413,201676,305374,352666,376164,189433,418489,104619,148442,308737
"38060","Phoenix-Mesa-Chandler, AZ Metro Area",2042299,40146,161535,237820,297377,322221,160787,316040,72247,95576,183900
"38100","Picayune, MS Micro Area",20379,585,2162,2257,2739,1646,1075,2216,740,475,2217
"38180","Pierre, SD Micro Area",10554,825,3813,2995,1659,461,79,262,28,37,226
"38220","Pine Bluff, AR Metro Area",30907,930,3267,5569,7587,3922,1634,2814,619,818,1974
"38240","Pinehurst-Southern Pines, NC Micro Area",39252,1319,4263,6151,7338,4325,2457,3843,1099,1790,4050
"38260","Pittsburg, KS Micro Area",17917,1159,5005,4118,2188,1633,522,1273,456,317,787
"38300","Pittsburgh, PA Metro Area",1081822,29805,98304,135466,152460,149295,77511,151950,42196,52396,103245
"38340","Pittsfield, MA Metro Area",59033,3001,10765,12439,9330,7155,3094,5009,1163,1611,2718
"38380","Plainview, TX Micro Area",13467,860,3968,3426,1617,689,327,880,130,131,659
"38420","Platteville, WI Micro Area",23881,2267,4944,3317,2506,2624,1735,2578,686,714,1346
"38460","Plattsburgh, NY Micro Area",33978,2028,5882,6978,5912,4166,1955,3112,506,486,1145
"38500","Plymouth, IN Micro Area",20031,1016,3357,3470,2896,2070,1126,1846,481,832,1752
"38540","Pocatello, ID Metro Area",38114,2716,7739,10377,7230,2666,1045,2005,561,510,1241
"38580","Point Pleasant, WV-OH Micro Area",20994,1004,2017,2243,3603,2882,1166,2589,586,720,1656
"38620","Ponca City, OK Micro Area",17916,1721,4462,3960,2198,1760,696,1349,174,293,447
"38660","Ponce, PR Metro Area",60046,1171,4322,8071,12565,10353,3147,9465,963,2150,2825
"38700","Pontiac, IL Micro Area",15123,1567,3146,2609,1633,1340,748,1278,282,600,1035
"38740","Poplar Bluff, MO Micro Area",21209,1128,3775,4619,3748,2557,1046,1814,321,374,851
"38780","Portales, NM Micro Area",7847,932,1985,1442,511,928,447,1049,137,65,156
"38820","Port Angeles, WA Micro Area",26474,2259,5184,5055,3521,2582,1138,3007,358,353,963
"38860","Portland-South Portland, ME Metro Area",266179,8258,27140,38238,41662,38903,20246,33986,9923,11337,20869
"38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area",1142699,24199,92253,137293,170591,172369,85577,169875,40122,54038,106146
"38920","Port Lavaca, TX Micro Area",9080,549,1562,1277,2072,1367,502,960,209,85,147
"38940","Port St. Lucie, FL Metro Area",183701,3556,13813,24377,32105,27893,9714,26829,5248,7453,17278
"39020","Portsmouth, OH Micro Area",26556,1538,3288,3348,4209,3638,2066,3233,789,939,1520
"39060","Pottsville, PA Micro Area",59774,2821,6920,7670,9034,8654,3975,5871,1656,2011,5244
"39100","Poughkeepsie-Newburgh-Middletown, NY Metro Area",300339,9122,28355,39421,38210,33446,16440,33338,8061,12316,26729
"39150","Prescott Valley-Prescott, AZ Metro Area",79167,4176,11544,12469,12691,11012,4996,9574,1719,1526,3730
"39220","Price, UT Micro Area",8051,972,2220,1862,1094,372,139,354,143,73,295
"39260","Prineville, OR Micro Area",8397,415,1497,1027,748,742,564,771,376,306,1293
"39300","Providence-Warwick, RI-MA Metro Area",770860,18964,72630,111321,119369,115387,53636,95853,24650,30337,58648
"39340","Provo-Orem, UT Metro Area",261255,10514,36589,44376,47821,35915,16613,26162,6735,7586,14598
"39380","Pueblo, CO Metro Area",65553,1858,8598,13672,13623,9327,2711,5097,1002,1516,3900
"39420","Pullman, WA Micro Area",21241,1918,4368,5119,3382,2324,923,1479,243,285,663
"39460","Punta Gorda, FL Metro Area",55193,1109,6174,9137,10668,7395,3386,5433,1402,1789,4671
"39500","Quincy, IL-MO Micro Area",34626,1730,6564,8207,6482,3669,1214,3102,699,696,1250
"39540","Racine, WI Metro Area",90007,3075,11785,13040,14022,11116,5741,10215,3417,4499,8092
"39580","Raleigh-Cary, NC Metro Area",619867,10873,44581,73632,97067,99465,51643,94615,24778,28466,53640
"39660","Rapid City, SD Metro Area",65838,2475,10139,12905,15486,11585,3430,4497,625,948,1903
"39700","Raymondville, TX Micro Area",7312,368,1565,1270,900,580,442,1035,282,85,448
"39740","Reading, PA Metro Area",192850,5831,18918,27342,33971,28742,15330,21280,5428,6918,13757
"39780","Red Bluff, CA Micro Area",22857,1026,4312,3564,2975,2654,1300,3164,842,511,1146
"39820","Redding, CA Metro Area",68073,2599,9926,14616,17276,9447,2691,4423,1089,700,1460
"39860","Red Wing, MN Micro Area",22541,1816,3672,3290,2291,2229,1374,2299,560,850,2253
"39900","Reno, NV Metro Area",219020,4971,21579,36678,45785,39786,14913,26318,4875,5223,9126
"39940","Rexburg, ID Micro Area",21956,2027,6074,4955,2783,1482,622,1858,263,321,695
"39980","Richmond, IN Micro Area",28445,1663,5048,6066,5434,3175,1195,1693,531,502,1122
"40420","Rockford, IL Metro Area",149856,4000,17588,25045,28916,24719,10168,15841,2862,3295,6462
"40460","Rockingham, NC Micro Area",17184,530,2172,3144,3299,1886,940,1951,415,722,981
"40530","Rockport, TX Micro Area",8661,595,1800,1970,1170,486,340,384,415,182,867
"40540","Rock Springs, WY Micro Area",20717,1391,4993,4519,2909,1945,563,1162,387,768,838
"40580","Rocky Mount, NC Metro Area",60944,2101,6223,11273,11986,8484,3617,6950,1515,1555,3299
"40620","Rolla, MO Micro Area",18173,909,3463,4462,3300,1693,639,1685,230,365,607
"40660","Rome, GA Metro Area",39274,1028,3422,6997,9363,5460,1761,4701,517,1079,2606
"40700","Roseburg, OR Micro Area",39823,2355,7735,7753,7320,5188,1683,3495,505,765,1222
"40740","Roswell, NM Micro Area",26040,1626,5256,6433,4844,2717,534,1712,255,321,1006
"40760","Ruidoso, NM Micro Area",6736,421,1195,2061,1013,572,207,615,34,50,283
"40780","Russellville, AR Micro Area",33877,2164,5693,5932,6429,4819,1765,2829,685,701,1126
"40820","Ruston, LA Micro Area",19907,1239,4138,4537,3691,1682,307,1917,273,475,673
"40860","Rutland, VT Micro Area",27795,1255,3406,5076,5361,3211,2076,2697,1180,523,1503
"40900","Sacramento-Roseville-Folsom, CA Metro Area",971876,18341,78097,128887,145665,148903,68246,151966,31740,39434,79050
"40940","Safford, AZ Micro Area",12328,829,2955,2448,1871,1095,330,419,21,148,779
"40980","Saginaw, MI Metro Area",78733,2812,10271,13871,14902,11664,5596,7918,2246,2081,3333
"40060","Richmond, VA Metro Area",599908,10232,42150,75571,99152,110570,54081,94635,22862,21688,38093
"40080","Richmond-Berea, KY Micro Area",44606,1919,6377,7868,6239,4079,2191,5000,1745,2020,4102
"40100","Rio Grande City-Roma, TX Micro Area",19631,1034,3247,3602,3605,2217,671,2085,116,197,615
"40140","Riverside-San Bernardino-Ontario, CA Metro Area",1813054,32638,137223,222757,251913,243672,93534,240773,45289,71940,154490
"40180","Riverton, WY Micro Area",15885,1595,4091,3376,2463,1147,443,1055,175,259,404
"40220","Roanoke, VA Metro Area",139108,2669,11449,16111,27629,20328,7747,31546,2722,3465,8270
"40260","Roanoke Rapids, NC Micro Area",24951,1384,3269,4975,3205,2321,981,3872,726,849,1509
"40300","Rochelle, IL Micro Area",23382,1539,3140,2665,2382,2787,2107,3099,879,1240,1856
"40340","Rochester, MN Metro Area",108423,4965,15536,22922,22222,14033,5911,9231,2596,2034,4280
"40380","Rochester, NY Metro Area",491511,16918,56514,78518,87325,86378,42541,56035,13889,13109,21871
"41060","St. Cloud, MN Metro Area",99957,5503,15797,18507,18593,12996,5515,8835,1821,2080,3894
"41100","St. George, UT Metro Area",61407,3065,10410,15375,11464,9159,3370,4297,804,804,1210
"41140","St. Joseph, MO-KS Metro Area",55228,2397,10126,11948,12617,6309,2147,3633,522,598,2119
"41180","St. Louis, MO-IL Metro Area",1312830,28247,111748,156885,195942,213571,102858,202699,52189,61471,109115
"41220","St. Marys, GA Micro Area",24583,483,3478,4711,3784,3144,1197,2573,568,858,2470
"41260","St. Marys, PA Micro Area",14764,1074,3368,2570,1943,2164,884,1042,202,284,669
"41400","Salem, OH Micro Area",42853,2320,5956,6103,5642,5013,2421,4726,1731,2039,3452
"41420","Salem, OR Metro Area",177030,5022,19180,27268,30508,27205,10647,21565,3846,5091,12850
"41460","Salina, KS Micro Area",29020,2085,7231,8742,4533,2192,771,1679,300,210,514
"41500","Salinas, CA Metro Area",181058,3074,14631,25092,41524,37572,11344,18377,3932,6506,8803
"41540","Salisbury, MD-DE Metro Area",167948,5922,20048,25465,26946,23646,9931,22089,5109,5763,11114
"41620","Salt Lake City, UT Metro Area",575645,11917,48749,84120,108186,110601,44833,80626,14661,17590,32297
"41660","San Angelo, TX Metro Area",55874,2713,10796,13715,14693,5995,1356,2087,382,199,757
"41700","San Antonio-New Braunfels, TX Metro Area",1087801,17632,79809,131151,174543,184004,80490,175295,34024,43036,92398
"41740","San Diego-Chula Vista-Carlsbad, CA Metro Area",1514012,19874,104980,188845,248752,258130,109774,243834,47826,64819,115970
"41760","Sandpoint, ID Micro Area",16056,828,2586,2389,2171,1714,617,2079,463,580,1126
"41780","Sandusky, OH Micro Area",34446,1410,5583,6574,6972,4254,1932,3233,657,592,1314
"41820","Sanford, NC Micro Area",25654,516,2795,4637,4511,2951,988,2540,809,1006,2682
"41860","San Francisco-Oakland-Berkeley, CA Metro Area",2215329,26710,114912,215745,271630,266810,117748,327783,74993,122478,276367
"41900","San Germán, PR Metro Area",30080,833,1408,5288,5022,4756,1780,5090,522,1562,1755
"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",945662,10896,51751,98977,137774,150092,63945,162758,27752,47288,90567
"41980","San Juan-Bayamón-Caguas, PR Metro Area",669675,11255,35572,66353,92995,93345,32731,118894,16549,35633,67246
"42380","Sayre, PA Micro Area",24954,1593,3834,3561,3089,3212,1784,3145,755,830,1649
"42420","Scottsbluff, NE Micro Area",16922,1413,4763,4048,3187,1358,479,553,135,139,466
"42460","Scottsboro, AL Micro Area",19414,729,2235,2803,2666,2101,1122,2437,483,779,2413
"42500","Scottsburg, IN Micro Area",9802,285,1611,1313,1553,674,589,1136,611,528,948
"42540","Scranton--Wilkes-Barre, PA Metro Area",248517,8548,30247,43802,45548,38944,16259,26186,5634,7280,12383
"42620","Searcy, AR Micro Area",31192,1751,4298,6119,4982,2925,1162,2584,629,1172,2447
