"tract_fips","tract_area_m2","n_cbg","msa","tract_area_km2"
"13089021202",7382041.05977803,3,"Atlanta",7.38204105977803
"13089021204",4683327.36549453,3,"Atlanta",4.68332736549453
"13089021208",3572408.93932452,2,"Atlanta",3.57240893932452
"13089021908",3456240.00768174,2,"Atlanta",3.45624000768174
"13089021909",3460702.93480869,4,"Atlanta",3.46070293480869
"13089022001",4420447.89150557,2,"Atlanta",4.42044789150557
"13217100501",19141173.6227999,3,"Atlanta",19.1411736227999
"13089023306",12350390.916876,3,"Atlanta",12.350390916876
"13117130105",10462727.7026579,1,"Atlanta",10.4627277026579
"13063040306",4380978.40999264,2,"Atlanta",4.38097840999264
"13135050521",5575788.74942426,4,"Atlanta",5.57578874942426
"13135050522",4656416.26606389,2,"Atlanta",4.65641626606389
"13135050709",20359101.6665301,3,"Atlanta",20.3591016665301
"13135050712",8375271.40730386,4,"Atlanta",8.37527140730386
"13135050714",8227461.71912136,2,"Atlanta",8.22746171912136
"13135050719",5922034.45422614,2,"Atlanta",5.92203445422614
"13135050543",6709918.47995037,2,"Atlanta",6.70991847995037
"13135050314",5305316.86011507,4,"Atlanta",5.30531686011507
"13135050418",2069521.29477241,3,"Atlanta",2.06952129477241
"13135050715",7084514.52094095,3,"Atlanta",7.08451452094095
"13135050725",4960974.3156631,3,"Atlanta",4.9609743156631
"13135050729",2708399.81380508,2,"Atlanta",2.70839981380508
"13135050545",13479128.2057949,3,"Atlanta",13.4791282057949
"13135050720",10636596.4667522,4,"Atlanta",10.6365964667522
"13135050310",7401049.25163321,3,"Atlanta",7.40104925163322
"13135050309",12445704.6722894,4,"Atlanta",12.4457046722894
"13135050306",10151974.7317632,2,"Atlanta",10.1519747317632
"13135050322",5202169.39270499,3,"Atlanta",5.20216939270499
"13135050422",2508530.12386616,3,"Atlanta",2.50853012386616
"13135050721",11671580.792122,4,"Atlanta",11.671580792122
"13135050103",21898827.3594965,3,"Atlanta",21.8988273594965
"13135050313",7879362.32092336,6,"Atlanta",7.87936232092336
"13135050610",33073226.095434,4,"Atlanta",33.073226095434
"13135050728",29778225.9761375,4,"Atlanta",29.7782259761375
"13135050608",86302284.9302497,3,"Atlanta",86.3022849302497
"13135050435",4254178.78354878,2,"Atlanta",4.25417878354877
"13135050415",8565868.69138141,3,"Atlanta",8.56586869138141
"13135050105",14545394.1981241,3,"Atlanta",14.5453941981241
"13135050106",24090423.5816969,4,"Atlanta",24.0904235816969
"13135050217",12979298.8100567,2,"Atlanta",12.9792988100567
"13135050417",2638412.03821378,3,"Atlanta",2.63841203821378
"13135050531",7461652.83008252,3,"Atlanta",7.46165283008252
"13135050436",5596688.7203975,5,"Atlanta",5.5966887203975
"13135050724",26296616.2133304,3,"Atlanta",26.2966162133304
"13135050536",7662959.44572711,3,"Atlanta",7.66295944572711
"13135050539",2335285.75185641,2,"Atlanta",2.33528575185641
"13135050524",3437840.60464227,2,"Atlanta",3.43784060464227
"13135050520",5594323.51335768,3,"Atlanta",5.59432351335768
"13097080505",9915125.79041415,2,"Atlanta",9.91512579041415
"13097080604",27982540.6479641,4,"Atlanta",27.9825406479641
"13217100100",124705586.570354,4,"Atlanta",124.705586570354
"13217100300",34890804.4953535,4,"Atlanta",34.8908044953535
"13045910104",44914494.5489427,4,"Atlanta",44.9144945489427
"13077170200",38842168.9378735,4,"Atlanta",38.8421689378735
"13135050533",6554361.99646014,3,"Atlanta",6.55436199646014
"13135050534",4546234.29380531,3,"Atlanta",4.54623429380531
"13135050220",4573892.11306607,3,"Atlanta",4.57389211306607
"13135050211",3449824.95453618,3,"Atlanta",3.44982495453618
"13135050304",7614769.15453552,3,"Atlanta",7.61476915453552
"13135050210",12831056.6244979,2,"Atlanta",12.8310566244979
"13135050606",38891969.1172181,3,"Atlanta",38.8919691172181
"13135050208",7172139.51944326,2,"Atlanta",7.17213951944326
"13135050530",3551545.18078974,3,"Atlanta",3.55154518078974
"13135050431",5452350.30983029,3,"Atlanta",5.45235030983029
"13121001500",1151510.52093738,4,"Atlanta",1.15151052093738
"13121003100",876090.775838375,2,"Atlanta",0.876090775838375
"13121011611",14208412.0252396,3,"Atlanta",14.2084120252396
"13121010118",1971063.80105736,3,"Atlanta",1.97106380105736
"13121010122",3218321.96226319,3,"Atlanta",3.21832196226319
"13121010119",2157580.41662974,3,"Atlanta",2.15758041662974
"13121010208",6161940.25866255,3,"Atlanta",6.16194025866255
"13121010209",3904626.00035514,3,"Atlanta",3.90462600035514
"13121010604",4742795.25856566,3,"Atlanta",4.74279525856566
"13121010507",6947508.96875444,4,"Atlanta",6.94750896875444
"13121007703",4533276.88721592,3,"Atlanta",4.53327688721592
"13121008102",7235594.65158039,4,"Atlanta",7.23559465158039
"13121008602",4610477.50022721,2,"Atlanta",4.61047750022721
"13121008302",1891120.69443262,2,"Atlanta",1.89112069443262
"13121008800",9795922.57819293,2,"Atlanta",9.79592257819293
"13121008903",1160012.5109433,1,"Atlanta",1.1600125109433
"13121009404",2070475.85730584,3,"Atlanta",2.07047585730584
"13135050216",13955247.9506614,3,"Atlanta",13.9552479506614
"13135050320",3725665.89469213,3,"Atlanta",3.72566589469213
"13135050317",1303288.78452313,3,"Atlanta",1.30328878452313
"13135050311",4932935.26602095,2,"Atlanta",4.93293526602095
"13135050544",10043179.2552594,3,"Atlanta",10.0431792552594
"13135050727",16830126.4537321,3,"Atlanta",16.8301264537321
"13135050546",20789493.3800193,3,"Atlanta",20.7894933800193
"13135050538",5114723.36727758,3,"Atlanta",5.11472336727758
"13135050731",15928738.6807848,2,"Atlanta",15.9287386807848
"13121010601",2931397.64045931,4,"Atlanta",2.93139764045931
"13121008201",5359716.49465031,3,"Atlanta",5.35971649465031
"13121010510",31208778.6412127,4,"Atlanta",31.2087786412127
"13121011202",3209374.09516948,6,"Atlanta",3.20937409516948
"13121009402",1360340.59850368,2,"Atlanta",1.36034059850368
"13121000200",2879539.54725057,5,"Atlanta",2.87953954725057
"13121001100",471307.113315685,3,"Atlanta",0.471307113315685
"13121010603",6178308.65264644,3,"Atlanta",6.17830865264644
"13121010516",8415934.97048575,3,"Atlanta",8.41593497048575
"13121010512",9253536.40629716,3,"Atlanta",9.25353640629716
"13121009403",1178968.09769542,3,"Atlanta",1.17896809769542
"13121010114",4064966.57991561,3,"Atlanta",4.06496657991561
"13121010115",3487462.87419371,1,"Atlanta",3.48746287419371
"13135050213",17467791.887339,2,"Atlanta",17.467791887339
"13135050549",4012368.60218525,2,"Atlanta",4.01236860218525
"13135050528",5519874.3172215,2,"Atlanta",5.5198743172215
"13135050219",2884628.53334557,2,"Atlanta",2.88462853334557
"13045910200",120322441.494526,3,"Atlanta",120.322441494526
"13045910701",65732245.5543895,3,"Atlanta",65.7322455543895
"13045911200",169466743.491651,4,"Atlanta",169.466743491651
"13045911000",51309350.92524,3,"Atlanta",51.30935092524
"13045910502",4354418.89265481,3,"Atlanta",4.35441889265481
"13045910900",132101537.313434,2,"Atlanta",132.101537313434
"13045910400",111749160.82436,3,"Atlanta",111.74916082436
"13045910300",148003968.115292,3,"Atlanta",148.003968115292
"13045910600",32556555.900014,3,"Atlanta",32.556555900014
"13045910101",16583047.8242565,2,"Atlanta",16.5830478242565
"13045910800",172360990.946191,2,"Atlanta",172.360990946191
"13121000500",3308174.80113662,3,"Atlanta",3.30817480113662
"13121009101",1720828.63310878,4,"Atlanta",1.72082863310878
"13121009102",1610153.19730292,3,"Atlanta",1.61015319730292
"13121004200",1247842.90385299,2,"Atlanta",1.24784290385299
"13121004300",614633.817772988,2,"Atlanta",0.614633817772988
"13121006500",3281403.12135631,4,"Atlanta",3.28140312135631
"13121010513",29264093.6444959,3,"Atlanta",29.2640936444959
"13121010514",47663057.6812845,3,"Atlanta",47.6630576812845
"13121012300",3573950.93516094,3,"Atlanta",3.57395093516094
"13121011201",3739550.97793568,3,"Atlanta",3.73955097793568
"13121011610",4724618.72163165,2,"Atlanta",4.72461872163165
"13121010002",6363366.39195305,3,"Atlanta",6.36336639195305
"13121010205",6609952.43383779,4,"Atlanta",6.60995243383779
"13121010113",2208816.37663623,3,"Atlanta",2.20881637663623
"13121002100",796416.18462387,1,"Atlanta",0.79641618462387
"13121003500",1406648.01891348,2,"Atlanta",1.40664801891348
"13121011800",1893169.29945982,3,"Atlanta",1.89316929945982
"13045910501",29888797.7912447,4,"Atlanta",29.8887977912447
"13135050308",5693957.64887624,2,"Atlanta",5.69395764887624
"13135050713",6656094.95075849,4,"Atlanta",6.65609495075849
"13135050718",12353770.3659633,4,"Atlanta",12.3537703659633
"13135050318",856312.696945032,2,"Atlanta",0.856312696945032
"13135050424",7363115.42254056,3,"Atlanta",7.36311542254056
"13135050428",7571958.33924882,4,"Atlanta",7.57195833924882
"13135050434",2356178.02434353,3,"Atlanta",2.35617802434353
"13057090602",36434164.071969,3,"Atlanta",36.434164071969
"13223120301",20851488.5079294,2,"Atlanta",20.8514885079294
"13223120502",25304054.5521109,5,"Atlanta",25.3040545521109
"13223120503",20635596.7582969,2,"Atlanta",20.6355967582969
"13223120501",22749627.5639193,2,"Atlanta",22.7496275639193
"13223120104",117764099.992161,1,"Atlanta",117.764099992161
"13223120203",11751024.4578551,2,"Atlanta",11.7510244578551
"13223120302",56618358.242082,4,"Atlanta",56.618358242082
"13217100700",15352014.0924878,3,"Atlanta",15.3520140924878
"13217100600",29742855.7087652,2,"Atlanta",29.7428557087653
"13217100201",139729227.511807,3,"Atlanta",139.729227511807
"13057090902",19013830.8887272,5,"Atlanta",19.0138308887272
"13217100800",131261499.627044,2,"Atlanta",131.261499627044
"13217100903",17281793.2013415,2,"Atlanta",17.2817932013415
"13217100901",63642492.4858507,3,"Atlanta",63.6424924858507
"13217100902",12909533.285223,2,"Atlanta",12.909533285223
"13057091001",9108894.89294505,3,"Atlanta",9.10889489294505
"13057091003",10123073.6612339,3,"Atlanta",10.1230736612339
"13057091101",18408037.7971547,3,"Atlanta",18.4080377971547
"13057091102",11130538.5523505,4,"Atlanta",11.1305385523505
"13057091103",28045509.5225214,4,"Atlanta",28.0455095225214
"13089023310",7677304.20895155,4,"Atlanta",7.67730420895155
"13089021805",6339097.58673218,3,"Atlanta",6.33909758673218
"13089023504",2197356.76700974,3,"Atlanta",2.19735676700974
"13121009802",10588206.7702471,2,"Atlanta",10.5882067702471
"13121009603",1878962.19427771,3,"Atlanta",1.87896219427771
"13121010110",5396377.977582,3,"Atlanta",5.396377977582
"13121010117",1366698.32387229,2,"Atlanta",1.36669832387229
"13171970200",204257966.591344,5,"Atlanta",204.257966591344
"13171970100",199478592.595458,3,"Atlanta",199.478592595458
"13211010200",187316061.324763,2,"Atlanta",187.316061324763
"13227050300",112964785.367617,2,"Atlanta",112.964785367617
"13227050600",103725285.285085,4,"Atlanta",103.725285285085
"13227050500",109579781.895598,2,"Atlanta",109.579781895598
"13227050200",49135296.7074059,4,"Atlanta",49.1352967074059
"13227050100",100487283.899157,3,"Atlanta",100.487283899157
"13089023309",5191401.13284738,4,"Atlanta",5.19140113284738
"13089023114",2398143.61058973,2,"Atlanta",2.39814361058973
"13089023419",13384932.4958395,3,"Atlanta",13.3849324958395
"13089023428",7833460.54573943,4,"Atlanta",7.83346054573943
"13089021102",3603913.197547,4,"Atlanta",3.603913197547
"13089021416",777936.843986153,2,"Atlanta",0.777936843986153
"13171970300",77807669.3828856,4,"Atlanta",77.8076693828856
"13013180206",7035876.48635791,2,"Atlanta",7.03587648635791
"13013180204",16089523.9625439,2,"Atlanta",16.0895239625439
"13013180205",11030185.2800257,3,"Atlanta",11.0301852800257
"13013180203",5669879.68149539,2,"Atlanta",5.66987968149539
"13013180401",56393135.2362637,2,"Atlanta",56.3931352362637
"13013180108",20602168.4711398,2,"Atlanta",20.6021684711398
"13013180502",45977032.0929501,4,"Atlanta",45.9770320929501
"13223120202",18198521.8861904,2,"Atlanta",18.1985218861904
"13097080602",24322221.1554225,2,"Atlanta",24.3222211554226
"13063040520",2180844.23197329,3,"Atlanta",2.18084423197329
"13097080103",10053316.5672047,4,"Atlanta",10.0533165672047
"13089980000",738344.077206924,1,"Atlanta",0.738344077206924
"13117130104",29639981.940197,3,"Atlanta",29.639981940197
"13067031505",10078663.9781219,3,"Atlanta",10.0786639781219
"13211010100",180167744.8753,1,"Atlanta",180.1677448753
"13211010300",197987181.812824,4,"Atlanta",197.987181812824
"13227050400",126943012.159321,2,"Atlanta",126.943012159321
"13121011423",6550164.0462503,4,"Atlanta",6.5501640462503
"13121000100",3364304.77178715,4,"Atlanta",3.36430477178715
"13231010100",172173075.190165,3,"Atlanta",172.173075190165
"13231010300",175280792.213919,2,"Atlanta",175.280792213919
"13231010400",108518050.809682,2,"Atlanta",108.518050809682
"13231010200",112560505.198644,1,"Atlanta",112.560505198644
"13217100400",10901065.9807814,2,"Atlanta",10.9010659807814
"13255160500",32709031.0743751,2,"Atlanta",32.7090310743751
"13255160800",6266843.80913158,3,"Atlanta",6.26684380913158
"13255160900",10667127.0958839,3,"Atlanta",10.6671270958839
