"period","b0","b1","median_delta","sp_rho","sp_p","x_pos","y_pos","lab1","lab2","lab3"
"Before",0.139422988481918,0.680198738348926,0.00689111497938502,0.615384615384615,0.0331699010901058,0.391688883562006,0.45936671628358,"rho[Tract] == 0.68~rho[CBG] +0.14","Median(rho[Tract]-rho[CBG]) == 0.01","Spearman~~italic(r)[S] == 0.62"
"During",0.170796644549178,0.607385709698623,0.010768847609066,0.643356643356643,0.0240031912007137,0.391235735285759,0.459312248409291,"rho[Tract] == 0.61~rho[CBG] +0.17","Median(rho[Tract]-rho[CBG]) == 0.01","Spearman~~italic(r)[S] == 0.64"
