"msa","n_tract","mean_tract_area_km2","median_tract_area_km2","sd_tract_area_km2","q25_tract_area_km2","q75_tract_area_km2","q95_tract_area_km2","max_tract_area_km2"
"Atlanta",951,24.0719215563207,7.37906321741613,50.6041957613017,3.64538812906192,18.4669447074586,120.290392962066,616.104765792924
"Boston",1007,11.5834880911897,3.2236809868194,36.4101931263926,0.906545778411882,11.4527521149306,41.0724050344362,736.261843711695
"Chicago",2215,11.1836087446089,1.9657010188449,73.1252903164778,0.665378301866062,4.75817692677039,26.2921005935477,2295.10721027887
"Dallas",1312,17.7904986052741,3.34840990206066,50.7986420224591,2.01498110517814,7.81555170032706,84.4162602225333,474.287248351406
"Houston",1072,22.8435947894199,3.50908547712918,68.9398981963544,1.89454675349515,8.95786048441095,125.998589450027,678.179032389138
"Los Angeles",2929,5.04083799422158,1.1948563585898,41.1759978991142,0.666987499920575,2.07066734026121,7.45177212870442,1436.49752538679
"Miami",1219,13.0641407647247,2.21048214519848,122.658394457149,1.31997184485513,3.60735512420009,12.242543584741,2463.11910159946
"New York",4542,5.24637696254424,0.695989366280741,43.1079945370066,0.18911808393771,2.94375739899464,20.0719258286412,2708.95760410865
"Philadelphia",1477,8.53161280182318,2.44188164280444,24.711997828654,0.937622918596845,6.79338517948728,37.1666196121483,718.48903413434
"San Francisco",980,9.04976724165697,1.35206052092455,47.096733120655,0.667469427369299,3.41757370453043,21.8584854173384,677.386390552805
"Seattle",721,22.5981877866448,3.71257883636882,128.763612234454,2.22054502194641,7.5275266419019,50.177806987483,1905.19523834363
"Washington, D.C.",1361,13.3149276252967,2.48650928368612,37.7716526825674,1.21356167458786,6.57785020106164,68.4559650898373,516.737365277877
