"msa","period","rho_cbg","rho_tract","rank_rho_cbg","rank_rho_tract","area_stat","cbg_area_km2","tract_area_km2","rank_cbg_area","rank_tract_area","area_rank_shift","rho_rank_shift"
"Atlanta","Before",0.442588748022631,0.45936671628358,11,12,"Mean area",8.81493931461724,24.0719215563207,12,12,0,1
"Atlanta","During",0.442798129136379,0.459312248409291,12,12,"Mean area",8.81493931461724,24.0719215563207,12,12,0,0
"Boston","Before",0.44381824605783,0.438400048048858,12,9,"Mean area",3.41268944055822,11.5834880911897,5,6,1,-3
"Boston","During",0.441049390275544,0.433309954138186,11,9,"Mean area",3.41268944055822,11.5834880911897,5,6,1,-2
"Chicago","Before",0.439217909053882,0.432019843000645,10,7,"Mean area",3.7589823018678,11.1836087446089,6,5,-1,-3
"Chicago","During",0.436904610738003,0.431814161771055,10,8,"Mean area",3.7589823018678,11.1836087446089,6,5,-1,-2
"Dallas","Before",0.437396662062999,0.448445415622523,8,11,"Mean area",5.65434451795532,17.7904986052741,9,9,0,3
"Dallas","During",0.436043384563154,0.448907447804167,8,11,"Mean area",5.65434451795532,17.7904986052741,9,9,0,3
"Houston","Before",0.429708490758777,0.430883832281977,5,6,"Mean area",8.10603562206491,22.8435947894199,11,11,0,1
"Houston","During",0.429962098997614,0.430559837050974,6,7,"Mean area",8.10603562206491,22.8435947894199,11,11,0,1
"Los Angeles","Before",0.437744386954616,0.425728454494548,9,4,"Mean area",1.79008420042132,5.04083799422158,2,1,-1,-5
"Los Angeles","During",0.436456369330545,0.423766899806999,9,5,"Mean area",1.79008420042132,5.04083799422158,2,1,-1,-4
"Miami","Before",0.430925548448138,0.404348676662187,6,1,"Mean area",4.65648760005831,13.0641407647247,7,7,0,-5
"Miami","During",0.431199641168946,0.406525930504323,7,1,"Mean area",4.65648760005831,13.0641407647247,7,7,0,-6
"New York","Before",0.409525315493371,0.41738460394632,2,3,"Mean area",1.65755732915108,5.24637696254424,1,2,1,1
"New York","During",0.398791697298593,0.413071047837412,2,3,"Mean area",1.65755732915108,5.24637696254424,1,2,1,1
"Philadelphia","Before",0.431032280942234,0.444512750015324,7,10,"Mean area",2.92642640694214,8.53161280182318,3,3,0,3
"Philadelphia","During",0.421344360801217,0.438712929289121,5,10,"Mean area",2.92642640694214,8.53161280182318,3,3,0,5
"San Francisco","Before",0.391688883562006,0.408535101868047,1,2,"Mean area",3.0550368228811,9.04976724165697,4,4,0,1
"San Francisco","During",0.391235735285759,0.406961277413883,1,2,"Mean area",3.0550368228811,9.04976724165697,4,4,0,1
"Seattle","Before",0.420335689514894,0.426569631551992,3,5,"Mean area",6.56193853973858,22.5981877866448,10,10,0,2
"Seattle","During",0.41183593821219,0.42309102336317,3,4,"Mean area",6.56193853973858,22.5981877866448,10,10,0,1
"Washington, D.C.","Before",0.424567488597178,0.43211577651885,4,8,"Mean area",5.06614942634296,13.3149276252967,8,8,0,4
"Washington, D.C.","During",0.41864175118811,0.428924361255262,4,6,"Mean area",5.06614942634296,13.3149276252967,8,8,0,2
"Atlanta","Before",0.442588748022631,0.45936671628358,11,12,"Median area",2.4125367734825,7.37906321741613,12,12,0,1
"Atlanta","During",0.442798129136379,0.459312248409291,12,12,"Median area",2.4125367734825,7.37906321741613,12,12,0,0
"Boston","Before",0.44381824605783,0.438400048048858,12,9,"Median area",0.722908314491786,3.2236809868194,7,8,1,-3
"Boston","During",0.441049390275544,0.433309954138186,11,9,"Median area",0.722908314491786,3.2236809868194,7,8,1,-2
"Chicago","Before",0.439217909053882,0.432019843000645,10,7,"Median area",0.501443114196586,1.9657010188449,4,4,0,-3
"Chicago","During",0.436904610738003,0.431814161771055,10,8,"Median area",0.501443114196586,1.9657010188449,4,4,0,-2
"Dallas","Before",0.437396662062999,0.448445415622523,8,11,"Median area",0.885542417584275,3.34840990206066,10,9,-1,3
"Dallas","During",0.436043384563154,0.448907447804167,8,11,"Median area",0.885542417584275,3.34840990206066,10,9,-1,3
"Houston","Before",0.429708490758777,0.430883832281977,5,6,"Median area",1.0526582447727,3.50908547712918,11,10,-1,1
"Houston","During",0.429962098997614,0.430559837050974,6,7,"Median area",1.0526582447727,3.50908547712918,11,10,-1,1
"Los Angeles","Before",0.437744386954616,0.425728454494548,9,4,"Median area",0.34262977180857,1.1948563585898,2,2,0,-5
"Los Angeles","During",0.436456369330545,0.423766899806999,9,5,"Median area",0.34262977180857,1.1948563585898,2,2,0,-4
"Miami","Before",0.430925548448138,0.404348676662187,6,1,"Median area",0.66157128195659,2.21048214519848,6,5,-1,-5
"Miami","During",0.431199641168946,0.406525930504323,7,1,"Median area",0.66157128195659,2.21048214519848,6,5,-1,-6
"New York","Before",0.409525315493371,0.41738460394632,2,3,"Median area",0.213746123116649,0.695989366280741,1,1,0,1
"New York","During",0.398791697298593,0.413071047837412,2,3,"Median area",0.213746123116649,0.695989366280741,1,1,0,1
"Philadelphia","Before",0.431032280942234,0.444512750015324,7,10,"Median area",0.602332267709314,2.44188164280444,5,6,1,3
"Philadelphia","During",0.421344360801217,0.438712929289121,5,10,"Median area",0.602332267709314,2.44188164280444,5,6,1,5
"San Francisco","Before",0.391688883562006,0.408535101868047,1,2,"Median area",0.375028756831269,1.35206052092455,3,3,0,1
"San Francisco","During",0.391235735285759,0.406961277413883,1,2,"Median area",0.375028756831269,1.35206052092455,3,3,0,1
"Seattle","Before",0.420335689514894,0.426569631551992,3,5,"Median area",0.818581902010828,3.71257883636882,8,11,3,2
