"rho","error","index","day","lag","grid_size_km"
7.80286833249943e-05,97.6656439021633,"homo",0,99,1
79.9999508083439,632.120603140168,"power",0,99,1
0.255573650782997,57.6735400117924,"exp",0,99,1
7.80286833249943e-05,96.8801847700276,"homo",1,99,1
79.9999508083439,640.884340905632,"power",1,99,1
0.2515292154076,56.4459426284239,"exp",1,99,1
7.80286833249943e-05,123.451931772206,"homo",2,99,1
64.7214332302896,792.500342768122,"power",2,99,1
0.269428312223139,73.4680441820221,"exp",2,99,1
7.80286833249943e-05,123.393185635202,"homo",3,99,1
79.9999508083439,798.589680572035,"power",3,99,1
0.261766362902427,73.1146053663211,"exp",3,99,1
7.80286833249943e-05,125.99725176664,"homo",4,99,1
79.9999508083439,784.784892867785,"power",4,99,1
0.281201279215601,74.2778517992292,"exp",4,99,1
7.80286833249943e-05,128.661513419249,"homo",5,99,1
79.9999508083439,834.404752589375,"power",5,99,1
0.257708464877567,76.8550945312472,"exp",5,99,1
7.80286833249943e-05,108.6840334213,"homo",6,99,1
79.9999508083439,703.606146902298,"power",6,99,1
0.268241932284831,64.2048113038171,"exp",6,99,1
7.80286833249943e-05,89.5477296654553,"homo",7,99,1
79.9999508083439,618.512729604658,"power",7,99,1
0.247076478887631,54.2454260760848,"exp",7,99,1
7.80286833249943e-05,101.829129720766,"homo",8,99,1
79.9999508083439,706.29637947843,"power",8,99,1
0.234437143645473,59.6874271311751,"exp",8,99,1
7.80286833249943e-05,128.98248149328,"homo",9,99,1
79.9999508083439,859.163862550996,"power",9,99,1
0.248589103530612,77.0396872515204,"exp",9,99,1
7.80286833249943e-05,129.369086715657,"homo",10,99,1
79.9999508083439,821.991251152133,"power",10,99,1
0.268766250828401,76.9224293166776,"exp",10,99,1
7.80286833249943e-05,128.612635927468,"homo",11,99,1
79.9999508083439,860.111796915671,"power",11,99,1
0.24548159938541,77.306210119484,"exp",11,99,1
7.80286833249943e-05,139.130741698494,"homo",12,99,1
79.9999508083439,872.04432161901,"power",12,99,1
0.27676109933392,82.7915695799329,"exp",12,99,1
7.80286833249943e-05,115.362105564367,"homo",13,99,1
79.9999508083439,756.371617269254,"power",13,99,1
0.247528882071541,66.8435389388947,"exp",13,99,1
7.80286833249943e-05,100.717220035933,"homo",14,99,1
79.9999508083439,671.459275648199,"power",14,99,1
0.248422106335993,58.8551484038823,"exp",14,99,1
7.80286833249943e-05,132.057604603558,"homo",15,99,1
79.9999508083439,863.191063354405,"power",15,99,1
0.254164661810228,78.632007356746,"exp",15,99,1
7.80286833249943e-05,134.045810470864,"homo",16,99,1
79.9999508083439,868.277555656269,"power",16,99,1
0.261399242636397,79.7154858011919,"exp",16,99,1
7.80286833249943e-05,131.02555542571,"homo",17,99,1
79.9999508083439,843.107468488493,"power",17,99,1
0.261867968138735,77.891625776366,"exp",17,99,1
7.80286833249943e-05,129.372137476932,"homo",18,99,1
64.7214332302896,902.875236550001,"power",18,99,1
0.229612497059723,78.5684043507197,"exp",18,99,1
7.80286833249943e-05,136.706081632878,"homo",19,99,1
79.9999508083439,893.069046034504,"power",19,99,1
0.252646947897941,81.6601715936706,"exp",19,99,1
7.80286833249943e-05,115.477203525877,"homo",20,99,1
64.7214332302896,769.753710426514,"power",20,99,1
0.241500433053817,67.0379419302481,"exp",20,99,1
7.80286833249943e-05,98.5421880729324,"homo",21,99,1
79.9999508083439,668.739847736657,"power",21,99,1
0.240074340976668,56.9857069240825,"exp",21,99,1
7.80286833249943e-05,126.645223087408,"homo",22,99,1
79.9999508083439,827.737433964686,"power",22,99,1
0.259933189109461,75.489399971395,"exp",22,99,1
7.80286833249943e-05,131.327423696088,"homo",23,99,1
79.9999508083439,843.143989173829,"power",23,99,1
0.264988945784377,77.8449716083543,"exp",23,99,1
7.80286833249943e-05,129.344350971701,"homo",24,99,1
79.9999508083439,838.931481289082,"power",24,99,1
0.261877546904382,76.9838362685612,"exp",24,99,1
7.80286833249943e-05,129.728477838764,"homo",25,99,1
64.7214332302896,852.415622226294,"power",25,99,1
0.251217035823026,77.1925360288793,"exp",25,99,1
7.80286833249943e-05,134.380248671827,"homo",26,99,1
79.9999508083439,840.632685016369,"power",26,99,1
0.279515526658635,79.7353423057018,"exp",26,99,1
7.80286833249943e-05,109.718500167364,"homo",27,99,1
64.7214332302896,701.304241230386,"power",27,99,1
0.259904395338204,65.725250870124,"exp",27,99,1
7.80286833249943e-05,104.592616389425,"homo",28,99,1
79.9999508083439,676.673223766839,"power",28,99,1
0.244430146760119,62.1240980226163,"exp",28,99,1
7.80286833249943e-05,102.949528910419,"homo",29,99,1
79.9999508083439,647.304083843627,"power",29,99,1
0.268101470220167,58.0544833557585,"exp",29,99,1
7.80286833249943e-05,131.004673493924,"homo",30,99,1
79.9999508083439,886.935385801694,"power",30,99,1
0.241017483664596,79.2659170111841,"exp",30,99,1
7.80286833249943e-05,129.889005587207,"homo",31,99,1
79.9999508083439,815.460379278567,"power",31,99,1
0.277227935595406,76.5190718154225,"exp",31,99,1
7.80286833249943e-05,129.045163501213,"homo",32,99,1
79.9999508083439,841.799880258495,"power",32,99,1
0.253729003690234,76.9197702302004,"exp",32,99,1
7.80286833249943e-05,132.799050850385,"homo",33,99,1
79.9999508083439,856.218729733401,"power",33,99,1
0.26625384931859,79.8207028382214,"exp",33,99,1
7.80286833249943e-05,112.369014704777,"homo",34,99,1
79.9999508083439,775.151955524361,"power",34,99,1
0.234809104190381,66.5334602111063,"exp",34,99,1
7.80286833249943e-05,102.522580590963,"homo",35,99,1
