"rho","error","index","day","lag","grid_size_km"
7.80286833249943e-05,36.8389149728709,"homo",0,199,0.5
79.9999508083439,145.34650970506,"power",0,199,0.5
0.353073142785666,13.0042670166873,"exp",0,199,0.5
7.80286833249943e-05,36.3148116759402,"homo",1,199,0.5
79.9999508083439,140.815948609665,"power",1,199,0.5
0.36735893858616,12.0080351024946,"exp",1,199,0.5
7.80286833249943e-05,47.6070319939309,"homo",2,199,0.5
79.9999508083439,179.151007143804,"power",2,199,0.5
0.393936802752923,15.5943028812075,"exp",2,199,0.5
7.80286833249943e-05,46.988966198788,"homo",3,199,0.5
79.9999508083439,182.764313572659,"power",3,199,0.5
0.386484911319244,15.982209922526,"exp",3,199,0.5
7.80286833249943e-05,48.4290004279112,"homo",4,199,0.5
64.7214332302896,184.492299002388,"power",4,199,0.5
0.389750690198766,16.2415189346591,"exp",4,199,0.5
7.80286833249943e-05,49.440567459536,"homo",5,199,0.5
79.9999508083439,188.468924706511,"power",5,199,0.5
0.392327217077391,16.6319702879211,"exp",5,199,0.5
7.80286833249943e-05,42.9002776820552,"homo",6,199,0.5
79.9999508083439,162.979792470087,"power",6,199,0.5
0.368713712959659,14.464318898985,"exp",6,199,0.5
7.80286833249943e-05,37.9024057833553,"homo",7,199,0.5
79.9999508083439,149.303086532389,"power",7,199,0.5
0.354886867927142,13.3001356369888,"exp",7,199,0.5
7.80286833249943e-05,35.1032673923153,"homo",8,199,0.5
64.7214332302896,141.467668678148,"power",8,199,0.5
0.35791129276407,12.198352097753,"exp",8,199,0.5
7.80286833249943e-05,49.0457035567082,"homo",9,199,0.5
79.9999508083439,187.627577533395,"power",9,199,0.5
0.391029659090747,16.3687618633439,"exp",9,199,0.5
7.80286833249943e-05,50.0514057967284,"homo",10,199,0.5
79.9999508083439,189.254774845509,"power",10,199,0.5
0.390984386816693,16.6765970919298,"exp",10,199,0.5
7.80286833249943e-05,50.7035485820149,"homo",11,199,0.5
79.9999508083439,191.630401483718,"power",11,199,0.5
0.389414357424263,17.2294493059098,"exp",11,199,0.5
7.80286833249943e-05,53.6353856480214,"homo",12,199,0.5
79.9999508083439,203.281830533065,"power",12,199,0.5
0.386875968762457,18.6060328062203,"exp",12,199,0.5
7.80286833249943e-05,44.9348732805564,"homo",13,199,0.5
79.9999508083439,164.740398255425,"power",13,199,0.5
0.380418414119008,14.3972576829371,"exp",13,199,0.5
7.80286833249943e-05,39.2727036115428,"homo",14,199,0.5
79.9999508083439,150.587663605456,"power",14,199,0.5
0.364991393020901,13.1647995489749,"exp",14,199,0.5
7.80286833249943e-05,51.3474605777558,"homo",15,199,0.5
79.9999508083439,195.672661162206,"power",15,199,0.5
0.389313787265756,17.063150711923,"exp",15,199,0.5
7.80286833249943e-05,51.5506604123846,"homo",16,199,0.5
64.7214332302896,194.359541569951,"power",16,199,0.5
0.393034337601527,16.8413909125524,"exp",16,199,0.5
7.80286833249943e-05,50.4561814111808,"homo",17,199,0.5
79.9999508083439,190.061722030482,"power",17,199,0.5
0.389678738414602,16.5701241927742,"exp",17,199,0.5
7.80286833249943e-05,50.2989518755541,"homo",18,199,0.5
79.9999508083439,185.810635338042,"power",18,199,0.5
0.396224358064593,16.1594794935128,"exp",18,199,0.5
7.80286833249943e-05,51.1219813308451,"homo",19,199,0.5
79.9999508083439,192.068236918375,"power",19,199,0.5
0.3967368442302,16.7989793063356,"exp",19,199,0.5
7.80286833249943e-05,42.7122575721455,"homo",20,199,0.5
79.9999508083439,160.445205556717,"power",20,199,0.5
0.376655841449039,14.0170719548999,"exp",20,199,0.5
7.80286833249943e-05,38.269799126844,"homo",21,199,0.5
79.9999508083439,151.60126701635,"power",21,199,0.5
0.354703927580576,13.1453436733783,"exp",21,199,0.5
7.80286833249943e-05,49.5969768500421,"homo",22,199,0.5
79.9999508083439,186.219300294927,"power",22,199,0.5
0.391166761422202,16.2417626406727,"exp",22,199,0.5
7.80286833249943e-05,49.7789603228102,"homo",23,199,0.5
64.7214332302896,189.503864989228,"power",23,199,0.5
0.391199439689448,16.642711944392,"exp",23,199,0.5
7.80286833249943e-05,49.3929407926037,"homo",24,199,0.5
79.9999508083439,188.503182551449,"power",24,199,0.5
0.392593305896573,16.4385385844201,"exp",24,199,0.5
7.80286833249943e-05,50.4870710521022,"homo",25,199,0.5
79.9999508083439,189.440674487354,"power",25,199,0.5
0.392558673257127,16.564884298636,"exp",25,199,0.5
7.80286833249943e-05,51.9248634784788,"homo",26,199,0.5
79.9999508083439,194.836081298894,"power",26,199,0.5
0.393644893978568,17.1044746884023,"exp",26,199,0.5
7.80286833249943e-05,43.544628497061,"homo",27,199,0.5
79.9999508083439,165.001967441566,"power",27,199,0.5
0.374779237345751,14.2608608573089,"exp",27,199,0.5
7.80286833249943e-05,38.2368052264709,"homo",28,199,0.5
79.9999508083439,148.232445828765,"power",28,199,0.5
0.35971546234897,13.2588388454541,"exp",28,199,0.5
7.80286833249943e-05,39.3269909560155,"homo",29,199,0.5
79.9999508083439,149.965098806216,"power",29,199,0.5
0.365377493708599,12.789245317759,"exp",29,199,0.5
7.80286833249943e-05,50.8029558404061,"homo",30,199,0.5
64.7214332302896,185.284053578482,"power",30,199,0.5
0.397513836948282,16.1530710120549,"exp",30,199,0.5
