"rho","error","index","day","lag","grid_size_km"
7.80286833249943e-05,25.7439177222123,"homo",0,99,1
79.9999508083439,207.268516872404,"power",0,99,1
0.265886959587156,15.194076260801,"exp",0,99,1
7.80286833249943e-05,26.6518019211001,"homo",1,99,1
79.9999508083439,207.72313494294,"power",1,99,1
0.270772950881629,15.4789832654217,"exp",1,99,1
7.80286833249943e-05,31.4395921886924,"homo",2,99,1
79.9999508083439,235.304148324315,"power",2,99,1
0.27291498684555,17.9119029706191,"exp",2,99,1
7.80286833249943e-05,31.2971731798846,"homo",3,99,1
79.9999508083439,224.635486083961,"power",3,99,1
0.285766841165905,17.6999534101489,"exp",3,99,1
7.80286833249943e-05,32.2491453791701,"homo",4,99,1
79.9999508083439,231.599176425312,"power",4,99,1
0.280500868161549,18.1060016851091,"exp",4,99,1
7.80286833249943e-05,32.5493088418299,"homo",5,99,1
79.9999508083439,237.64406189403,"power",5,99,1
0.276199691455931,18.4653065653482,"exp",5,99,1
7.80286833249943e-05,28.7850257444438,"homo",6,99,1
79.9999508083439,216.260579536267,"power",6,99,1
0.279125301636397,16.7656224808376,"exp",6,99,1
7.80286833249943e-05,24.5510817997515,"homo",7,99,1
79.9999508083439,211.636783590573,"power",7,99,1
0.255189638020304,15.1453418311776,"exp",7,99,1
7.80286833249943e-05,27.7000167184549,"homo",8,99,1
64.7214332302896,218.186266802837,"power",8,99,1
0.265488722083713,16.1046316121358,"exp",8,99,1
7.80286833249943e-05,33.4097562740737,"homo",9,99,1
79.9999508083439,246.943493811611,"power",9,99,1
0.271498284760958,18.9615892155599,"exp",9,99,1
7.80286833249943e-05,33.5991776481467,"homo",10,99,1
79.9999508083439,238.581639214277,"power",10,99,1
0.284494368154568,18.9257969467311,"exp",10,99,1
7.80286833249943e-05,34.0798281049146,"homo",11,99,1
79.9999508083439,239.164194683959,"power",11,99,1
0.283909448172196,18.9136108577925,"exp",11,99,1
7.80286833249943e-05,36.0500909986735,"homo",12,99,1
79.9999508083439,245.908487975157,"power",12,99,1
0.286591546614376,19.7526250205035,"exp",12,99,1
7.80286833249943e-05,30.9098537363604,"homo",13,99,1
