"day","lag","rho","error","index","county"
2020-02-10,12,0.00357533140494712,447.213534548626,"homo","48157"
2020-02-11,12,0.00292323243238228,443.957539827297,"homo","48157"
2020-02-12,12,0.00293716837973377,446.103959341428,"homo","48157"
2020-02-13,12,0.00296328567480219,461.555912807291,"homo","48157"
2020-02-14,12,0.00376476889774457,470.644798436576,"homo","48157"
2020-02-15,12,0.00288109847513098,452.268033613639,"homo","48157"
2020-02-16,12,0.00281223230445198,434.464589415717,"homo","48157"
2020-03-30,12,0.00269195461859055,319.773718795383,"homo","48157"
2020-03-31,12,0.00267931027556064,324.619503829247,"homo","48157"
2020-04-01,12,0.00367085075434584,358.142585934401,"homo","48157"
2020-04-02,12,0.00377748257445277,354.177834454676,"homo","48157"
2020-04-03,12,0.00331549587294467,366.73504652759,"homo","48157"
2020-04-04,12,0.00270374687768641,355.287258555023,"homo","48157"
2020-04-05,12,0.00263845128385723,345.662169120061,"homo","48157"
2020-02-10,12,4.999925702776,2957.30321977071,"power","48157"
2020-02-11,12,4.99992583963722,3028.42913393914,"power","48157"
2020-02-12,12,4.99992585062068,3042.1697875609,"power","48157"
2020-02-13,12,4.99992587371602,3155.87120347751,"power","48157"
2020-02-14,12,4.999925329088,2953.85353321535,"power","48157"
2020-02-15,12,4.99992578104734,3035.29258672117,"power","48157"
2020-02-16,12,4.99992572969563,2882.4404904357,"power","48157"
2020-03-30,12,4.99992566301338,2129.24080861851,"power","48157"
2020-03-31,12,4.99992561965053,2166.31080723893,"power","48157"
2020-04-01,12,4.99992497789819,2200.14198231709,"power","48157"
2020-04-02,12,4.99992461607565,2120.77456940656,"power","48157"
2020-04-03,12,4.99992582416585,2429.13372303655,"power","48157"
2020-04-04,12,4.99992553552835,2328.51525897986,"power","48157"
2020-04-05,12,4.99992555447912,2264.33868208294,"power","48157"
2020-02-10,12,0.410065563635398,408.726230919978,"exp","48157"
2020-02-11,12,0.396435740729352,412.794328353849,"exp","48157"
2020-02-12,12,0.396296815295843,415.184754781924,"exp","48157"
2020-02-13,12,0.399523525631567,426.303383577018,"exp","48157"
2020-02-14,12,0.422173359193852,416.412532625333,"exp","48157"
2020-02-15,12,0.397164983501299,419.528254775786,"exp","48157"
2020-02-16,12,0.397357490230296,402.224505301513,"exp","48157"
2020-03-30,12,0.394683138403259,296.758809802799,"exp","48157"
2020-03-31,12,0.394866049796054,301.095971919627,"exp","48157"
2020-04-01,12,0.418276827803463,321.445825172593,"exp","48157"
2020-04-02,12,0.424358395376602,312.772222806824,"exp","48157"
2020-04-03,12,0.399341870638018,341.904616457287,"exp","48157"
2020-04-04,12,0.392879154553189,331.283791502067,"exp","48157"
2020-04-05,12,0.392190889437003,322.076546505832,"exp","48157"
2020-02-10,7,0.0533009011968749,87.1583283297458,"homo","48473"
2020-02-11,7,0.0532418318333024,77.7010802988432,"homo","48473"
2020-02-12,7,0.0533016650575325,76.8536291420845,"homo","48473"
2020-02-13,7,0.0531616638193846,81.2579338801363,"homo","48473"
2020-02-14,7,0.053132213341723,84.4190486353799,"homo","48473"
2020-02-15,7,0.052986703761645,80.4811509061172,"homo","48473"
2020-02-16,7,0.0525874493586701,80.6846268397457,"homo","48473"
2020-03-30,7,0.0512626871469967,87.9437358512402,"homo","48473"
2020-03-31,7,0.0509083239469959,88.9857603475567,"homo","48473"
2020-04-01,7,0.0518487525178519,95.3802952258252,"homo","48473"
2020-04-02,7,0.0517849105440416,94.5629664855498,"homo","48473"
2020-04-03,7,0.0518218124137893,97.3857530783559,"homo","48473"
2020-04-04,7,0.0513974974578067,91.7330413551297,"homo","48473"
2020-04-05,7,0.0511642477955022,89.7802176731853,"homo","48473"
2020-02-10,7,4.99995867101887,468.892444001015,"power","48473"
2020-02-11,7,4.99995831908888,419.478377562774,"power","48473"
2020-02-12,7,4.99995883057071,424.500164929029,"power","48473"
2020-02-13,7,4.99995835833792,434.544080570967,"power","48473"
2020-02-14,7,4.99995793203585,443.542270761549,"power","48473"
2020-02-15,7,4.99995747304393,411.749031597644,"power","48473"
2020-02-16,7,4.99995687434889,395.229884472087,"power","48473"
2020-03-30,7,4.99995530331034,379.523864540431,"power","48473"
2020-03-31,7,4.99995504830765,370.755689848485,"power","48473"
2020-04-01,7,4.99995571469489,422.109210267082,"power","48473"
2020-04-02,7,4.99995552444721,417.016990404113,"power","48473"
2020-04-03,7,4.99995634719632,438.102373026995,"power","48473"
2020-04-04,7,4.99995592843561,399.907882762014,"power","48473"
2020-04-05,7,4.99995534661323,380.665305893326,"power","48473"
2020-02-10,7,0.595692588483886,100.26097772353,"exp","48473"
2020-02-11,7,0.596092952095063,89.5602904298295,"exp","48473"
2020-02-12,7,0.594203785558671,89.2979522825469,"exp","48473"
2020-02-13,7,0.59423165005618,93.6721026017252,"exp","48473"
2020-02-14,7,0.594911143326327,97.1124841582609,"exp","48473"
2020-02-15,7,0.595179913417724,91.6057625430436,"exp","48473"
2020-02-16,7,0.592752543042141,91.686045412018,"exp","48473"
2020-03-30,7,0.586324201434001,95.2489761033381,"exp","48473"
2020-03-31,7,0.587920843193825,94.1484598386648,"exp","48473"
2020-04-01,7,0.594765845473237,100.394752891685,"exp","48473"
2020-04-02,7,0.593632848301372,100.306313969464,"exp","48473"
2020-04-03,7,0.591806084036102,103.33491833706,"exp","48473"
