"day","lag","rho","error","index","county"
2020-02-10,7,0.0392684848595977,52.2230894845932,"homo","18073"
2020-02-11,7,0.039219913822033,48.3521583733545,"homo","18073"
2020-02-12,7,0.0395180865938994,47.554935784304,"homo","18073"
2020-02-13,7,0.0399879883939021,40.1941522854281,"homo","18073"
2020-02-14,7,0.0400938653568743,39.2337065811755,"homo","18073"
2020-02-15,7,0.0399524537211966,36.148968734059,"homo","18073"
2020-02-16,7,0.0397630192623278,36.7639332083872,"homo","18073"
2020-03-30,7,0.0398167598263873,30.303928535402,"homo","18073"
2020-03-31,7,0.0397389357867125,28.5254547155823,"homo","18073"
2020-04-01,7,0.0401439042370226,33.0009694203119,"homo","18073"
2020-04-02,7,0.0401645702724274,34.3256775699455,"homo","18073"
2020-04-03,7,0.0402548520216427,34.7270922061208,"homo","18073"
2020-04-04,7,0.0398348724370118,35.6865839514239,"homo","18073"
2020-04-05,7,0.0398258284073725,34.2688221655322,"homo","18073"
2020-02-10,7,4.99995502205118,368.941434644007,"power","18073"
2020-02-11,7,4.99995497551372,349.33523911791,"power","18073"
2020-02-12,7,4.99995540710773,357.484827853408,"power","18073"
2020-02-13,7,4.99995739743326,346.496122664281,"power","18073"
2020-02-14,7,4.99995770782022,353.594446889659,"power","18073"
2020-02-15,7,4.99995790279926,322.557954649104,"power","18073"
2020-02-16,7,4.99995824140278,320.227581896911,"power","18073"
2020-03-30,7,4.99995830390857,272.901804114141,"power","18073"
2020-03-31,7,4.99995870441764,259.789782541397,"power","18073"
2020-04-01,7,4.99995848869248,310.991091472473,"power","18073"
2020-04-02,7,4.99995842632765,321.641745440559,"power","18073"
2020-04-03,7,4.99995857000534,333.673469017047,"power","18073"
2020-04-04,7,4.99995876026124,313.911217481756,"power","18073"
2020-04-05,7,4.99995904741385,303.798866405086,"power","18073"
2020-02-10,7,0.54322538021708,48.822511221285,"exp","18073"
2020-02-11,7,0.541978617576703,45.6892609643723,"exp","18073"
2020-02-12,7,0.543414491279154,45.3029862591542,"exp","18073"
2020-02-13,7,0.548204436727157,35.7388364809006,"exp","18073"
2020-02-14,7,0.552016593252854,32.9771177141129,"exp","18073"
2020-02-15,7,0.551319783898372,30.3149424118028,"exp","18073"
2020-02-16,7,0.55017521597514,29.7247822498981,"exp","18073"
2020-03-30,7,0.549442349538112,26.1612508585795,"exp","18073"
2020-03-31,7,0.547904478490888,24.2882264539024,"exp","18073"
2020-04-01,7,0.551039553394718,27.6578041651064,"exp","18073"
2020-04-02,7,0.551546878265508,27.8824199896418,"exp","18073"
2020-04-03,7,0.551109048316491,28.8597518018822,"exp","18073"
2020-04-04,7,0.550581541956955,28.3293094165803,"exp","18073"
2020-04-05,7,0.548781511246302,28.1196103976646,"exp","18073"
2020-02-10,5,0.0807971925569516,17.1168368187753,"homo","18111"
2020-02-11,5,0.0810787968290058,14.0342474106614,"homo","18111"
2020-02-12,5,0.0805607007033311,16.0498854877038,"homo","18111"
2020-02-13,5,0.0809758159168461,15.3919230108845,"homo","18111"
2020-02-14,5,0.0802614948983334,17.1663364002287,"homo","18111"
2020-02-15,5,0.0806604169200925,14.858818703525,"homo","18111"
2020-02-16,5,0.0801089332037623,15.5676434977964,"homo","18111"
2020-03-30,5,0.0800280394831764,15.9621255062818,"homo","18111"
2020-03-31,5,0.0786028975758819,18.2829167830212,"homo","18111"
2020-04-01,5,0.0807225963063604,16.5461313863594,"homo","18111"
2020-04-02,5,0.0800748689765879,19.4237338989131,"homo","18111"
2020-04-03,5,0.080867551720196,17.158186290379,"homo","18111"
2020-04-04,5,0.080666496083109,16.3910825156221,"homo","18111"
2020-04-05,5,0.0800866264796853,17.9801498318463,"homo","18111"
2020-02-10,5,4.99991951314366,136.992077755371,"power","18111"
2020-02-11,5,4.99991935412794,121.769998330772,"power","18111"
2020-02-12,5,4.99991985995956,127.717788861348,"power","18111"
2020-02-13,5,4.9999191361335,127.237979553026,"power","18111"
2020-02-14,5,4.99991877863898,128.504330740194,"power","18111"
2020-02-15,5,4.99991931212161,119.021204376434,"power","18111"
2020-02-16,5,4.9999591448785,116.134156548256,"power","18111"
2020-03-30,5,4.999959201376,116.844469096887,"power","18111"
2020-03-31,5,4.99995721306041,116.352938041472,"power","18111"
2020-04-01,5,4.99995893556797,131.859972193227,"power","18111"
2020-04-02,5,4.99995715765538,135.79167030306,"power","18111"
2020-04-03,5,4.99995840814594,137.530674135261,"power","18111"
2020-04-04,5,4.99995911343177,130.395295953128,"power","18111"
2020-04-05,5,4.99995778058417,130.799987351357,"power","18111"
2020-02-10,5,0.677676586315975,17.1729608827263,"exp","18111"
2020-02-11,5,0.677948519087066,15.861468514475,"exp","18111"
2020-02-12,5,0.678568706252514,15.0837544319713,"exp","18111"
2020-02-13,5,0.682024050533808,15.6193076441275,"exp","18111"
2020-02-14,5,0.67721947593634,17.6838513494611,"exp","18111"
2020-02-15,5,0.683546462853463,13.2422209053681,"exp","18111"
2020-02-16,5,0.680209153611928,15.3358179291142,"exp","18111"
2020-03-30,5,0.681245971076011,14.8984502066033,"exp","18111"
2020-03-31,5,0.673951509545113,18.7206099542912,"exp","18111"
2020-04-01,5,0.677788446890288,18.3100675213987,"exp","18111"
2020-04-02,5,0.676871579743222,21.5549099507489,"exp","18111"
2020-04-03,5,0.679201651108794,19.6314102515341,"exp","18111"
2020-04-04,5,0.677214382676946,18.6578069749797,"exp","18111"
2020-04-05,5,0.67779827886988,19.3041519684676,"exp","18111"
