"day","lag","rho","error","index","county"
2020-02-10,14,0.00127759431410423,52.06462004316,"homo","06075"
2020-02-11,14,0.00128526900073781,50.6629415064219,"homo","06075"
2020-02-12,14,0.00129133393557832,50.7720100415402,"homo","06075"
2020-02-13,14,0.00127586489530154,51.3415978369535,"homo","06075"
2020-02-14,14,0.00128626572376629,51.6491778310688,"homo","06075"
2020-02-15,14,0.00102458201717627,42.5649400787033,"homo","06075"
2020-02-16,14,0.00124578823764428,34.6877017320257,"homo","06075"
2020-03-30,14,0.00121832813811423,21.944936636699,"homo","06075"
2020-03-31,14,0.00114775737422709,22.4746188310874,"homo","06075"
2020-04-01,14,0.00107833842487169,28.2089513484406,"homo","06075"
2020-04-02,14,0.00122983791127381,25.5636896122586,"homo","06075"
2020-04-03,14,0.00127419536857029,25.679487078631,"homo","06075"
2020-04-04,14,0.0012020781758171,24.9099303379768,"homo","06075"
2020-04-05,14,0.00095078315404444,27.4702407089828,"homo","06075"
2020-02-10,14,4.99994568302261,456.759351297341,"power","06075"
2020-02-11,14,4.99994559145323,447.251115027001,"power","06075"
2020-02-12,14,4.99994559155293,447.896481491921,"power","06075"
2020-02-13,14,4.99994559740915,450.183427677588,"power","06075"
2020-02-14,14,4.99994554060496,460.984160825823,"power","06075"
2020-02-15,14,4.99995630531389,544.407247670536,"power","06075"
2020-02-16,14,4.99994554987338,355.677214655499,"power","06075"
2020-03-30,14,4.99994481520209,239.42709658091,"power","06075"
2020-03-31,14,4.99994421560363,238.645603562945,"power","06075"
2020-04-01,14,4.9999544660712,336.745011015738,"power","06075"
2020-04-02,14,4.99994474080885,266.659945556227,"power","06075"
2020-04-03,14,4.99994493101374,272.169129014307,"power","06075"
2020-04-04,14,4.99994391754374,249.787754514527,"power","06075"
2020-04-05,14,4.99994243141835,260.624031060985,"power","06075"
2020-02-10,14,0.414857454379024,45.6959210719392,"exp","06075"
2020-02-11,14,0.415417364244907,44.5812330593727,"exp","06075"
2020-02-12,14,0.414968382318303,44.9770827262879,"exp","06075"
2020-02-13,14,0.414857373704314,45.1006916987262,"exp","06075"
2020-02-14,14,0.414667064981816,45.7598584136064,"exp","06075"
2020-02-15,14,0.303458985095623,47.0401116164292,"exp","06075"
