"day","lag","rho","error","index","county"
2020-04-05,13,4.9999527803915,233.188770873925,"power","36085"
2020-02-10,13,0.37902557184728,60.5500317794282,"exp","36085"
2020-02-11,13,0.371957292540989,63.6099437943683,"exp","36085"
2020-02-12,13,0.364877838526574,67.3671879484422,"exp","36085"
2020-02-13,13,0.384495045716492,64.5866075314679,"exp","36085"
2020-02-14,13,0.388937252736171,68.8848721706841,"exp","36085"
2020-02-15,13,0.378458767589783,55.4719470596995,"exp","36085"
2020-02-16,13,0.375556819066141,48.9091317851083,"exp","36085"
2020-03-30,13,0.349861986183969,23.0797650351376,"exp","36085"
2020-03-31,13,0.364696339417393,22.0053841411283,"exp","36085"
2020-04-01,13,0.368435554192573,25.4553434758223,"exp","36085"
2020-04-02,13,0.3605419836627,25.0532211657635,"exp","36085"
2020-04-03,13,0.377667467807906,24.1184820978049,"exp","36085"
2020-04-04,13,0.362091346898588,26.4329431394429,"exp","36085"
2020-04-05,13,0.371187046055792,22.1776670507709,"exp","36085"
2020-02-10,8,0.0101494529566458,22.2460654512426,"homo","36079"
2020-02-11,8,0.010342381497176,22.265716357945,"homo","36079"
2020-02-12,8,0.0085132014598145,26.2107709331339,"homo","36079"
2020-02-13,8,0.00735168881984336,26.5153381263635,"homo","36079"
2020-02-14,8,0.0101517775684944,24.9876363703381,"homo","36079"
2020-02-15,8,0.00717723177714532,21.6887473370951,"homo","36079"
2020-02-16,8,0.00498125305576484,21.8680484646643,"homo","36079"
2020-03-30,8,0.00625518307709467,13.3760150714061,"homo","36079"
2020-03-31,8,0.00405407833356343,14.6792431065197,"homo","36079"
2020-04-01,8,0.00756243634686952,12.3273509479734,"homo","36079"
2020-04-02,8,0.00875454942834773,11.4982920789864,"homo","36079"
2020-04-03,8,0.00824824690608269,11.0073683488205,"homo","36079"
2020-04-04,8,0.00912113961305078,12.1769413583882,"homo","36079"
2020-04-05,8,0.00557810449587704,13.0388712055183,"homo","36079"
2020-02-10,8,4.99993698636886,180.831464375126,"power","36079"
2020-02-11,8,4.99993700370983,182.176154646154,"power","36079"
2020-02-12,8,4.99993580820033,196.707572908169,"power","36079"
2020-02-13,8,4.9999352546331,194.711159874344,"power","36079"
2020-02-14,8,4.99993667783731,197.348763576179,"power","36079"
2020-02-15,8,4.99993407174974,159.785714755303,"power","36079"
2020-02-16,8,4.99993322779671,163.156317549057,"power","36079"
2020-03-30,8,4.99993407345568,108.044550868134,"power","36079"
2020-03-31,8,4.99993190552022,112.20830450545,"power","36079"
2020-04-01,8,4.999936145995,108.000118526404,"power","36079"
2020-04-02,8,4.99993603146221,101.503007408378,"power","36079"
2020-04-03,8,4.99993690339144,103.670483539988,"power","36079"
2020-04-04,8,4.99993751819831,109.256640649097,"power","36079"
2020-04-05,8,4.99993784240178,121.425661643582,"power","36079"
2020-02-10,8,0.465777252005972,14.7299195591784,"exp","36079"
2020-02-11,8,0.467042877646146,14.5673204957931,"exp","36079"
2020-02-12,8,0.461219544494547,16.7384069649723,"exp","36079"
2020-02-13,8,0.457045613069403,17.3804761311616,"exp","36079"
2020-02-14,8,0.4688738461738,15.8049015935499,"exp","36079"
2020-02-15,8,0.464335801051027,12.3533083003171,"exp","36079"
2020-02-16,8,0.440890690046967,15.2264911322947,"exp","36079"
2020-03-30,8,0.424006822050869,10.8004834227502,"exp","36079"
2020-03-31,8,0.418531566911717,10.956862377953,"exp","36079"
2020-04-01,8,0.437628962535153,9.85515744483926,"exp","36079"
2020-04-02,8,0.443746790681796,9.5941267915344,"exp","36079"
2020-04-03,8,0.430942068249987,9.66882770493104,"exp","36079"
2020-04-04,8,0.451111756344834,9.58157738383846,"exp","36079"
2020-04-05,8,0.403647688493718,11.3457040025907,"exp","36079"
2020-02-10,18,0.00160877595866623,51.6050975397111,"homo","34025"
2020-02-11,18,0.00162381609082406,51.6590972424763,"homo","34025"
2020-02-12,18,0.00168165639048822,53.0963792274263,"homo","34025"
2020-02-13,18,0.00160674420430383,55.1466817383995,"homo","34025"
2020-02-14,18,0.0016248537892051,63.1864974641285,"homo","34025"
2020-02-15,18,0.0015670166308599,55.1213563875984,"homo","34025"
2020-02-16,18,0.00157811614446891,49.1855407747696,"homo","34025"
2020-03-30,18,0.00133775503761982,19.448200474061,"homo","34025"
2020-03-31,18,0.000880836669496809,21.7865619964783,"homo","34025"
2020-04-01,18,0.00154838560180523,18.9910677129564,"homo","34025"
2020-04-02,18,0.00114932528032678,22.5911905320127,"homo","34025"
2020-04-03,18,0.00149262065376172,19.4334069659936,"homo","34025"
2020-04-04,18,0.00156284659216693,20.9171594129785,"homo","34025"
2020-04-05,18,0.00102738827573525,22.0974147163697,"homo","34025"
2020-02-10,18,4.99994852473989,545.976712184025,"power","34025"
2020-02-11,18,4.99994631721521,512.206778041805,"power","34025"
2020-02-12,18,4.9999457195706,514.537052471764,"power","34025"
2020-02-13,18,4.99994457075625,506.83183866088,"power","34025"
2020-02-14,18,4.99994512476531,565.239583795128,"power","34025"
2020-02-15,18,4.99994427919326,496.15655476395,"power","34025"
2020-02-16,18,4.99994567613979,459.199790893643,"power","34025"
2020-03-30,18,4.99994650821504,210.958804979657,"power","34025"
2020-03-31,18,4.99994277632645,206.804561922428,"power","34025"
2020-04-01,18,4.99994487650728,206.655381737037,"power","34025"
2020-04-02,18,4.99994638950452,214.104800238882,"power","34025"
2020-04-03,18,4.99994434272119,207.960262211977,"power","34025"
2020-04-04,18,4.99994453492517,224.205689953301,"power","34025"
2020-04-05,18,4.99994701045774,255.420264106305,"power","34025"
2020-02-10,18,0.409689348778897,51.462249536868,"exp","34025"
2020-02-11,18,0.422271214745064,47.4605651124867,"exp","34025"
2020-02-12,18,0.428527617391965,47.3537475092459,"exp","34025"
2020-02-13,18,0.432741074401971,45.1575209630753,"exp","34025"
2020-02-14,18,0.432964151053217,52.2823220916104,"exp","34025"
2020-02-15,18,0.430152220023945,46.0557796133409,"exp","34025"
2020-02-16,18,0.423445924290102,43.3759616982585,"exp","34025"
2020-03-30,18,0.383428860467997,19.8321398287292,"exp","34025"
2020-03-31,18,0.386410167439141,19.3024878796358,"exp","34025"
2020-04-01,18,0.414145479584021,17.8739155460551,"exp","34025"
2020-04-02,18,0.397623176377404,19.4927432210363,"exp","34025"
2020-04-03,18,0.412782201302562,18.4221765259595,"exp","34025"
2020-04-04,18,0.418631789503705,19.1633350324506,"exp","34025"
2020-04-05,18,0.351257889569021,22.6456483295142,"exp","34025"
2020-02-10,13,0.00497154113493392,29.1881707787031,"homo","34035"
2020-02-11,13,0.0049802178308375,30.0083912544582,"homo","34035"
2020-02-12,13,0.00502566089665845,30.2074379810744,"homo","34035"
2020-02-13,13,0.00489519157493425,32.6050507294769,"homo","34035"
2020-02-14,13,0.00493107798640804,36.4219211905127,"homo","34035"
2020-02-15,13,0.00482946312943864,31.8847103666646,"homo","34035"
2020-02-16,13,0.00466851492372364,29.7496758106828,"homo","34035"
2020-03-30,13,0.00342062679797102,14.2078596924412,"homo","34035"
2020-03-31,13,0.00305729113222117,15.0311723601451,"homo","34035"
2020-04-01,13,0.00399101629498777,13.9011513186588,"homo","34035"
2020-04-02,13,0.00363471117474971,15.4729526782177,"homo","34035"
2020-04-03,13,0.00354570898528583,16.2944136710058,"homo","34035"
2020-04-04,13,0.0036631012821192,16.3727534092028,"homo","34035"
2020-04-05,13,0.0023979974885031,17.3109023160525,"homo","34035"
2020-02-10,13,4.9999240572941,307.40506954514,"power","34035"
2020-02-11,13,4.99992423723154,314.300609385244,"power","34035"
