"day","lag","rho","error","index","county"
2020-02-10,21,0.000708464417159474,125.534490907057,"homo","12011"
2020-02-11,21,0.000668774492939659,118.247313141621,"homo","12011"
2020-02-12,21,0.000662421219116821,120.177076018044,"homo","12011"
2020-02-13,21,0.000674762171515791,128.899694843481,"homo","12011"
2020-02-14,21,0.000749707638419934,135.749512171226,"homo","12011"
2020-02-15,21,0.000669958247666082,116.183487381795,"homo","12011"
2020-02-16,21,0.000599047718997153,106.310288168347,"homo","12011"
2020-03-30,21,0.000631192821391761,44.9812786711793,"homo","12011"
2020-03-31,21,0.000661223785814371,44.1097694887316,"homo","12011"
2020-04-01,21,0.000592721236220091,50.8657847232605,"homo","12011"
2020-04-02,21,0.000651195559893478,50.493506644897,"homo","12011"
2020-04-03,21,0.000621266428295296,52.4552561591447,"homo","12011"
2020-04-04,21,0.000638551168522885,45.9310972270325,"homo","12011"
2020-04-05,21,0.000538259174848538,35.5521027879334,"homo","12011"
2020-02-10,21,4.99993706117058,921.681545729415,"power","12011"
2020-02-11,21,4.99992848993274,862.097395652264,"power","12011"
2020-02-12,21,4.99992869498555,877.378951698859,"power","12011"
2020-02-13,21,4.99993662525333,916.041962876303,"power","12011"
2020-02-14,21,4.99992596647936,960.905677036128,"power","12011"
2020-02-15,21,4.99992287574361,806.53637420955,"power","12011"
2020-02-16,21,4.99992032064208,731.231647688434,"power","12011"
2020-03-30,21,4.99992258478342,370.432610942736,"power","12011"
2020-03-31,21,4.99992371512471,366.377888811703,"power","12011"
2020-04-01,21,4.99992195177833,408.140420552277,"power","12011"
2020-04-02,21,4.99992428491419,412.462321883437,"power","12011"
2020-04-03,21,4.99992362176922,427.576082036826,"power","12011"
2020-04-04,21,4.99992107470658,375.830888614329,"power","12011"
2020-04-05,21,4.99992163981377,308.821286088073,"power","12011"
2020-02-10,21,0.401928535046806,114.164361924295,"exp","12011"
2020-02-11,21,0.402583089254322,105.983030218243,"exp","12011"
2020-02-12,21,0.40379388898795,106.748236993466,"exp","12011"
2020-02-13,21,0.403002126245773,115.218061002418,"exp","12011"
2020-02-14,21,0.411407187426873,120.172915705132,"exp","12011"
2020-02-15,21,0.399887380557669,105.566229515577,"exp","12011"
2020-02-16,21,0.396598227074943,94.8981320413392,"exp","12011"
2020-03-30,21,0.399000551600917,39.3505806084175,"exp","12011"
2020-03-31,21,0.399476828870673,39.1440891478001,"exp","12011"
2020-04-01,21,0.399283109235324,44.6771926138748,"exp","12011"
2020-04-02,21,0.400470865013744,45.0664092066049,"exp","12011"
2020-04-03,21,0.400207301265355,46.1546224579192,"exp","12011"
2020-04-04,21,0.395661979170182,41.4568058338673,"exp","12011"
2020-04-05,21,0.381842676791931,32.7337645750321,"exp","12011"
2020-02-10,17,0.000209667797396615,110.235286607861,"homo","12099"
2020-02-11,17,0.000489582346218827,99.0883582048336,"homo","12099"
2020-02-12,17,0.000339496979451674,104.692180619595,"homo","12099"
