"day","pearson_homo","pearson_power","pearson_exp","spearman_homo","spearman_power","spearman_exp","kendall_homo","kendall_power","kendall_exp","event","msa"
"2017-08-18",-1,0.638988726361701,0.637647278560198,-1,0.725463284119173,0.723005469000267,-1,0.538260900889598,0.535851709881497,"Hurricane_Harvey","Houston"
"2017-08-19",-1,0.641438127109455,0.640055129540322,-0.999999905982817,0.726583950419937,0.724173789006097,-0.999990074184442,0.539547625941231,0.536928231071042,"Hurricane_Harvey","Houston"
"2017-08-20",-1,0.641812325796507,0.640240903817707,-0.999999660822639,0.725448368966493,0.723061067318074,-0.999972221046388,0.539174319502781,0.536649172344006,"Hurricane_Harvey","Houston"
"2017-08-21",-1,0.642282771757053,0.640641952161412,-0.999999736885764,0.732202968014228,0.729989164793724,-0.99997928197953,0.544586821940594,0.542387814001672,"Hurricane_Harvey","Houston"
"2017-08-22",-1,0.639310350334822,0.637752928674352,-0.999999701412429,0.733682014988942,0.731397419666453,-0.999975097123967,0.545797933684113,0.543481669984183,"Hurricane_Harvey","Houston"
"2017-08-23",-1,0.641974173390759,0.64033730382232,-1,0.732532206274676,0.730132889037705,-1,0.544495823842603,0.541928151288607,"Hurricane_Harvey","Houston"
"2017-08-24",-1,0.647829865885811,0.646290313106066,-0.999999839389773,0.737203233583331,0.735121168115647,-0.999986998696453,0.548952229071977,0.546716525641226,"Hurricane_Harvey","Houston"
"2017-08-25",-1,0.644375562482024,0.643034677452151,-0.999999704895484,0.736091462245793,0.734047033058308,-0.999972017195538,0.547791096225717,0.545608676464927,"Hurricane_Harvey","Houston"
"2017-08-26",-1,0.649357280594439,0.647964648284927,-0.999999989880195,0.734759430985145,0.73265088945392,-0.999998346715113,0.546950594540086,0.54475672671091,"Hurricane_Harvey","Houston"
"2017-08-27",-1,0.653346786896211,0.651993755802534,-0.999999786504086,0.734842366742682,0.732910309396511,-0.999977620986264,0.54695962591853,0.544962927835489,"Hurricane_Harvey","Houston"
"2017-08-28",-1,0.658003597873779,0.656783359026313,-0.999998983224494,0.741064155626014,0.739451957195296,-0.999948173233249,0.552201001368996,0.550573410469517,"Hurricane_Harvey","Houston"
"2017-08-29",-1,0.650947755355006,0.649950029065091,-0.999999735466112,0.733100805070264,0.73143624843532,-0.999976281380489,0.545370616148042,0.54363228987926,"Hurricane_Harvey","Houston"
