"day","lag","rho","error","index","err_tag"
2020-02-10,21,7.80286833249943e-05,1.96264538852626,"homo","srmspe"
2020-02-11,21,7.80286833249943e-05,2.09975645716685,"homo","srmspe"
2020-02-12,21,7.80286833249943e-05,2.1340387621656,"homo","srmspe"
2020-02-13,21,7.80286833249943e-05,2.06950994106156,"homo","srmspe"
2020-02-14,21,7.80286833249943e-05,2.21095299333005,"homo","srmspe"
2020-02-15,21,7.80286833249943e-05,1.86425531980891,"homo","srmspe"
2020-02-16,21,7.80286833249943e-05,1.72608987217979,"homo","srmspe"
2020-03-30,21,7.80286833249943e-05,1.35313664344669,"homo","srmspe"
2020-03-31,21,7.80286833249943e-05,1.34887179459438,"homo","srmspe"
2020-04-01,21,7.80286833249943e-05,1.52418754052015,"homo","srmspe"
2020-04-02,21,7.80286833249943e-05,1.43161590407912,"homo","srmspe"
2020-04-03,21,7.80286833249943e-05,1.43638977858014,"homo","srmspe"
2020-04-04,21,7.80286833249943e-05,1.39006164763311,"homo","srmspe"
2020-04-05,21,7.80286833249943e-05,1.38853103912574,"homo","srmspe"
2020-02-10,21,60.9017499402505,154.549856531424,"power","srmspe"
2020-02-11,21,60.9017499402505,146.782084571695,"power","srmspe"
2020-02-12,21,60.9017499402505,147.907616728225,"power","srmspe"
2020-02-13,21,60.9017499402505,155.485011839153,"power","srmspe"
2020-02-14,21,60.9017499402505,164.029816319837,"power","srmspe"
2020-02-15,21,60.9017499402505,137.035944358213,"power","srmspe"
2020-02-16,21,60.9017499402505,123.48975058287,"power","srmspe"
2020-03-30,21,60.9017499402505,87.5943252952595,"power","srmspe"
2020-03-31,21,60.9017499402505,88.5046808955367,"power","srmspe"
2020-04-01,21,60.9017499402505,93.757422341497,"power","srmspe"
2020-04-02,21,60.9017499402505,92.3721207294968,"power","srmspe"
2020-04-03,21,60.9017499402505,94.7086419955915,"power","srmspe"
2020-04-04,21,60.9017499402505,83.9881699010555,"power","srmspe"
2020-04-05,21,60.9017499402505,79.8116096378678,"power","srmspe"
2020-02-10,21,0.124994015428614,0.985327147321476,"exp","srmspe"
2020-02-11,21,0.126745363142942,0.984630810167798,"exp","srmspe"
2020-02-12,21,0.126563045651222,0.98471965113391,"exp","srmspe"
2020-02-13,21,0.124950056300394,0.985158790889929,"exp","srmspe"
2020-02-14,21,0.12339214496929,0.985380418719371,"exp","srmspe"
2020-02-15,21,0.129158224625862,0.982924313090498,"exp","srmspe"
2020-02-16,21,0.132924757385295,0.980853240650255,"exp","srmspe"
2020-03-30,21,0.145073409613065,0.971576597999079,"exp","srmspe"
2020-03-31,21,0.144756135313951,0.97143977144572,"exp","srmspe"
2020-04-01,21,0.142508666603314,0.974247136135377,"exp","srmspe"
2020-04-02,21,0.143298567344484,0.97388797547167,"exp","srmspe"
2020-04-03,21,0.142423649621379,0.974880027656798,"exp","srmspe"
2020-04-04,21,0.14724111571539,0.971539374894516,"exp","srmspe"
2020-04-05,21,0.149358281151117,0.969639079455791,"exp","srmspe"
