"msa","day","rep","lag","eta","total_flow","rho","error"
"Miami",2020-02-10,74,22,0.05,899103,0.40348010281835,133.376783159965
"Miami",2020-02-10,75,22,0.05,899103,0.402973546624486,134.392002569594
"Miami",2020-02-10,76,22,0.05,899103,0.403807928822382,132.464637165897
"Miami",2020-02-10,77,22,0.05,899103,0.404735324913299,131.622269134341
"Miami",2020-02-10,78,22,0.05,899103,0.40310163406644,133.770288834418
"Miami",2020-02-10,79,22,0.05,899103,0.402502544391467,134.396547915428
"Miami",2020-02-10,80,22,0.05,899103,0.404368065374472,131.656586831555
"Miami",2020-02-10,81,22,0.05,899103,0.403452512936599,133.429003503103
"Miami",2020-02-10,82,22,0.05,899103,0.404239614302171,131.932306229137
"Miami",2020-02-10,83,22,0.05,899103,0.40396769068558,132.319619398241
"Miami",2020-02-10,84,22,0.05,899103,0.402999607001039,133.990149183132
"Miami",2020-02-10,85,22,0.05,899103,0.403568435873643,132.871118951172
"Miami",2020-02-10,86,22,0.05,899103,0.404291668096749,131.700123613527
"Miami",2020-02-10,87,22,0.05,899103,0.404071946795541,132.145285345833
"Miami",2020-02-10,88,22,0.05,899103,0.404062332560727,132.011531509756
"Miami",2020-02-10,89,22,0.05,899103,0.40399147488892,132.583348425896
"Miami",2020-02-10,90,22,0.05,899103,0.404454526962235,131.777568856493
"Miami",2020-02-10,91,22,0.05,899103,0.403286752349058,133.53251602033
"Miami",2020-02-10,92,22,0.05,899103,0.404183403420731,132.04233217654
"Miami",2020-02-10,93,22,0.05,899103,0.40417120120543,131.86665093966
"Miami",2020-02-10,94,22,0.05,899103,0.404019629264771,132.493548710286
"Miami",2020-02-10,95,22,0.05,899103,0.403457484424839,132.966196400089
"Miami",2020-02-10,96,22,0.05,899103,0.403428015565292,133.24271030981
"Miami",2020-02-10,97,22,0.05,899103,0.403357925842501,133.444821199084
"Miami",2020-02-10,98,22,0.05,899103,0.402875206299774,134.56297919647
"Miami",2020-02-10,99,22,0.05,899103,0.40441742085484,131.725107321986
"Miami",2020-02-10,100,22,0.05,899103,0.40322426606942,134.064751262478
"Miami",2020-02-11,1,22,0.05,835014,0.398351070699468,130.220190404588
"Miami",2020-02-11,2,22,0.05,835014,0.397981406400618,131.117660252391
"Miami",2020-02-11,3,22,0.05,835014,0.397591066681284,131.740012308946
"Miami",2020-02-11,4,22,0.05,835014,0.398562477578785,130.213210585735
"Miami",2020-02-11,5,22,0.05,835014,0.399426529436166,129.663046347775
"Miami",2020-02-11,6,22,0.05,835014,0.398907721465175,130.357874615328
"Miami",2020-02-11,7,22,0.05,835014,0.398907495827252,130.522881390995
"Miami",2020-02-11,8,22,0.05,835014,0.39913781310515,129.696805111397
"Miami",2020-02-11,9,22,0.05,835014,0.398234321291259,131.271699887505
"Miami",2020-02-11,10,22,0.05,835014,0.397520861618691,131.561861302853
"Miami",2020-02-11,11,22,0.05,835014,0.397637388676464,131.786824568518
"Miami",2020-02-11,12,22,0.05,835014,0.399406345876491,129.498870802073
"Miami",2020-02-11,13,22,0.05,835014,0.397584312230974,131.616959616663
"Miami",2020-02-11,14,22,0.05,835014,0.398487224135692,130.804229761977
"Miami",2020-02-11,15,22,0.05,835014,0.397873757813292,131.615021364021
"Miami",2020-02-11,16,22,0.05,835014,0.398443813251913,131.17313129968
"Miami",2020-02-11,17,22,0.05,835014,0.397904836656889,131.133172471761
"Miami",2020-02-11,18,22,0.05,835014,0.399279107871857,130.004671134002
"Miami",2020-02-11,19,22,0.05,835014,0.397677326291004,131.682994352463
"Miami",2020-02-11,20,22,0.05,835014,0.398733555129336,130.254724049572
"Miami",2020-02-11,21,22,0.05,835014,0.398508311455519,130.94354644783
"Miami",2020-02-11,22,22,0.05,835014,0.398453360547035,131.080940245959
"Miami",2020-02-11,23,22,0.05,835014,0.397722996161513,131.605040783466
"Miami",2020-02-11,24,22,0.05,835014,0.399042151128558,130.034890415051
"Miami",2020-02-11,25,22,0.05,835014,0.39754087154462,131.618418556017
"Miami",2020-02-11,26,22,0.05,835014,0.398164541107772,130.818278501954
"Miami",2020-02-11,27,22,0.05,835014,0.398802186164739,130.282001136344
"Miami",2020-02-11,28,22,0.05,835014,0.398277735740654,130.76856425114
"Miami",2020-02-11,29,22,0.05,835014,0.39783665537891,131.847359184154
"Miami",2020-02-11,30,22,0.05,835014,0.398185361247168,130.812533836386
"Miami",2020-02-11,31,22,0.05,835014,0.399142165516641,129.564086064625
"Miami",2020-02-11,32,22,0.05,835014,0.399058855229122,130.26268569514
"Miami",2020-02-11,33,22,0.05,835014,0.399235373937708,129.655959060473
"Miami",2020-02-11,34,22,0.05,835014,0.398532344359052,130.130542756554
"Miami",2020-02-11,35,22,0.05,835014,0.398858396460349,129.969807122587
"Miami",2020-02-11,36,22,0.05,835014,0.399181670605199,129.902292679906
"Miami",2020-02-11,37,22,0.05,835014,0.397842310787174,131.667295865836
"Miami",2020-02-11,38,22,0.05,835014,0.398365457143805,130.961684985268
"Miami",2020-02-11,39,22,0.05,835014,0.399230324912501,129.682032314004
"Miami",2020-02-11,40,22,0.05,835014,0.398791572296684,130.68735369519
"Miami",2020-02-11,41,22,0.05,835014,0.396951829332552,132.356179281324
"Miami",2020-02-11,42,22,0.05,835014,0.398200048254021,131.258090316529
"Miami",2020-02-11,43,22,0.05,835014,0.397319934594977,132.168089838063
"Miami",2020-02-11,44,22,0.05,835014,0.398496972216933,130.722057122538
"Miami",2020-02-11,45,22,0.05,835014,0.398061028440399,131.208074479776
"Miami",2020-02-11,46,22,0.05,835014,0.398710820171205,130.222560523524
"Miami",2020-02-11,47,22,0.05,835014,0.397903671193789,131.237346370905
"Miami",2020-02-11,48,22,0.05,835014,0.398068454312001,131.15186927032
"Miami",2020-02-11,49,22,0.05,835014,0.39915393637753,129.718878865225
"Miami",2020-02-11,50,22,0.05,835014,0.399715413516904,129.236142576011
"Miami",2020-02-11,51,22,0.05,835014,0.397667437951644,131.830639944445
"Miami",2020-02-11,52,22,0.05,835014,0.39715227335723,132.059717695453
"Miami",2020-02-11,53,22,0.05,835014,0.398082547595861,130.882116515525
"Miami",2020-02-11,54,22,0.05,835014,0.396934919769883,132.600070379051
"Miami",2020-02-11,55,22,0.05,835014,0.398649874777298,130.313923960327
"Miami",2020-02-11,56,22,0.05,835014,0.39831660794254,131.291339130212
"Miami",2020-02-11,57,22,0.05,835014,0.398170520694717,131.164737244008
"Miami",2020-02-11,58,22,0.05,835014,0.397539043221114,131.688488470371
"Miami",2020-02-11,59,22,0.05,835014,0.398155633580778,131.007678721942
"Miami",2020-02-11,60,22,0.05,835014,0.398104657650697,131.4231249815
"Miami",2020-02-11,61,22,0.05,835014,0.39891481370473,129.884385203455
"Miami",2020-02-11,62,22,0.05,835014,0.398222568911385,130.995525011835
"Miami",2020-02-11,63,22,0.05,835014,0.398117227539354,131.011927545602
"Miami",2020-02-11,64,22,0.05,835014,0.397681322105216,131.623489227978
"Miami",2020-02-11,65,22,0.05,835014,0.397085371485621,132.694980838091
"Miami",2020-02-11,66,22,0.05,835014,0.398636307880343,130.311851058494
"Miami",2020-02-11,67,22,0.05,835014,0.399618023649306,129.582071919138
"Miami",2020-02-11,68,22,0.05,835014,0.397550760819585,131.765661723507
"Miami",2020-02-11,69,22,0.05,835014,0.396879573753032,132.367375189262
"Miami",2020-02-11,70,22,0.05,835014,0.398823937438382,129.880558805003
"Miami",2020-02-11,71,22,0.05,835014,0.398203080958806,131.33479747795
"Miami",2020-02-11,72,22,0.05,835014,0.39913895863167,129.797267718292
"Miami",2020-02-11,73,22,0.05,835014,0.39854529437773,130.397655822297
"Miami",2020-02-11,74,22,0.05,835014,0.397150601557497,132.205502019254
"Miami",2020-02-11,75,22,0.05,835014,0.398812293789957,130.331015265469
"Miami",2020-02-11,76,22,0.05,835014,0.398949005622808,129.763992606343
"Miami",2020-02-11,77,22,0.05,835014,0.398514901085491,130.353489923728
"Miami",2020-02-11,78,22,0.05,835014,0.398973627106404,129.827968890543
"Miami",2020-02-11,79,22,0.05,835014,0.39900828229994,130.311314128663
"Miami",2020-02-11,80,22,0.05,835014,0.399549119490578,129.527460420294
"Miami",2020-02-11,81,22,0.05,835014,0.397624355303949,131.677294632783
